Title,Status
Walther Straub,200
Johann II. Senn von Münsingen,200
Wasserschloss Glatt,200
Klaus Schwaighofer,200
Siegfried Weinmann,200
Horst Wernicke,200
Alexander Sperber,200
Hermann Dietz (Richter),200
Joseph Schäffler,404
August Straub (Schriftsteller),404
Rudolf Schreiner,200
Arno Scheffler,404
Karl Schnetzler,200
Audomar Scheuermann,200
Hans Schnitzler,200
Pauline Schweighofer,200
Carl Dietz (Schauspieler),200
Holger Stark (Biochemiker),200
Karl Schiffner,200
André Dietz,200
Johann Siegmund Mann jr.,200
Eidgenössische Bank,200
Fritz Tietz,200
Cody Veith,404
Kunstsalon Wolfsberg,404
Agathon Wernich,200
Skigebiet Kreuzberg,200
Thomas Pekny,200
Heiko Dietz,200
Albert August Wilhelm Deetz,200
Benno Schoeller,200
Frank Lüdecke,200
Wilhelm Friedrich von Starck,200
Weinbergkirche (Dresden),200
Eitelhans Langenmantel,200
Johannes Kiesel,404
Helmut Kießling,200
Christoph Krummacher,200
NS-Bund Deutscher Technik,200
Café Keese (Berlin),200
Matthäuskirche (Zürich-Unterstrass),200
Daniel Straub,200
Jakob Samuel Johann Scheuermann,200
Julius Hübner (Schauspieler),200
Werner Starke (Jurist),200
Institut für wirtschaftswissenschaftliche Forschung,200
Nikolaus Stark,200
Kraftregelung,200
Alfred Kiss,200
Reinhold Kißling,200
St.-Veit-Kirche (Gärtringen),200
Rolf E. Straub,200
Vorbereitungsdienst,200
Klaus König (Kameramann),200
Gotthelf Wilhelm Christoph Starke,200
Hermann Dietz (Mediziner),404
Hellmuth Mueller-Leutert,200
Carlos Kis,200
Bürgerpark und Stadtwald,200
Dierk Henning Schnitzler,200
Hermann Hahn (Architekt),200
Staatliche Zeichenakademie Hanau,200
Triple-Osteotomie,200
Paul Parey Zeitschriftenverlag,200
Franz Sebastian Nonhardt,200
Goldschmiedeschule mit Uhrmacherschule Pforzheim,200
Nikolaitor (Eisenach),200
Postbauschule,200
Kölner Autorenwerkstatt,200
Straßenbahn Ravensburg–Weingarten–Baienfurt,200
Hans Helmut Straub,200
Konkneipant,200
Harald Stark,404
Rudolf Stark (Politiker),200
Heinrich von Burgeis,200
Alexander Weinmann,404
Thorsten Dietz,404
Georg Conrad Kißling,200
Linda Stark,200
Scarlett Seeboldt,404
"August Straub (Politiker, 1812)",404
Alexander Schoeller,200
Richard Thalmann,200
Niklaus Starck,200
Schweizerhaus (Trechtingshausen),200
Königliches Schauspielhaus (Potsdam),200
Hermann H. Hahn,200
Zürcher Arbeitsgruppe für Städtebau,404
Artur Weinmann,200
Alois Scheffler,200
Jochim Wernecke,200
Claus Jacobi (Politiker),200
Max Schoeller,200
Roman Schäffler,200
Joseph Franz Xaver Stark,200
Philipp Dietz,404
Schott von Schottenstein,200
Ulrich Stadtmüller,200
Otto Regenbogen (Tiermediziner),404
Georg Sperber (Politiker),200
Günter Dietz (Drucker),200
Geschichte Osttirols,200
Beate Schnitter,404
Martin Kissel,200
Eduard Schnitzler,200
Pensionsfonds (Deutschland),200
Brand von Glarus,200
Gustav Schiefler,200
August von Schoeler,404
Dominique Stark,200
Eduarda Schnitzer,404
Wilhelm Ruppert,200
Andreas Kißling,404
Emil Kiesel,200
Josef Maria Boehm,200
Marianne Thalmann,404
Emil Victor von Sperber,200
Peter Weber-Schäfer,200
Franz Alexander Kaufmann,200
Regierung Schottenstein,404
Julius Schlichting,200
Renate Stark-Voit,404
Edith Dietz,200
Gall Fischer,200
Alexander Keese,404
Barbara Josepha Scheuermann,200
Clemens von Ramin,200
Dominikus Stark,404
Angelika Storrer,404
Heinz Angermeier,200
Sönke Schnitzer,404
Wilhelm Scheffler,200
Café Keese (Hamburg),200
Johann Loschek,200
Richard Scheffler,200
Manfred Tietz,404
Johann Christoph Kees,200
Ursula Reinhardt-Kiss,200
Forum Ost-West,200
Linde in Schenklengsfeld,200
Carrie Schreiner,200
Hermann Kissling,200
"Hermann Hahn (Fußballspieler, 1907)",200
Hans Lenk (Geologe),200
Deutscher Wissenschafter-Verband,200
Pascal Klewer,404
Erich Dietz (Künstler),404
Harald Kiesel,404
Uwe Scheffler,404
Hans-Werner Gyßling,200
Max Hunziker,200
Wolfgang Kaes,200
Gustav Adolph von Schoeller,200
Lilly Scheuermann,200
Lotosblüte,200
Rudolf Weinmann,200
Ed Sperber,200
Armee (Deutsches Kaiserreich),200
Wilhelm Wernicke,404
Marco Schöller,200
Neues Königliches Opernhaus Berlin,200
Hanns Kreutz,200
Karl Prinz zu Löwenstein-Wertheim-Rosenberg,200
Leopold Schoeller,200
Liselotte Schreiner,200
Klaus Schreiner (Museologe),200
Leopold Ludwig Müller,200
August Karl Weber,200
Schweizerhaus (Dresden),200
Kappelerhof,200
Werner Friedrich Kunz,200
Josef Schnetzer,200
Melanie Straub,200
Georg Schaeffler,200
Otto C. Straub,404
Flugplatz Döberitz,200
Hans Günther Tillmann,200
Simon Weinmann der Ältere,200
Flavius Scheuermann,200
Gottlieb Kiessling,404
Paul Joachim von Stülpnagel,200
Karl Dietz (Mediziner),404
Gotthard Neumann,200
Johann Simon Weinmann der Jüngere,200
Hans-Peter Stark (Fußballspieler),200
Bertram Kaes,200
Erich Gysling,200
Erlöserkirche (Frankfurt-Oberrad),200
Herb Schiffer,200
Abraham Starck,404
Ricarda Dietz,200
Jürgen Bernd von Ramin,404
Anna Maria Kees,404
Walter Dahlmann,200
Curt Dietz (Geologe),404
Harvestehuder Weg,200
Lutz Schott von Schottenstein,200
Werner Straub (Geistlicher),200
Joseph von Schoeler,200
Günter Dallmann,404
Lukas T. Sperber,404
Josef Böhm (Tischtennisspieler),200
Carl von Stülpnagel,200
Christof Straub,200
Helmut Müller-Lankow,200
Fadenwurminfektionen des Hundes,200
Holger Starke,200
Ady H. Kiss,200
Gitta Schweighöfer,200
Andreas Schreiner (Schiedsrichter),404
Friedrich Reinhold Dietz,200
Karl von Scheffler,404
Helmut A. Müller (Akustiker),404
Winfried Stark,200
Fetscherstraße 33–37,200
Max Hartmann (Politiker),404
Reichskuratorium für Jugendertüchtigung,200
Gymnasium Marienwerder,404
Arnold Scheibe,200
Wieland Kiess,200
Konrad Dietz,200
Kurt Reindel,200
Vortragender Rat,200
"Verband der Heimkehrer, Kriegsgefangenen und Vermisstenangehörigen Deutschlands",200
Paul Hofer (Kunsthistoriker),200
Thomas Wunderlich (Kapitän),404
Joseph Peter Weinmann,404
"Helmut Müller (Fußballspieler, 1925)",200
Christian Stark,200
Othmar Huber,200
Walter Wimmer (Historiker),200
Sigrid Kiessling-Rossmann,200
Hans-Ulrich Dallmann,404
Traudel Sperber,200
Jan Schiffers,404
Gerhard Starke,404
Augustin Stark,404
Tim Olrik Stöneberg,200
Andreas Izquierdo,200
Johann Tobias Kießling,404
Erich Wernicke (Mediziner),404
Peter Schreiner (Fußballtrainer),200
George Wilhelm von Sydow,404
Ernst Samter,200
Gerhard Schoeller,200
Christoph Stark (Politiker),404
Fanmeile Berlin,200
Haus Fürsteneck,200
Franz Starker,200
Milena Straube,404
Karl Stark (Psychiater),200
Christian Philipp Koehler,404
Adolf Dietz,200
Gustav von Schoeller,200
Domitilla Veith,200
Hubertus Schoeller,200
Fred Weinmann,200
Yunli Schreiner,200
Peter Wernicke,404
"Ferdinand von Stülpnagel (General, 1781)",404
Mina und Otto Kuttelwascher,200
Wilhelm Maximilian Kisch,200
Felix Heinrich Schoeller,200
Heinz Müller-Dietz,200
Jörg Dahlmann,200
Christa Schnitzler-Runge,200
Michael Starke,200
Dominik Schiefner,200
Richard Straube (Politiker),200
Roderich Straub,200
Peter Schäfer (Historiker),200
Johann Christoph Funck,404
Johannes Tobias Major,200
Christian Ludwig Wilhelm Stark,200
Spitalkirche St. Anna und Elisabeth (Öhringen),200
Peter Schäfer (Edelweißpirat),200
Julia Stark,200
Richard Starcke,404
Depublizieren,200
Maximilian Jagielski (Verleger),404
Michael Scheuermann,200
Alfred Bast,200
Jakob Veith,404
Jürgen Stark (Autor),200
Michael Kissel,200
Sabine Schiffer,200
Alfred Schreiner,200
Nikolaus Müller (Orgelbauer),200
Johann Christian Starke,200
Otto Rudolf Kissel,200
Carl Vering,200
Joseph Straub,200
Heinrich Veith,200
Ingeborg Schäffler-Wolf,200
Alois Kieslinger,200
Nikolaus Müller-Schöll,404
Viktor Schnitzler,200
Manfred Rolf Langner,200
Johann Wilhelm Schöler,200
Johanneskirche (Bern),200
Jutta Keeß,404
Günther Kissel,200
Lombardsbrücke,200
Annette Kisling,200
Georg Veith (Maschinenbauingenieur),404
Christoph Kies,200
Ulrich Frank (Synchronsprecher),200
Reinhold Schöller,200
Zeichenschule für Handwerker an der Akademie der Künste Berlin,200
Dresden Leipziger Bahnhof,200
Michael Dietz (Journalist),404
Johann Friedrich Starck,200
Johann Karl Spener,404
Girardethaus (Hamburg),200
Justus (Rapper),200
Niels Wernich,200
Gerhard Honig,200
Erich Wernick,200
Richard Wernecke,200
Reinhard Müller (Komponist),404
Kapellenkreuzweg Kloster Altstadt,200
Josef August Stark,404
Gustl Stark,200
Joseph Joachim von Schnizer,200
Schweizerhaus (Cuxhaven),404
Konrad Wernicke,200
Hermann-Michael Hahn,404
Günter Käs,200
Ingo Scheuermann,404
Enrique Wernicke,200
Vroni Straub-Müller,404
Walter Scharwenka,200
Albrecht Schöler,200
Franz Xaver Kießling,200
Heinz Kögel,200
Schloss Eckberg,200
Hermann Lenhartz,200
Anton Baron,200
Thomas Günther Wunderlich,200
Ernst Würtenberger,200
Holger Kiesel,404
Karl Heinz Schreiner,200
Ingrid Scheffler,200
Jens Thalmann,200
Schwäbische Forschungsgemeinschaft,200
"Josef Böhm (Kirchenmusiker, 1841)",404
Julius Starcke,200
Ludmilla Dietz,200
Benno Walldorf,200
Walter Kießling,200
Geschichte von Höchst am Main,200
Hans Feit,200
Gerhard Dallmann,200
Erwin Scheffler,200
Bruno von Freyberg,200
Christine Wernicke,404
Ildefons Maria Dietz,200
Paul Eduard Starcke,200
Hermann Straub,200
Ottomar Starke,200
Esteplatz-Viertel,404
Dieter Kiessling,200
Johann Georg Schreiner,200
Mario Scheuermann,200
Hamburger Tageblatt,200
Hans Straub (Bauingenieur),404
Bernhard Schnetzer,404
Hochhaus zur Palme,200
Otto Walter (Jurist),200
Felix Hermann Maria Schoeller,200
Heinrich August Schoeller (Industrieller),404
Dagmar Mettler,404
Heinrich Stark (Jurist),404
Peter Schreiner (Heimatforscher),200
Schoeller-Junkmann-Preis,200
Emil Wilhelm Stark,404
Jüdische Gemeinde Öhringen,200
Wolfram Starke (Fußballspieler),404
Catherine Kern,404
"Sperber (Schiff, 1938)",200
Rudolf Veith,200
Siegfried Stark (Fußballspieler),200
Postamt an der Tegernseer Landstraße,200
Wolfgang Schreiner,200
Julius-Tandler-Familienzentrum,200
Heinz Lyschik,200
Michael Kies,200
Annemarie Wernicke,200
Poststraße 24 (Düsseldorf),200
Gustav Spener,200
Tanzlinde (Effeltrich),200
Theodor Schnitzler,200
Carl von Massow,404
Peter Weinmann,200
Albert Broschek,200
Berthold Dietz,200
Rolly Brings,200
Eduard Ichon (Unternehmer),404
Reichsbahndirektion Köln,200
Johann Friedrich Funck,200
August von Weber,404
Johannes Dalmann,200
Paul Scheffler,404
Bettina Schoeller,200
Hermann Schnitzler,200
Miriam Dietz,200
Andreas Rudas,200
Unser Frauen (Memmingen),200
Hans Weinmann,200
Konrad Wernicke (Jurist),200
Peter Dietz,200
Karl Bosl,200
Werner Scheffler,200
Rainer H. Straub,200
Ludwig Stark (Dramaturg),200
Helmut Gardens,200
Adolf Kissling,200
Franz Joseph Kaufmann,200
Bernhard Ernst (Kommentator),200
Carsten Stark,404
Julius Wernicke,404
Ingrid Scheurmann,200
Franz-Josef Dahlmann,200
Margarete Tietz,404
Philipp Veith,200
Friedhof Rehalp,200
Carl Albert Schiffers,200
Hajo Dietz,200
Traute Rose,200
Pankraz Fried,200
Heinrich Straube,200
Zeichenschule,200
Franz Scheubel,404
Wolfgang Schiffer,200
Königseiche,200
Christof Griese,200
Johann Justus Dietz,200
Bombergbahn,200
Hermann Vogelstein,200
Udo Stark,200
Mainzer Prinzengarde,200
Markus Thalmann,200
Burkhard Dietz,200
Albert Schiffers,200
Fridolin Straube,200
Josef Bratfisch,200
Dienstgebäude der Königlichen Eisenbahndirektion Berlin,200
Kleine Marxerbrücke,200
Michael Schweighöfer,200
Kaspar Schnetzler,200
Wilhelm Doegen,200
Hans Stark (Politiker),404
Friedrich Giese (Orientalist),200
Gottlieb Immanuel Dindorf,200
Friedrich Ludwig von Schoeler,200
Max Thalmann,200
Friedrich Goldscheider,200
Wilhelm Ludwig Hertz,200
Ulrike Scheffler,200
Heinrich Pössenbacher,200
Franz Scharwenka,200
Gregor Schöllgen,200
Ostfriesland zur Zeit des Dreißigjährigen Krieges,200
Georg Sperber (Förster),404
Edwin von Stülpnagel,200
Rolf Kießling,200
Verein für Original-Radierung,200
Fröschengraben,200
Magister Theologiae,200
Lukas Schweighofer (Moderator),404
Milva Stark,404
Frank Starke,200
Christian Gottlob Einert,200
Carl Kraus (Agrarwissenschaftler),200
Friedrich Veith,200
Lothar Stark (Theologe),200
Günter Kieslich,200
Appellationsgerichtshof Köln,200
Walter Schöler (Pädagoge),200
Johann Friedrich Bubendey,200
Eckart Straube,200
Schoeler (Adelsgeschlecht),200
Max Gutermuth,200
John P. Schiffer,200
August Weber (General),404
Windmühlen in Berlin,200
Franz Scheurmann,200
Eugen von Sperber,200
Kurt Broschek,404
Helmut Müller (Richter),200
