Title,Categories
Walther Straub,"['Pharmakologe', 'Mediziner (20. Jahrhundert)', 'Hochschullehrer (Philipps-Universität Marburg)', 'Hochschullehrer (Julius-Maximilians-Universität Würzburg)', 'Hochschullehrer (Albert-Ludwigs-Universität Freiburg)', 'Hochschullehrer (Ludwig-Maximilians-Universität München)', 'Mitglied der Leopoldina (20. Jahrhundert)', 'Mitglied der Bayerischen Akademie der Wissenschaften', 'Korporierter im SV', 'Deutscher', 'Geboren 1874', 'Gestorben 1944', 'Mann']"
Johann II. Senn von Münsingen,"['Römisch-katholischer Bischof (14. Jahrhundert)', 'Bischof von Basel|Johann 02', 'Geboren im 14. Jahrhundert', 'Gestorben 1365', 'Mann']"
Klaus Schwaighofer,"['Rechtswissenschaftler (20. Jahrhundert)', 'Rechtswissenschaftler (21. Jahrhundert)', 'Hochschullehrer (Universität Innsbruck)', 'Absolvent der Universität Innsbruck', 'Österreicher', 'Geboren 1956', 'Mann']"
Siegfried Weinmann,"['Kameramann', 'Deutscher', 'Geboren 1910', 'Gestorben 1996', 'Mann']"
Horst Wernicke,"['Romanist', 'Deutscher', 'Geboren 1935', 'Mann']"
Alexander Sperber,"['American-Football-Spieler (Deutschland)', 'Geboren 1952', 'US-Amerikaner', 'Mann', 'Person (Frankfurter Löwen)', 'American-Football-Funktionär', 'Sportfunktionär (Deutschland)']"
Hermann Dietz (Richter),"['Richter (Reichsgericht)', 'Corpsstudent (19. Jahrhundert)', 'Deutscher', 'Geboren 1842', 'Gestorben 1920', 'Mann']"
Rudolf Schreiner,"['Architekt (Mainz)', 'Korporierter (Studentenverbindung)', 'Regierungsbaumeister', 'Deutscher', 'Geboren 1885', 'Gestorben 1953', 'Mann']"
Karl Schnetzler,"['Bürgermeister (Karlsruhe)', 'Mitglied der Zweiten Kammer der Badischen Ständeversammlung', 'NLP-Mitglied', 'Burschenschafter (19. Jahrhundert)', 'Badener', 'Deutscher', 'Geboren 1846', 'Gestorben 1906', 'Mann']"
Audomar Scheuermann,"['Rechtswissenschaftler (20. Jahrhundert)', 'Jurist im Kirchendienst', 'Kirchenrechtler', 'Mitglied des Bayerischen Senats', 'Person (Bayerische Franziskanerprovinz)', 'Träger des Großen Bundesverdienstkreuzes mit Stern und Schulterband', 'Träger des Bayerischen Verdienstordens', 'Träger der Bayerischen Verfassungsmedaille in Gold', 'Träger des Bayerischen Maximiliansordens für Wissenschaft und Kunst', 'Träger des österreichischen Ehrenkreuzes für Wissenschaft und Kunst I. Klasse', 'Träger des Goldenen Ehrenzeichens für Verdienste um die Republik Österreich (1952)', 'Ehrensenator der Otto-Friedrich-Universität Bamberg', 'Deutscher', 'Geboren 1908', 'Gestorben 2000', 'Mann']"
Hans Schnitzler,"['Chirurg', 'Mediziner (19. Jahrhundert)', 'Mediziner (20. Jahrhundert)', 'Arthur Schnitzler', 'Träger des Komturkreuzes des österreichischen Verdienstordens (1934)', 'Berufstitel Hofrat', 'Österreicher', 'Geboren 1865', 'Gestorben 1939', 'Mann']"
Pauline Schweighofer,"['Theaterschauspieler', 'Filmschauspieler', 'Stummfilmschauspieler', 'Darstellender Künstler (Wien)', 'Person (Cisleithanien)', 'Österreicher', 'Geboren 1866', 'Gestorben 1940', 'Frau']"
Carl Dietz (Schauspieler),"['Theaterschauspieler', 'Deutscher', 'Geboren 1835', 'Gestorben 1926', 'Frau']"
Holger Stark (Biochemiker),"['Biochemiker', 'Mitglied der Leopoldina (21. Jahrhundert)', 'Wissenschaftliches Mitglied der Max-Planck-Gesellschaft', 'Deutscher', 'Geboren 1967', 'Mann']"
Karl Schiffner,"['Gastwirt', 'Weinsommelier', 'Person (Bier)', 'Bier (Österreich)', 'Österreicher', 'Geboren 1960', 'Mann']"
André Dietz,"['Theaterschauspieler', 'Filmschauspieler', 'Autor', 'Musiker (Deutschland)', 'Deutscher', 'Geboren 1975', 'Mann']"
Johann Siegmund Mann jr.,"['Bürgermeister (Lübeck)', 'Lübecker Ratsherr (19. Jahrhundert)', 'Deutscher', 'Geboren 1774', 'Gestorben 1852', 'Mann', 'Kaufleutekompanie (Lübeck)']"
Fritz Tietz,"['Autor', 'Literatur (21. Jahrhundert)', 'Literatur (Deutsch)', 'Deutscher', 'Geboren 1958', 'Mann']"
Agathon Wernich,"['Mitglied der Frankfurter Nationalversammlung', 'Mitglied des Preußischen Abgeordnetenhauses', 'Freimaurer (Deutschland)', 'Freimaurer (19. Jahrhundert)', 'Deutscher', 'Geboren 1800', 'Gestorben 1868', 'Mann']"
Thomas Pekny,"['Person (Heilbronn)', 'Hochschullehrer (Pforzheim)', 'Bühnenbildner (Deutschland)', 'Österreicher', 'Geboren im 20. Jahrhundert', 'Mann']"
Heiko Dietz,"['Theaterschauspieler', 'Theaterregisseur', 'Theaterleiter', 'Schauspiellehrer', 'Autor', 'Darstellender Künstler (München)', 'Person (Andernach)', 'Bühnenautor', 'Deutscher', 'Geboren 1967', 'Mann']"
Albert August Wilhelm Deetz,"['Mitglied der Frankfurter Nationalversammlung', 'Ritter des Guelphen-Ordens', 'Träger des Ordens vom Zähringer Löwen (Kommandeur)', 'Träger des Großherzoglich Hessischen Verdienstordens (Komtur II. Klasse)', 'Deutscher', 'Geboren 1798', 'Gestorben 1859', 'Mann']"
Benno Schoeller,"['Industrieller (Düren)', 'Papierfabrikant', 'Mitglied der Unternehmerfamilie Schoeller|Heinrich August', 'Deutscher', 'Geboren 1788', 'Gestorben 1863', 'Mann']"
