Title,Categories
Andreas Kißling,"['Musikpreis (Sachsen-Anhalt)', 'Musikwettbewerb (Klassik)', 'Kulturpreis nach Namensgeber|Handel, Georg Friedrich', 'Georg Friedrich Händel als Namensgeber', 'Musik (Halle (Saale))', 'Erstverleihung 1993']"
Regierung Schottenstein,"['Württembergische Regierung|#1900', 'Landeskabinett (Württemberg)|#1900']"
Schweizerhaus (Cuxhaven),"['Bauwerk des Historismus in Niedersachsen]]; ±[[Kategorie:Bauwerk in Cuxhaven]]→[[Kategorie:Bauwerk des Historismus in Cuxhaven', 'Bauwerk im Schweizerstil', 'Erbaut in den 1840er Jahren', 'Bauwerk des Historismus in Cuxhaven']"
Hermann-Michael Hahn,"['Journalismuspreis|Junkers', 'Junkers|Junkers, Hugo-Journalistenpreis', 'Auszeichnung (Luftfahrt)', 'Erstverleihung 1996']"
Esteplatz-Viertel,"['Landstraße (Wien)', 'Bauensemble des Historismus']"
Händel-Förderpreis der Stadt Halle,"['Musikpreis (Sachsen-Anhalt)', 'Musikwettbewerb (Klassik)', 'Kulturpreis nach Namensgeber|Handel, Georg Friedrich', 'Georg Friedrich Händel als Namensgeber', 'Musik (Halle (Saale))', 'Erstverleihung 1993']"
Villa Weinmann,"['Umgenutztes Bauwerk in Ústecký kraj]] umbenannt in [[Kategorie:Umgenutztes Bauwerk im Ústecký kraj]]: laut [[Wikipedia:WikiProjekt Kategorien/Diskussionen/2020/Juli/20#Kategorie:Umgenutztes Bauwerk in Ústecký kraj nach Kategorie:Umgenutztes Bauwerk im Ústecký kraj (erl.)|Diskussion', 'Villa in Tschechien|Weinmann', 'Umgenutztes Bauwerk im Ústecký kraj', 'Bauwerk des Historismus in Tschechien', 'Bauwerk in Ústí nad Labem', 'Kulturdenkmal in Ústí nad Labem', 'Judentum in Ústí nad Labem', 'Erbaut in den 1920er Jahren']"
Schnitzler (österreichische Familie),"['Schnitzler (österreichische Familie)| ', 'Österreichische Familie']"
Sebastian Gottfried Starcke,"['Ehemalige Schule in Brandenburg an der Havel', 'Schule (Preußen)', 'Baudenkmal in Brandenburg an der Havel', 'Ritterakademie']"
August Weygang,"['Zinngerät]]; +[[Kategorie:Gegründet 1953]]; ±[[Kategorie:Volkskundemuseum]]→[[Kategorie:Volkskundemuseum in Deutschland', 'Museum im Hohenlohekreis', 'Volkskundemuseum in Deutschland', 'Kultur (Öhringen)', 'Zinngerät|!', 'Gegründet 1953']"
Kennedybrücke und Sturmflutsperrwerk,"['Straßenbrücke in Bremerhaven', 'Klappbrücke', 'Erbaut in den 1960er Jahren', 'Sperrwerk in Deutschland', 'Geestemünde', 'Mitte (Bremerhaven)', 'Brücke in Europa', 'Geeste (Fluss)']"
Fayence-Kachelofen (Isny im Allgäu),"['Keramikprodukt', 'Kulturdenkmal in Isny im Allgäu', 'Heizofen']"
Postamt (Penzberg),"['Baudenkmal in Penzberg', 'Bauwerk in Penzberg', 'Postamt in Deutschland|Penzberg', 'Umgenutztes Bauwerk im Landkreis Weilheim-Schongau', 'Erbaut in den 1920er Jahren', 'Bauwerk von Robert Vorhoelzer']"
Münchner Straße 1 (Bad Kissingen),"['Baudenkmal in Bad Kissingen', 'Bauwerk in Bad Kissingen', 'Bauwerk der Neuen Sachlichkeit in Bayern', 'Erbaut in den 1930er Jahren|Bad Kissingen']"
Laufbahnbefähigung,['Beamtenrecht (Deutschland)']
Sanatorium Löw,"['Ehemaliges Krankenhaus in Wien', 'Bauwerk in Alsergrund']"
Wettbewerb «Gross-Zürich»,"['Wettbewerb]]; +[[Kategorie:Kultur (Zürich)]]; +[[Kategorie:Veranstaltung 1918', 'Veranstaltung (Zürich)', 'Veranstaltung (Architektur)', 'Wettbewerb', 'Kultur (Zürich)', 'Veranstaltung 1918']"
Schweizerhaus (Alexisbad),"['Bauwerk in Harzgerode]]; Ergänze [[Kategorie:Wohngebäude in Harzgerode', 'Kulturdenkmal in Harzgerode', 'Wohngebäude in Harzgerode', 'Abgegangenes Bauwerk in Sachsen-Anhalt', 'Erbaut in den 1820er Jahren', 'Zerstört in den 1940er Jahren', 'Zerstört im Zweiten Weltkrieg']"
Weygang-Museum,"['Zinngerät]]; +[[Kategorie:Gegründet 1953]]; ±[[Kategorie:Volkskundemuseum]]→[[Kategorie:Volkskundemuseum in Deutschland', 'Museum im Hohenlohekreis', 'Volkskundemuseum in Deutschland', 'Kultur (Öhringen)', 'Zinngerät|!', 'Gegründet 1953']"
Schweiz ohne Armee? Ein Palaver,"['Literatur (20. Jahrhundert)', 'Literatur (Deutsch)', 'Werk von Max Frisch', 'Literarisches Werk', 'Literatur (Schweiz)']"
Kloster Bernstein (Sulz am Neckar),"['Bauwerk in Sulz am Neckar', 'Ehemalige Kunstschule', 'Gegründet 1946']"
Hamburger Allgemeine Zeitung,"['Deutschsprachige Tageszeitung', 'Zeitung (Hamburg, Erscheinen eingestellt)', 'Ersterscheinung 1946', 'Erscheinen eingestellt 1952']"
Deutsche Allgemeine Zeitung (1843–1879),"['Medien (Deutsches Kaiserreich)]]; Ergänze [[Kategorie:Zeitschrift (Deutsches Kaiserreich)', 'Antiquarische Zeitschrift (Leipzig)', 'Zeitung (Preußen)', 'Zeitschrift (Deutsches Kaiserreich)', 'Deutschsprachige Tageszeitung', 'Überregionale Tageszeitung', 'Ersterscheinung 1843', 'Erscheinen eingestellt 1879']"
Hamburger Freie Presse,"['Deutschsprachige Tageszeitung', 'Zeitung (Hamburg, Erscheinen eingestellt)', 'Ersterscheinung 1946', 'Erscheinen eingestellt 1952']"
Bahnstrecke Freital Ost–Possendorf,"['Bergbau (Sachsen)', 'Bahnstrecke in Sachsen', 'Denkmalgeschützte Sachgesamtheit in Sachsen', 'Kulturdenkmal im Landkreis Sächsische Schweiz-Osterzgebirge', 'Technisches Denkmal in Dresden', 'Erbaut in den 1850er Jahren', 'Verkehr (Freital)', 'Bannewitz', 'Schienenverkehr (Dresden)', 'Verkehr (Landkreis Sächsische Schweiz-Osterzgebirge)', 'Kohlenbahn']"
