Title,Categories
Joseph Schäffler,"['Maler (Basel)', 'Schweizer', 'Geboren 1937', 'Gestorben 2018', 'Mann']"
August Straub (Schriftsteller),"['Autor', 'Journalist (Deutschland)', 'Deutscher', 'Geboren 1900', 'Gestorben 1986', 'Mann']"
Arno Scheffler,"['Kameramann', 'Person (ZDF)', 'Deutscher', 'Geboren 1939', 'Mann']"
Cody Veith,"['Filmschauspieler', 'Kinderdarsteller', 'US-Amerikaner', 'Geboren 2002', 'Mann']"
Kunstsalon Wolfsberg,"['Maler (Zürich)', 'Illustrator (Schweiz)', 'Glasmaler (Schweiz)', 'Grafiker (Zürich)', 'Teilnehmer einer Biennale di Venezia', 'Person (Zürich)', 'Schweizer', 'Geboren 1901', 'Gestorben 1976', 'Mann']"
Johannes Kiesel,"['Landrat (Landkreis Gladbach)', 'Preußischer Landrat (Landkreis Altenkirchen (Westerwald))', 'Preuße', 'Deutscher', 'Geboren 1844', 'Gestorben 1892', 'Mann', 'Geheimrat', 'Regierungsrat']"
Hermann Dietz (Mediziner),"['Neurochirurg', 'Mediziner (20. Jahrhundert)', 'Mediziner (21. Jahrhundert)', 'Hochschullehrer (Medizinische Hochschule Hannover)', 'Ehrendoktor einer Universität in Brasilien', 'Person (Kaiserslautern)', 'Deutscher', 'Geboren 1925', 'Gestorben 2016', 'Mann']"
Harald Stark,"['Heimatforscher (Bayern)', 'Sachbuchautor', 'Literatur (20. Jahrhundert)', 'Literatur (Deutsch)', 'Person (Kulmbach)', 'Deutscher', 'Geboren im 20. Jahrhundert', 'Mann']"
Alexander Weinmann,"['Musikwissenschaftler', 'Johann-Strauss-Forscher', 'Komponist (Österreich)', 'Träger der Ehrenmedaille der Bundeshauptstadt Wien in Gold', 'Österreicher', 'Geboren 1901', 'Gestorben 1987', 'Mann']"
Thorsten Dietz,"['Evangelikaler Theologe (21. Jahrhundert)', 'Systematischer Theologe', 'Hochschullehrer (Hochschule Tabor)', 'Sachbuchautor (Theologie)', 'Sachliteratur (Theologie)', 'Deutscher', 'Geboren 1971', 'Mann']"
Scarlett Seeboldt,"['Folkmusik (DDR)', 'Folksänger', 'Keyboarder', 'Komponist (Deutschland)', 'Deutscher', 'Geboren im 20. Jahrhundert', 'Mann']"
"August Straub (Politiker, 1812)","['Mitglied des Vorparlaments', 'Mitglied der Zweiten Kammer der Badischen Ständeversammlung', 'Politiker (19. Jahrhundert)', 'Politiker (Freiburg im Breisgau)', 'Mediziner (19. Jahrhundert)', 'Burschenschafter (19. Jahrhundert)', 'Deutscher', 'Geboren 1812', 'Gestorben 1879', 'Mann']"
Zürcher Arbeitsgruppe für Städtebau,"['Architekt (Schweiz)', 'Schweizer', 'Geboren 1931', 'Mann']"
