Category,Score,Question Type
Persons,1.1,Baseline
Persons,1.7,Baseline
Buildings,2.6,Baseline
Buildings,0.6,Baseline
Diseases,0.0,Baseline
Diseases,1.5,Baseline
History,0.0,Baseline
History,1.9,Baseline
Literature,1.4,Baseline
Literature,2.8,Baseline
Magazines,5.1,Baseline
Magazines,1.3,Baseline
Newspapers,6.2,Baseline
Newspapers,1.6,Baseline
Organizations,0.4,Baseline
Organizations,0.0,Baseline
Parks,7.9,Baseline
Parks,1.6,Baseline
Schools,0.8,Baseline
Schools,1.5,Baseline
Ships,0.0,Baseline
Ships,0.0,Baseline
Persons,1.1,Translation-Based
Persons,2.3,Translation-Based
Buildings,0.6,Translation-Based
Buildings,0.6,Translation-Based
Diseases,1.5,Translation-Based
Diseases,1.5,Translation-Based
History,1.0,Translation-Based
History,1.0,Translation-Based
Literature,2.8,Translation-Based
Literature,1.4,Translation-Based
Magazines,2.5,Translation-Based
Magazines,1.3,Translation-Based
Newspapers,4.7,Translation-Based
Newspapers,1.6,Translation-Based
Organizations,0.9,Translation-Based
Organizations,0.4,Translation-Based
Parks,3.2,Translation-Based
Parks,1.6,Translation-Based
Schools,0.8,Translation-Based
Schools,1.5,Translation-Based
Ships,0.0,Translation-Based
Ships,0.0,Translation-Based
Persons,2.3,Human-Generated
Persons,5.7,Human-Generated
Buildings,7.1,Human-Generated
Buildings,2.6,Human-Generated
Diseases,3.0,Human-Generated
Diseases,3.0,Human-Generated
History,0.0,Human-Generated
History,4.8,Human-Generated
Literature,9.9,Human-Generated
Literature,12.7,Human-Generated
Magazines,11.4,Human-Generated
Magazines,2.5,Human-Generated
Newspapers,9.4,Human-Generated
Newspapers,9.4,Human-Generated
Organizations,1.8,Human-Generated
Organizations,0.0,Human-Generated
Parks,11.1,Human-Generated
Parks,4.8,Human-Generated
Schools,1.6,Human-Generated
Schools,4.6,Human-Generated
Ships,7.4,Human-Generated
Ships,4.4,Human-Generated
