Category,Score,Question Type
Persons,20.0,Baseline
Persons,13.6,Baseline
Buildings,17.0,Baseline
Buildings,8.3,Baseline
Diseases,0.0,Baseline
Diseases,20.0,Baseline
History,0.0,Baseline
History,11.1,Baseline
Literature,9.1,Baseline
Literature,14.8,Baseline
Magazines,33.3,Baseline
Magazines,2.8,Baseline
Newspapers,7.9,Baseline
Newspapers,3.9,Baseline
Organizations,3.9,Baseline
Organizations,0.0,Baseline
Parks,31.3,Baseline
Parks,9.1,Baseline
Schools,1.8,Baseline
Schools,2.6,Baseline
Ships,0.0,Baseline
Ships,0.0,Baseline
Persons,20.0,Translation-Based
Persons,18.2,Translation-Based
Buildings,4.2,Translation-Based
Buildings,8.3,Translation-Based
Diseases,14.3,Translation-Based
Diseases,20.0,Translation-Based
History,12.5,Translation-Based
History,5.6,Translation-Based
Literature,18.2,Translation-Based
Literature,7.4,Translation-Based
Magazines,16.7,Translation-Based
Magazines,2.8,Translation-Based
Newspapers,5.9,Translation-Based
Newspapers,3.9,Translation-Based
Organizations,7.8,Translation-Based
Organizations,4.1,Translation-Based
Parks,12.5,Translation-Based
Parks,9.1,Translation-Based
Schools,1.8,Translation-Based
Schools,2.6,Translation-Based
Ships,0.0,Translation-Based
Ships,0.0,Translation-Based
Persons,40.0,Human-Generated
Persons,45.5,Human-Generated
Buildings,46.8,Human-Generated
Buildings,33.3,Human-Generated
Diseases,28.6,Human-Generated
Diseases,40.0,Human-Generated
History,0.0,Human-Generated
History,27.8,Human-Generated
Literature,63.6,Human-Generated
Literature,66.7,Human-Generated
Magazines,75.0,Human-Generated
Magazines,5.8,Human-Generated
Newspapers,11.9,Human-Generated
Newspapers,23.5,Human-Generated
Organizations,15.7,Human-Generated
Organizations,0.0,Human-Generated
Parks,43.7,Human-Generated
Parks,27.2,Human-Generated
Schools,3.5,Human-Generated
Schools,7.5,Human-Generated
Ships,34.4,Human-Generated
Ships,30.0,Human-Generated
