Category,Score,Question Type
Persons,22.2,Baseline
Persons,16.7,Baseline
Buildings,17.4,Baseline
Buildings,8.3,Baseline
Diseases,0.0,Baseline
Diseases,20.0,Baseline
History,0.0,Baseline
History,11.1,Baseline
Literature,9.1,Baseline
Literature,15.4,Baseline
Magazines,33.3,Baseline
Magazines,4.3,Baseline
Newspapers,20.0,Baseline
Newspapers,7.7,Baseline
Organizations,4.3,Baseline
Organizations,0.0,Baseline
Parks,41.7,Baseline
Parks,12.5,Baseline
Schools,5.3,Baseline
Schools,8.7,Baseline
Ships,0.0,Baseline
Ships,0.0,Baseline
Persons,22.2,Translation-Based
Persons,22.2,Translation-Based
Buildings,4.3,Translation-Based
Buildings,8.3,Translation-Based
Diseases,14.3,Translation-Based
Diseases,20.0,Translation-Based
History,12.5,Translation-Based
History,5.6,Translation-Based
Literature,18.2,Translation-Based
Literature,7.7,Translation-Based
Magazines,16.7,Translation-Based
Magazines,4.3,Translation-Based
Newspapers,15.0,Translation-Based
Newspapers,7.7,Translation-Based
Organizations,8.7,Translation-Based
Organizations,5.3,Translation-Based
Parks,16.7,Translation-Based
Parks,12.5,Translation-Based
Schools,5.3,Translation-Based
Schools,8.7,Translation-Based
Ships,0.0,Translation-Based
Ships,0.0,Translation-Based
Persons,44.4,Human-Generated
Persons,55.6,Human-Generated
Buildings,47.8,Human-Generated
Buildings,33.3,Human-Generated
Diseases,28.6,Human-Generated
Diseases,40.0,Human-Generated
History,0.0,Human-Generated
History,27.8,Human-Generated
Literature,63.6,Human-Generated
Literature,69.2,Human-Generated
Magazines,75.0,Human-Generated
Magazines,8.7,Human-Generated
Newspapers,30.0,Human-Generated
Newspapers,46.2,Human-Generated
Organizations,17.4,Human-Generated
Organizations,0.0,Human-Generated
Parks,58.3,Human-Generated
Parks,37.5,Human-Generated
Schools,10.5,Human-Generated
Schools,26.1,Human-Generated
Ships,71.4,Human-Generated
Ships,37.5,Human-Generated
