Category,Score,Question Type
Persons,18.2,Baseline
Persons,11.5,Baseline
Buildings,16.7,Baseline
Buildings,8.3,Baseline
Diseases,0.0,Baseline
Diseases,20.0,Baseline
History,0.0,Baseline
History,11.1,Baseline
Literature,9.1,Baseline
Literature,14.3,Baseline
Magazines,33.3,Baseline
Magazines,2.1,Baseline
Newspapers,4.9,Baseline
Newspapers,2.6,Baseline
Organizations,3.6,Baseline
Organizations,0.0,Baseline
Parks,25.0,Baseline
Parks,7.1,Baseline
Schools,1.1,Baseline
Schools,1.5,Baseline
Ships,0.0,Baseline
Ships,0.0,Baseline
Persons,18.2,Translation-Based
Persons,15.4,Translation-Based
Buildings,4.2,Translation-Based
Buildings,8.3,Translation-Based
Diseases,14.3,Translation-Based
Diseases,20.0,Translation-Based
History,12.5,Translation-Based
History,5.6,Translation-Based
Literature,18.2,Translation-Based
Literature,7.1,Translation-Based
Magazines,16.7,Translation-Based
Magazines,2.1,Translation-Based
Newspapers,3.7,Translation-Based
Newspapers,2.6,Translation-Based
Organizations,7.1,Translation-Based
Organizations,3.3,Translation-Based
Parks,10.0,Translation-Based
Parks,7.1,Translation-Based
Schools,1.1,Translation-Based
Schools,1.5,Translation-Based
Ships,0.0,Translation-Based
Ships,0.0,Translation-Based
Persons,36.4,Human-Generated
Persons,38.5,Human-Generated
Buildings,45.8,Human-Generated
Buildings,33.3,Human-Generated
Diseases,28.6,Human-Generated
Diseases,40.0,Human-Generated
History,0.0,Human-Generated
History,27.8,Human-Generated
Literature,63.6,Human-Generated
Literature,64.3,Human-Generated
Magazines,75.0,Human-Generated
Magazines,4.3,Human-Generated
Newspapers,7.4,Human-Generated
Newspapers,15.8,Human-Generated
Organizations,14.3,Human-Generated
Organizations,0.0,Human-Generated
Parks,35.0,Human-Generated
Parks,21.4,Human-Generated
Schools,2.1,Human-Generated
Schools,4.4,Human-Generated
Ships,22.7,Human-Generated
Ships,25.0,Human-Generated
