Category,Score,Question Type
Persons,3.0,Baseline
Persons,10.4,Baseline
Buildings,18.4,Baseline
Buildings,18.4,Baseline
Diseases,0.0,Baseline
Diseases,2.4,Baseline
History,4.4,Baseline
History,2.9,Baseline
Literature,20.5,Baseline
Literature,11.4,Baseline
Magazines,21.4,Baseline
Magazines,21.4,Baseline
Newspapers,20.0,Baseline
Newspapers,32.0,Baseline
Organizations,13.4,Baseline
Organizations,4.0,Baseline
Parks,0.0,Baseline
Parks,0.0,Baseline
Schools,7.0,Baseline
Schools,10.5,Baseline
Ships,1.9,Baseline
Ships,34.6,Baseline
Persons,4.3,Translation-Based
Persons,9.1,Translation-Based
Buildings,15.3,Translation-Based
Buildings,14.3,Translation-Based
Diseases,4.8,Translation-Based
Diseases,2.4,Translation-Based
History,2.9,Translation-Based
History,2.9,Translation-Based
Literature,18.2,Translation-Based
Literature,11.4,Translation-Based
Magazines,21.4,Translation-Based
Magazines,16.1,Translation-Based
Newspapers,28.0,Translation-Based
Newspapers,24.0,Translation-Based
Organizations,14.4,Translation-Based
Organizations,5.0,Translation-Based
Parks,12.5,Translation-Based
Parks,0.0,Translation-Based
Schools,8.8,Translation-Based
Schools,9.6,Translation-Based
Ships,3.8,Translation-Based
Ships,30.8,Translation-Based
Persons,9.6,Human-Generated
Persons,15.2,Human-Generated
Buildings,20.4,Human-Generated
Buildings,16.3,Human-Generated
Diseases,4.8,Human-Generated
Diseases,4.8,Human-Generated
History,8.8,Human-Generated
History,5.9,Human-Generated
Literature,22.7,Human-Generated
Literature,20.5,Human-Generated
Magazines,25.0,Human-Generated
Magazines,21.4,Human-Generated
Newspapers,44.0,Human-Generated
Newspapers,36.0,Human-Generated
Organizations,13.9,Human-Generated
Organizations,6.9,Human-Generated
Parks,0.0,Human-Generated
Parks,12.5,Human-Generated
Schools,17.5,Human-Generated
Schools,19.3,Human-Generated
Ships,5.8,Human-Generated
Ships,38.5,Human-Generated
