Category,Score,Question Type
Persons,0.12,Baseline
Persons,0.23,Baseline
Buildings,0.47,Baseline
Buildings,0.42,Baseline
Diseases,0.0,Baseline
Diseases,0.16,Baseline
History,0.19,Baseline
History,0.13,Baseline
Literature,0.47,Baseline
Literature,0.21,Baseline
Magazines,0.53,Baseline
Magazines,0.4,Baseline
Newspapers,0.2,Baseline
Newspapers,0.39,Baseline
Organizations,0.4,Baseline
Organizations,0.17,Baseline
Parks,0.0,Baseline
Parks,0.0,Baseline
Schools,0.08,Baseline
Schools,0.16,Baseline
Ships,0.07,Baseline
Ships,0.51,Baseline
Persons,0.17,Translation-Based
Persons,0.21,Translation-Based
Buildings,0.39,Translation-Based
Buildings,0.33,Translation-Based
Diseases,0.33,Translation-Based
Diseases,0.16,Translation-Based
History,0.12,Translation-Based
History,0.13,Translation-Based
Literature,0.42,Translation-Based
Literature,0.21,Translation-Based
Magazines,0.53,Translation-Based
Magazines,0.3,Translation-Based
Newspapers,0.28,Translation-Based
Newspapers,0.29,Translation-Based
Organizations,0.43,Translation-Based
Organizations,0.22,Translation-Based
Parks,0.17,Translation-Based
Parks,0.0,Translation-Based
Schools,0.1,Translation-Based
Schools,0.15,Translation-Based
Ships,0.13,Translation-Based
Ships,0.46,Translation-Based
Persons,0.37,Human-Generated
Persons,0.34,Human-Generated
Buildings,0.53,Human-Generated
Buildings,0.37,Human-Generated
Diseases,0.33,Human-Generated
Diseases,0.34,Human-Generated
History,0.39,Human-Generated
History,0.27,Human-Generated
Literature,0.53,Human-Generated
Literature,0.38,Human-Generated
Magazines,0.62,Human-Generated
Magazines,0.4,Human-Generated
Newspapers,0.43,Human-Generated
Newspapers,0.44,Human-Generated
Organizations,0.42,Human-Generated
Organizations,0.31,Human-Generated
Parks,0.0,Human-Generated
Parks,0.17,Human-Generated
Schools,0.2,Human-Generated
Schools,0.29,Human-Generated
Ships,0.2,Human-Generated
Ships,0.57,Human-Generated
