Category,Score,Question Type
Persons,13.7,Baseline
Persons,32.9,Baseline
Buildings,47.4,Baseline
Buildings,42.9,Baseline
Diseases,0.0,Baseline
Diseases,20.0,Baseline
History,20.0,Baseline
History,13.3,Baseline
Literature,47.4,Baseline
Literature,21.7,Baseline
Magazines,54.5,Baseline
Magazines,42.9,Baseline
Newspapers,26.3,Baseline
Newspapers,47.1,Baseline
Organizations,45.8,Baseline
Organizations,18.2,Baseline
Parks,0.0,Baseline
Parks,0.0,Baseline
Schools,18.6,Baseline
Schools,32.4,Baseline
Ships,6.7,Baseline
Ships,51.4,Baseline
Persons,19.6,Translation-Based
Persons,28.8,Translation-Based
Buildings,39.5,Translation-Based
Buildings,33.3,Translation-Based
Diseases,33.3,Translation-Based
Diseases,20.0,Translation-Based
History,13.3,Translation-Based
History,13.3,Translation-Based
Literature,42.1,Translation-Based
Literature,21.7,Translation-Based
Magazines,54.5,Translation-Based
Magazines,32.1,Translation-Based
Newspapers,36.8,Translation-Based
Newspapers,35.3,Translation-Based
Organizations,49.2,Translation-Based
Organizations,22.7,Translation-Based
Parks,16.7,Translation-Based
Parks,0.0,Translation-Based
Schools,23.3,Translation-Based
Schools,29.7,Translation-Based
Ships,13.3,Translation-Based
Ships,45.7,Translation-Based
Persons,43.1,Human-Generated
Persons,47.9,Human-Generated
Buildings,52.6,Human-Generated
Buildings,38.1,Human-Generated
Diseases,33.3,Human-Generated
Diseases,40.0,Human-Generated
History,40.0,Human-Generated
History,26.7,Human-Generated
Literature,52.6,Human-Generated
Literature,39.1,Human-Generated
Magazines,63.6,Human-Generated
Magazines,42.9,Human-Generated
Newspapers,57.9,Human-Generated
Newspapers,52.9,Human-Generated
Organizations,47.5,Human-Generated
Organizations,31.8,Human-Generated
Parks,0.0,Human-Generated
Parks,16.7,Human-Generated
Schools,46.5,Human-Generated
Schools,59.5,Human-Generated
Ships,20.0,Human-Generated
Ships,57.1,Human-Generated
