Category,Score,Question Type
Persons,10.6,Baseline
Persons,17.8,Baseline
Buildings,47.4,Baseline
Buildings,41.9,Baseline
Diseases,0.0,Baseline
Diseases,14.3,Baseline
History,18.8,Baseline
History,13.3,Baseline
Literature,47.4,Baseline
Literature,20.8,Baseline
Magazines,52.2,Baseline
Magazines,37.5,Baseline
Newspapers,15.6,Baseline
Newspapers,33.3,Baseline
Organizations,36.5,Baseline
Organizations,17.4,Baseline
Parks,0.0,Baseline
Parks,0.0,Baseline
Schools,5.0,Baseline
Schools,10.5,Baseline
Ships,6.7,Baseline
Ships,51.4,Baseline
Persons,15.2,Translation-Based
Persons,15.6,Translation-Based
Buildings,39.5,Translation-Based
Buildings,32.6,Translation-Based
Diseases,33.3,Translation-Based
Diseases,14.3,Translation-Based
History,12.5,Translation-Based
History,13.3,Translation-Based
Literature,42.1,Translation-Based
Literature,20.8,Translation-Based
Magazines,52.2,Translation-Based
Magazines,28.1,Translation-Based
Newspapers,21.9,Translation-Based
Newspapers,25.0,Translation-Based
Organizations,39.2,Translation-Based
Organizations,21.7,Translation-Based
Parks,16.7,Translation-Based
Parks,0.0,Translation-Based
Schools,6.3,Translation-Based
Schools,9.6,Translation-Based
Ships,13.3,Translation-Based
Ships,45.7,Translation-Based
Persons,33.3,Human-Generated
Persons,25.9,Human-Generated
Buildings,52.6,Human-Generated
Buildings,37.2,Human-Generated
Diseases,33.3,Human-Generated
Diseases,28.6,Human-Generated
History,37.5,Human-Generated
History,26.7,Human-Generated
Literature,52.6,Human-Generated
Literature,37.5,Human-Generated
Magazines,60.9,Human-Generated
Magazines,37.5,Human-Generated
Newspapers,34.4,Human-Generated
Newspapers,37.5,Human-Generated
Organizations,37.8,Human-Generated
Organizations,30.4,Human-Generated
Parks,0.0,Human-Generated
Parks,16.7,Human-Generated
Schools,12.6,Human-Generated
Schools,19.3,Human-Generated
Ships,20.0,Human-Generated
Ships,57.1,Human-Generated
