Entity,Baseline EM,Translation-Based EM,Human-Generated EM
Berliner Volks-Zeitung,6.2,4.7,9.4
Brand von Glarus,0.0,1.0,0.0
Bürgerpark und Stadtwald,7.9,3.2,11.1
Der Raubfisch,5.1,2.5,11.4
Eidgenössische Bank,0.4,0.9,1.8
Erna Wazinski,1.1,1.1,2.3
Fadenwurminfektionen des Hundes,0.0,1.5,3.0
Graf Öderland,1.4,2.8,9.9
Hamburger Tageblatt,1.6,1.6,9.4
Hans Schnitzler,1.7,2.3,5.7
Haus Fürsteneck,2.6,0.6,7.1
Jüdische Gemeinde Esens,0.0,0.4,0.0
Kettenschifffahrt auf dem Main,0.0,0.0,7.4
Kunstgewerbe- und Handwerkerschule Magdeburg,0.8,0.8,1.6
Königseiche,1.6,1.6,4.8
Ostfriesland zur Zeit des Dreißigjährigen Krieges,1.9,1.0,4.8
Paul Parey Zeitschriftenverlag,1.3,1.3,2.5
Schweiz ohne Armee? Ein Palaver,2.8,1.4,12.7
"Sperber (Schiff, 1938)",0.0,0.0,4.4
Staatliche Zeichenakademie Hanau,1.5,1.5,4.6
Weinbergkirche (Dresden),0.6,0.6,2.6
Wurminfektionen der Katze,1.5,1.5,3.0
