Entity,Baseline F1,Translation-Based F1,Human-Generated F1
Berliner Volks-Zeitung,7.9,5.9,11.9
Brand von Glarus,0.0,12.5,0.0
Bürgerpark und Stadtwald,31.3,12.5,43.7
Der Raubfisch,33.3,16.7,75.0
Eidgenössische Bank,3.9,7.8,15.7
Erna Wazinski,20.0,20.0,40.0
Fadenwurminfektionen des Hundes,0.0,14.3,28.6
Graf Öderland,9.1,18.2,63.6
Hamburger Tageblatt,3.9,3.9,23.5
Hans Schnitzler,13.6,18.2,45.5
Haus Fürsteneck,17.0,4.2,46.8
Jüdische Gemeinde Esens,0.0,4.1,0.0
Kettenschifffahrt auf dem Main,0.0,0.0,34.4
Kunstgewerbe- und Handwerkerschule Magdeburg,1.8,1.8,3.5
Königseiche,9.1,9.1,27.2
Ostfriesland zur Zeit des Dreißigjährigen Krieges,11.1,5.6,27.8
Paul Parey Zeitschriftenverlag,2.8,2.8,5.8
Schweiz ohne Armee? Ein Palaver,14.8,7.4,66.7
"Sperber (Schiff, 1938)",0.0,0.0,30.0
Staatliche Zeichenakademie Hanau,2.6,2.6,7.5
Weinbergkirche (Dresden),8.3,8.3,33.3
Wurminfektionen der Katze,20.0,20.0,40.0
