Entity,Baseline Precision,Translation-Based Precision,Human-Generated Precision
Berliner Volks-Zeitung,20.0,15.0,30.0
Brand von Glarus,0.0,12.5,0.0
Bürgerpark und Stadtwald,41.7,16.7,58.3
Der Raubfisch,33.3,16.7,75.0
Eidgenössische Bank,4.3,8.7,17.4
Erna Wazinski,22.2,22.2,44.4
Fadenwurminfektionen des Hundes,0.0,14.3,28.6
Graf Öderland,9.1,18.2,63.6
Hamburger Tageblatt,7.7,7.7,46.2
Hans Schnitzler,16.7,22.2,55.6
Haus Fürsteneck,17.4,4.3,47.8
Jüdische Gemeinde Esens,0.0,5.3,0.0
Kettenschifffahrt auf dem Main,0.0,0.0,71.4
Kunstgewerbe- und Handwerkerschule Magdeburg,5.3,5.3,10.5
Königseiche,12.5,12.5,37.5
Ostfriesland zur Zeit des Dreißigjährigen Krieges,11.1,5.6,27.8
Paul Parey Zeitschriftenverlag,4.3,4.3,8.7
Schweiz ohne Armee? Ein Palaver,15.4,7.7,69.2
"Sperber (Schiff, 1938)",0.0,0.0,37.5
Staatliche Zeichenakademie Hanau,8.7,8.7,26.1
Weinbergkirche (Dresden),8.3,8.3,33.3
Wurminfektionen der Katze,20.0,20.0,40.0
