Entity,Baseline EM,Translation-Based EM,Human-Generated EM
Berliner Volks-Zeitung,20.0,28.0,44.0
Brand von Glarus,4.4,2.9,8.8
Bürgerpark und Stadtwald,0.0,12.5,0.0
Der Raubfisch,21.4,21.4,25.0
Eidgenössische Bank,13.4,14.4,13.9
Erna Wazinski,3.0,4.3,9.6
Fadenwurminfektionen des Hundes,0.0,4.8,4.8
Graf Öderland,20.5,18.2,22.7
Hamburger Tageblatt,32.0,24.0,36.0
Hans Schnitzler,10.4,9.1,15.2
Haus Fürsteneck,18.4,15.3,20.4
Jüdische Gemeinde Esens,4.0,5.0,6.9
Kettenschifffahrt auf dem Main,1.9,3.8,5.8
Kunstgewerbe- und Handwerkerschule Magdeburg,7.0,8.8,17.5
Königseiche,0.0,0.0,12.5
Ostfriesland zur Zeit des Dreißigjährigen Krieges,2.9,2.9,5.9
Paul Parey Zeitschriftenverlag,21.4,16.1,21.4
Schweiz ohne Armee? Ein Palaver,11.4,11.4,20.5
"Sperber (Schiff, 1938)",34.6,30.8,38.5
Staatliche Zeichenakademie Hanau,10.5,9.6,19.3
Weinbergkirche (Dresden),18.4,14.3,16.3
Wurminfektionen der Katze,2.4,2.4,4.8
