Entity,Baseline F1,Translation-Based F1,Human-Generated F1
Berliner Volks-Zeitung,19.6,27.5,43.2
Brand von Glarus,19.4,12.9,38.7
Bürgerpark und Stadtwald,0.0,16.7,0.0
Der Raubfisch,53.3,53.3,62.2
Eidgenössische Bank,40.6,43.6,42.1
Erna Wazinski,12.0,17.1,37.6
Fadenwurminfektionen des Hundes,0.0,33.3,33.3
Graf Öderland,47.4,42.1,52.6
Hamburger Tageblatt,39.0,29.3,43.9
Hans Schnitzler,23.1,20.2,33.6
Haus Fürsteneck,47.4,39.5,52.6
Jüdische Gemeinde Esens,17.8,22.2,31.1
Kettenschifffahrt auf dem Main,6.7,13.3,20.0
Kunstgewerbe- und Handwerkerschule Magdeburg,7.9,9.9,19.8
Königseiche,0.0,0.0,16.7
Ostfriesland zur Zeit des Dreißigjährigen Krieges,13.3,13.3,26.7
Paul Parey Zeitschriftenverlag,40.0,30.0,40.0
Schweiz ohne Armee? Ein Palaver,21.2,21.2,38.3
"Sperber (Schiff, 1938)",51.4,45.7,57.1
Staatliche Zeichenakademie Hanau,15.9,14.5,29.1
Weinbergkirche (Dresden),42.4,32.9,37.6
Wurminfektionen der Katze,16.7,16.7,33.4
