Entity,Baseline Precision,Translation-Based Precision,Human-Generated Precision
Berliner Volks-Zeitung,26.3,36.8,57.9
Brand von Glarus,20.0,13.3,40.0
Bürgerpark und Stadtwald,0.0,16.7,0.0
Der Raubfisch,54.5,54.5,63.6
Eidgenössische Bank,45.8,49.2,47.5
Erna Wazinski,13.7,19.6,43.1
Fadenwurminfektionen des Hundes,0.0,33.3,33.3
Graf Öderland,47.4,42.1,52.6
Hamburger Tageblatt,47.1,35.3,52.9
Hans Schnitzler,32.9,28.8,47.9
Haus Fürsteneck,47.4,39.5,52.6
Jüdische Gemeinde Esens,18.2,22.7,31.8
Kettenschifffahrt auf dem Main,6.7,13.3,20.0
Kunstgewerbe- und Handwerkerschule Magdeburg,18.6,23.3,46.5
Königseiche,0.0,0.0,16.7
Ostfriesland zur Zeit des Dreißigjährigen Krieges,13.3,13.3,26.7
Paul Parey Zeitschriftenverlag,42.9,32.1,42.9
Schweiz ohne Armee? Ein Palaver,21.7,21.7,39.1
"Sperber (Schiff, 1938)",51.4,45.7,57.1
Staatliche Zeichenakademie Hanau,32.4,29.7,59.5
Weinbergkirche (Dresden),42.9,33.3,38.1
Wurminfektionen der Katze,20.0,20.0,40.0
