Entity,Baseline Recall,Translation-Based Recall,Human-Generated Recall
Berliner Volks-Zeitung,15.6,21.9,34.4
Brand von Glarus,18.8,12.5,37.5
Bürgerpark und Stadtwald,0.0,16.7,0.0
Der Raubfisch,52.2,52.2,60.9
Eidgenössische Bank,36.5,39.2,37.8
Erna Wazinski,10.6,15.2,33.3
Fadenwurminfektionen des Hundes,0.0,33.3,33.3
Graf Öderland,47.4,42.1,52.6
Hamburger Tageblatt,33.3,25.0,37.5
Hans Schnitzler,17.8,15.6,25.9
Haus Fürsteneck,47.4,39.5,52.6
Jüdische Gemeinde Esens,17.4,21.7,30.4
Kettenschifffahrt auf dem Main,6.7,13.3,20.0
Kunstgewerbe- und Handwerkerschule Magdeburg,5.0,6.3,12.6
Königseiche,0.0,0.0,16.7
Ostfriesland zur Zeit des Dreißigjährigen Krieges,13.3,13.3,26.7
Paul Parey Zeitschriftenverlag,37.5,28.1,37.5
Schweiz ohne Armee? Ein Palaver,20.8,20.8,37.5
"Sperber (Schiff, 1938)",51.4,45.7,57.1
Staatliche Zeichenakademie Hanau,10.5,9.6,19.3
Weinbergkirche (Dresden),41.9,32.6,37.2
Wurminfektionen der Katze,14.3,14.3,28.6
