Entity,Baseline EM,Translation-Based EM,Human-Generated EM
Berliner Volks-Zeitung,28.0,28.0,44.0
Brand von Glarus,45.6,45.6,32.4
Bürgerpark und Stadtwald,0.0,12.5,0.0
Der Raubfisch,58.9,51.8,64.3
Eidgenössische Bank,51.5,37.1,38.1
Erna Wazinski,12.2,4.8,13.9
Fadenwurminfektionen des Hundes,38.1,4.8,4.8
Graf Öderland,20.5,18.2,22.7
Hamburger Tageblatt,40.0,32.0,48.0
Hans Schnitzler,37.0,18.7,28.3
Haus Fürsteneck,34.7,28.6,29.6
Jüdische Gemeinde Esens,33.2,20.8,22.3
Kettenschifffahrt auf dem Main,9.6,5.8,7.7
Kunstgewerbe- und Handwerkerschule Magdeburg,8.8,17.5,22.8
Königseiche,0.0,0.0,12.5
Ostfriesland zur Zeit des Dreißigjährigen Krieges,36.8,7.4,17.6
Paul Parey Zeitschriftenverlag,50.0,32.1,35.7
Schweiz ohne Armee? Ein Palaver,18.2,11.4,20.5
"Sperber (Schiff, 1938)",50.0,38.5,46.2
Staatliche Zeichenakademie Hanau,49.1,28.9,43.0
Weinbergkirche (Dresden),36.7,18.4,20.4
Wurminfektionen der Katze,38.1,23.8,19.0
