Entity,Baseline Precision,Translation-Based Precision,Human-Generated Precision
Berliner Volks-Zeitung,31.2,36.8,57.9
Brand von Glarus,22.2,12.5,50.0
Bürgerpark und Stadtwald,0.0,16.7,0.0
Der Raubfisch,81.8,71.4,82.4
Eidgenössische Bank,80.6,59.1,56.8
Erna Wazinski,11.9,20.4,47.8
Fadenwurminfektionen des Hundes,0.0,33.3,33.3
Graf Öderland,53.3,44.4,52.6
Hamburger Tageblatt,77.8,42.9,56.2
Hans Schnitzler,39.1,29.0,46.4
Haus Fürsteneck,56.7,44.1,55.6
Jüdische Gemeinde Esens,26.1,29.4,35.1
Kettenschifffahrt auf dem Main,11.1,18.2,25.0
Kunstgewerbe- und Handwerkerschule Magdeburg,18.6,21.4,46.5
Königseiche,0.0,0.0,33.3
Ostfriesland zur Zeit des Dreißigjährigen Krieges,25.0,16.7,30.8
Paul Parey Zeitschriftenverlag,58.3,42.9,57.9
Schweiz ohne Armee? Ein Palaver,25.0,22.7,39.1
"Sperber (Schiff, 1938)",77.3,53.6,64.3
Staatliche Zeichenakademie Hanau,50.0,32.1,65.5
Weinbergkirche (Dresden),51.7,37.8,40.5
Wurminfektionen der Katze,25.0,20.0,40.0
