Entity,Baseline Precision,Translation-Based Precision,Human-Generated Precision
Berliner Volks-Zeitung,14.3,9.1,30.0
Brand von Glarus,0.0,33.3,0.0
Bürgerpark und Stadtwald,50.0,22.2,70.0
Der Raubfisch,66.7,50.0,71.4
Eidgenössische Bank,33.3,22.2,42.9
Erna Wazinski,33.3,25.0,37.5
Fadenwurminfektionen des Hundes,0.0,16.7,33.3
Graf Öderland,33.3,50.0,70.0
Hamburger Tageblatt,0.0,16.7,55.6
Hans Schnitzler,25.0,25.0,50.0
Haus Fürsteneck,50.0,0.0,55.6
Jüdische Gemeinde Esens,0.0,12.5,0.0
Kettenschifffahrt auf dem Main,0.0,0.0,71.4
Kunstgewerbe- und Handwerkerschule Magdeburg,0.0,5.9,15.4
Königseiche,0.0,25.0,33.3
Ostfriesland zur Zeit des Dreißigjährigen Krieges,50.0,14.3,38.5
Paul Parey Zeitschriftenverlag,0.0,14.3,22.2
Schweiz ohne Armee? Ein Palaver,40.0,11.1,69.2
"Sperber (Schiff, 1938)",0.0,0.0,50.0
Staatliche Zeichenakademie Hanau,0.0,11.1,40.0
Weinbergkirche (Dresden),100.0,25.0,50.0
Wurminfektionen der Katze,0.0,0.0,33.3
