Entity,Baseline Recall,Translation-Based Recall,Human-Generated Recall
Berliner Volks-Zeitung,4.0,2.8,7.4
Brand von Glarus,0.0,33.3,0.0
Bürgerpark und Stadtwald,50.0,14.3,46.7
Der Raubfisch,66.7,50.0,71.4
Eidgenössische Bank,20.0,18.2,33.3
Erna Wazinski,28.6,20.0,30.0
Fadenwurminfektionen des Hundes,0.0,16.7,33.3
Graf Öderland,33.3,50.0,70.0
Hamburger Tageblatt,0.0,7.1,20.0
Hans Schnitzler,11.1,18.2,35.0
Haus Fürsteneck,44.4,0.0,52.6
Jüdische Gemeinde Esens,0.0,8.3,0.0
Kettenschifffahrt auf dem Main,0.0,0.0,22.7
Kunstgewerbe- und Handwerkerschule Magdeburg,0.0,1.2,2.5
Königseiche,0.0,16.7,12.5
Ostfriesland zur Zeit des Dreißigjährigen Krieges,50.0,14.3,38.5
Paul Parey Zeitschriftenverlag,0.0,6.7,9.5
Schweiz ohne Armee? Ein Palaver,40.0,10.0,64.3
"Sperber (Schiff, 1938)",0.0,0.0,33.3
Staatliche Zeichenakademie Hanau,0.0,1.8,6.8
Weinbergkirche (Dresden),100.0,25.0,50.0
Wurminfektionen der Katze,0.0,0.0,33.3
