Entity,Baseline Recall,Translation-Based Recall,Human-Generated Recall
Berliner Volks-Zeitung,18.8,20.8,38.5
Brand von Glarus,0.0,0.0,33.3
Bürgerpark und Stadtwald,0.0,0.0,0.0
Der Raubfisch,100.0,66.7,88.9
Eidgenössische Bank,100.0,68.4,60.9
Erna Wazinski,13.0,24.2,37.8
Fadenwurminfektionen des Hundes,0.0,0.0,0.0
Graf Öderland,50.0,57.1,69.2
Hamburger Tageblatt,100.0,37.5,33.3
Hans Schnitzler,40.9,18.4,28.6
Haus Fürsteneck,72.7,62.5,63.2
Jüdische Gemeinde Esens,50.0,37.5,50.0
Kettenschifffahrt auf dem Main,0.0,0.0,50.0
Kunstgewerbe- und Handwerkerschule Magdeburg,15.4,9.5,19.2
Königseiche,0.0,0.0,50.0
Ostfriesland zur Zeit des Dreißigjährigen Krieges,100.0,33.3,50.0
Paul Parey Zeitschriftenverlag,71.4,46.2,55.6
Schweiz ohne Armee? Ein Palaver,60.0,36.4,53.3
"Sperber (Schiff, 1938)",50.0,70.0,81.2
Staatliche Zeichenakademie Hanau,30.0,10.2,21.1
Weinbergkirche (Dresden),66.7,46.2,47.1
Wurminfektionen der Katze,0.0,0.0,33.3
