Subject;Predicate;Object;Wikipedia-URL
N/A;Geburtsort;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Bund tätiger Altstadtfreunde;Standort;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Schlacht;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Stadt;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Bund tätiger Altstadtfreunde;Hauptsitz;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Heimstadion;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Christian Steffen;bekannt für;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;museum;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Johann von Holzhausen;Residenz;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Ruhestätte;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Stadion;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Institution;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Arbeitgeber;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Christian Steffen;bedeutendes Gebäude;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Dietrich Goßmann;Sterbeort;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;bedeutender Schrein;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Auszeichnung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Christian Steffen;Beschäftigung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Diözese;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Ausbildung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Ort der Bestattung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Betreiber;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Eigentümer;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Produktionsfirma;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Garnison;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Wegende;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Weganfang;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Rennpferd;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Christian Steffen;bedeutendes Projekt;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Produkt;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Fahrgasse;Wegabzweigung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Hauptstadt;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;wichtiger Verkehrsknotenpunkt;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Herausgeber;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Strafe;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Empfangsgebiet;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Bildung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;benannt nach;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Campus;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Gymnasium;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;bild;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Ziel;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Religion;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Bund tätiger Altstadtfreunde;Zuständigkeit;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;wissenschaftliche Disziplin;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Muttergesellschaft;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Operierende Schienenfahrzeuge;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Flussmündung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Militäreinheit;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Entwickler;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Mieter;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Baumeister;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Team;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Ehrungen;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Typ;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Kurator;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;gegründet von;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Vorgänger;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Montage;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Verwaltungsgremium;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Christian Steffen;bedeutendes Design;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;angebundene Eisenbahnlinie;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Sendergruppe;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Firma;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Sendergruppe;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Clubmanager;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Farbe;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Produzent;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;zusammengeschlossen;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Moderator;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Adresse in Straße;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Architekt;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Dietrich Goßmann;Leiche entdeckt;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Johann von Holzhausen, Christian Steffen;Schlüsselperson;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Whalbezirk;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;nächstgelegene Stadt;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Nachfolger;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Feld;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Johann von Holzhausen;Heimatort;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;regisseur;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;schriftsteller;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Züchter;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Bewegung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Beziehung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Befehlshaber;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Dienst;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Ausschuss in der Legislative;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Todesursache;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Region;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;schule;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Startplatz;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;früheren Arbeiten;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;College;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Kind;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Politiker;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Leutnant;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Johann von Holzhausen;Person;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Staatsform;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Verwandter;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Beruf;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Besitzerfirma;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Johann von Holzhausen;Patron;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Hersteller;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;autor;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Rittersaal;ist ein Teil von;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Vorveranstaltung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;nächste Veranstaltung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Johann von Holzhausen;Gründer;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Fahrgasse;Ort des Wegendes;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;beeinflusst durch;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Doktorvater;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;gewartet von;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;gesprochen in;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Insel;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Universität;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Boden;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Plattenlabel;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;aufgenommen in;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Tafel;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Premierenplatz;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Unterteilung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Tochtergesellschaft;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Frankfurter Tanzschule;befindet sich im Bereich;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Schilderer;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Christian Steffen;bemerkenswerte Arbeit;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;seliggesprochener Ort;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Verknüpft eine Entität mit dem bevölkerten Ort, an dem sie sich befindet.;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Johann von Holzhausen;Zugehörigkeit;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Alma Mater;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Verteiler;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Mund Berg;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Mundplatz;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;zugehörige Band;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;assoziierter Musikkünstler;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Brüche;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Heimathafen;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Johann von Holzhausen;in Rechnung gestellt;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Cover-Künstler;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Hauptorgel;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;architektonischer Stil;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Eigentümerorganisation;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Sachbuch;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Kinderorganisation;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Mutterorganisation;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;ehemaliges Team;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;kanonisierter Ort;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Einteilung;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;akademischer Berater;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Zielflughafen;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;militärischer Zweig;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Wiederaufbau;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Region bedient region;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;verehrt in;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Kreuze;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Schöpfer des Gerichts;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Designer;Haus Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
N/A;Geburtsort;Weinbergkirche (Dresden);https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden)
N/A;Standort;Weinbergkirche (Dresden);https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden)
N/A;Schlacht;Weinbergkirche (Dresden);https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden)
N/A;Stadt;Weinbergkirche (Dresden);https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden)
N/A;Hauptsitz;Weinbergkirche (Dresden);https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden)
N/A;Heimstadion;Weinbergkirche (Dresden);https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden)
Matthäus Daniel Pöppelmann;bekannt für;Weinbergkirche (Dresden);https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden)
N/A;museum;Weinbergkirche (Dresden);https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden)
N/A;Residenz;Weinbergkirche (Dresden);https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden)
N/A;Ruhestätte;Weinbergkirche (Dresden);https://de.wikipedia.org/wiki/Weinbergkirche_(Dresden)
