Subject,Predicate,Object,Wikipedia-URL
,Geburtsort,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Bund tätiger Altstadtfreunde,Standort,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Schlacht,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Stadt,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Bund tätiger Altstadtfreunde,Hauptsitz,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Heimstadion,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Christian Steffen,bekannt für,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,museum,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Johann von Holzhausen,Residenz,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Ruhestätte,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Stadion,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Institution,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Arbeitgeber,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Christian Steffen,bedeutendes Gebäude,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Dietrich Goßmann,Sterbeort,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,bedeutender Schrein,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Auszeichnung,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Christian Steffen,Beschäftigung,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Diözese,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Ausbildung,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Ort der Bestattung,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Betreiber,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Eigentümer,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Produktionsfirma,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Garnison,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Wegende,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Weganfang,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Rennpferd,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Christian Steffen,bedeutendes Projekt,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Produkt,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Fahrgasse,Wegabzweigung,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Hauptstadt,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,wichtiger Verkehrsknotenpunkt,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Herausgeber,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Strafe,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Empfangsgebiet,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Bildung,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,benannt nach,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Campus,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Gymnasium,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,bild,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Ziel,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Religion,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
Bund tätiger Altstadtfreunde,Zuständigkeit,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,wissenschaftliche Disziplin,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Muttergesellschaft,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Operierende Schienenfahrzeuge,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Flussmündung,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Militäreinheit,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Entwickler,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
,Mieter,Haus Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck
