Subject;Predicate;Object;Wikipedia-URL;;;;;
Haus Fürsteneck;Standort;Frankfurt am Main;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Sammlung;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Adresse;Fahrgasse 17;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;alternativer Name;Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Anzahl Betten;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Kosten ($);1.530 Gulden;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Küche;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;früherer Name;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Gründungsdatum;1362;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Höhe (μ);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Eröffnungsdatum;1362;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Eröffnungsjahr;1362;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;ursprünglicher Namen;Fürsteneck;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Sitzplatzkapazität;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Status;Zerstört;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Architekt;Christian Steffen;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Stadt;Frankfurt am Main;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Land;Deutschland;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Genre;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Eigentümer;Johann von Holzhausen;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Mieter;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Typ;historisches Gebäude;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Fläche (m2);N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Baujahr;1362;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;nächstgelegene Stadt;Frankfurt am Main;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;bild;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Region;östlichen Altstadt;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Staat;Deutschland;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Besucherzahl;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Verwaltungsgremium;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
Haus Fürsteneck;Code;N/A;https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck;;;;;
