Subject,Predicate,Object,Wikipedia-URL,Unnamed: 4
Haus Fürsteneck,Standort,Frankfurt am Main,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Sammlung,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Adresse,Fahrgasse 17,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,alternativer Name,Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Anzahl Betten,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Kosten ($),1.530 Gulden,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Küche,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,früherer Name,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Gründungsdatum,1362,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Höhe (μ),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Eröffnungsdatum,1362,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Eröffnungsjahr,1362,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,ursprünglicher Namen,Fürsteneck,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Sitzplatzkapazität,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Status,Zerstört,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Architekt,Christian Steffen,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Stadt,Frankfurt am Main,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Land,Deutschland,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Genre,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Eigentümer,Johann von Holzhausen,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Mieter,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Typ,historisches Gebäude,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Fläche (m2),,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Baujahr,1362,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,nächstgelegene Stadt,Frankfurt am Main,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,bild,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Region,östlichen Altstadt,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Staat,Deutschland,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Besucherzahl,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Verwaltungsgremium,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Code,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Schließungsjahr,1944,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Anzahl der Restaurants,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Anzahl der Zimmer,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Betreiber,Bund tätiger Altstadtfreunde,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Baumeister,Christian Steffen,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Entwickler,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Küchenchef,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Sprache,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Wertung,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Material,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Wiedereröffnungdatum,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Reservierungen,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,Aufzüge,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
Haus Fürsteneck,regisseur,,https://de.wikipedia.org/wiki/Haus_F%C3%BCrsteneck,
