Top 5 Person Properties for Baseline Questions Subject Position (e, r, ?): 
Nationalität, avg. score: 0.77
Geburtsdatum, avg. score: 0.76
Geburtsort, avg. score: 0.74
Geburtsjahr, avg. score: 0.73
Sterbedatum, avg. score: 0.71

Bottom 5 Person Properties for Baseline Questions Subject Positions (e, r, ?): 
brutto ($), avg. score: 0.07
Hüftumfang (μ), avg. score: 0.06
Taillenumfang (μ), avg. score: 0.06
Nettovermögen ($), avg. score: 0.06
Siege in Ranglistenturnieren, avg. score: 0.05
