"p","lde","len"
"http://dbpedia.org/ontology/birthPlace","Geburtsort","birth place"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/battle","Schlacht","battle"
"http://dbpedia.org/ontology/city","Stadt","city"
"http://dbpedia.org/ontology/headquarter","Hauptsitz","headquarter"
"http://dbpedia.org/ontology/homeStadium","Heimstadion","home stadium"
"http://dbpedia.org/ontology/knownFor","bekannt für","known for"
"http://dbpedia.org/ontology/museum","museum","museum"
"http://dbpedia.org/ontology/residence","Residenz","residence"
"http://dbpedia.org/ontology/restingPlace","Ruhestätte","resting place"
"http://dbpedia.org/ontology/stadium","Stadion","Stadium"
"http://dbpedia.org/ontology/institution","Institution","institution"
"http://dbpedia.org/ontology/employer","Arbeitgeber","employer"
"http://dbpedia.org/ontology/significantBuilding","bedeutendes Gebäude","significant building"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/ground",,"ground"
"http://dbpedia.org/ontology/recordLabel",,"record label"
"http://dbpedia.org/ontology/recordedIn",,"recorded in"
"http://dbpedia.org/ontology/board",,"board"
"http://dbpedia.org/ontology/deathPlace","Sterbeort","death place"
"http://dbpedia.org/ontology/majorShrine","bedeutender Schrein","major shrine"
"http://dbpedia.org/ontology/award","Auszeichnung","award"
"http://dbpedia.org/ontology/occupation","Beschäftigung","occupation"
"http://dbpedia.org/ontology/diocese","Diözese","diocese"
"http://dbpedia.org/ontology/training","Ausbildung","training"
"http://dbpedia.org/ontology/premierePlace",,"premiere place"
"http://dbpedia.org/ontology/subdivision",,"subdivision"
"http://dbpedia.org/ontology/subsidiary",,"subsidiary"
"http://dbpedia.org/ontology/placeOfBurial","Ort der Bestattung","place of burial"
"http://dbpedia.org/ontology/operator","Betreiber","operator"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/productionCompany","Produktionsfirma","production company"
"http://dbpedia.org/ontology/locatedInArea",,"located in area"
"http://dbpedia.org/ontology/portrayer",,"portrayer"
"http://dbpedia.org/ontology/garrison","Garnison","garrison"
"http://dbpedia.org/ontology/routeEnd","Wegende","route end"
"http://dbpedia.org/ontology/routeStart","Weganfang","route start"
"http://dbpedia.org/ontology/raceHorse","Rennpferd","race horse"
"http://dbpedia.org/ontology/significantProject","bedeutendes Projekt","significant project"
"http://dbpedia.org/ontology/notableWork",,"notable work"
"http://dbpedia.org/ontology/product","Produkt","product"
"http://dbpedia.org/ontology/routeJunction","Wegabzweigung","route junction"
"http://dbpedia.org/ontology/capital","Hauptstadt","capital"
"http://dbpedia.org/ontology/beatifiedPlace",,"beatified place"
"http://dbpedia.org/ontology/place",,"Relates an entity to the populated place in which it is located."
"http://dbpedia.org/ontology/affiliation",,"affiliation"
"http://dbpedia.org/ontology/almaMater",,"alma mater"
"http://dbpedia.org/ontology/importantStation","wichtiger Verkehrsknotenpunkt","important station"
"http://dbpedia.org/ontology/publisher","Herausgeber","publisher"
"http://dbpedia.org/ontology/convictionPenalty","Strafe","conviction penalty"
"http://dbpedia.org/ontology/distributor",,"distributor"
