('http://dbpedia.org/ontology/location', 'Standort', 'location')
('http://dbpedia.org/ontology/abstract', 'abstract', 'has abstract')
('http://dbpedia.org/ontology/collection', 'Sammlung', 'collection')
('http://dbpedia.org/ontology/address', 'Adresse', 'address')
('http://dbpedia.org/ontology/alternativeName', 'alternativer Name', 'alternative name')
('http://dbpedia.org/ontology/bedCount', 'Anzahl Betten', 'bed count')
('http://dbpedia.org/ontology/cost', 'Kosten ($)', 'cost ($)')
('http://dbpedia.org/ontology/cuisine', 'Küche', 'cuisine')
('http://dbpedia.org/ontology/formerName', 'früherer Name', 'former name')
('http://dbpedia.org/ontology/foundingDate', 'Gründungsdatum', 'founding date')
('http://dbpedia.org/ontology/height', 'Höhe (μ)', 'height (μ)')
('http://dbpedia.org/ontology/openingDate', 'Eröffnungsdatum', 'opening date')
('http://dbpedia.org/ontology/openingYear', 'Eröffnungsjahr', 'opening year')
('http://dbpedia.org/ontology/originalName', 'ursprünglicher Namen', 'original name')
('http://dbpedia.org/ontology/seatingCapacity', 'Sitzplatzkapazität', 'seating capacity')
('http://dbpedia.org/ontology/status', 'Status', 'status')
('http://dbpedia.org/ontology/architect', 'Architekt', 'architect')
('http://dbpedia.org/ontology/city', 'Stadt', 'city')
('http://dbpedia.org/ontology/country', 'Land', 'country')
('http://dbpedia.org/ontology/genre', 'Genre', 'genre')
('http://dbpedia.org/ontology/owner', 'Eigentümer', 'owner')
('http://dbpedia.org/ontology/tenant', 'Mieter', 'tenant')
('http://dbpedia.org/ontology/type', 'Typ', 'type')
('http://dbpedia.org/ontology/area', 'Fläche (m2)', 'area (m2)')
('http://dbpedia.org/ontology/yearOfConstruction', 'Baujahr', 'year of construction')
('http://dbpedia.org/ontology/nearestCity', 'nächstgelegene Stadt', 'nearest city')
('http://dbpedia.org/ontology/picture', 'bild', 'picture')
('http://dbpedia.org/ontology/region', 'Region', 'region')
('http://dbpedia.org/ontology/state', 'Staat', 'state')
('http://dbpedia.org/ontology/numberOfVisitors', 'Besucherzahl', 'number of visitors')
('http://dbpedia.org/ontology/governingBody', 'Verwaltungsgremium', 'governing body')
('http://dbpedia.org/ontology/code', 'Code', 'code')
('http://dbpedia.org/ontology/closingYear', 'Schließungsjahr', 'closing year')
('http://dbpedia.org/ontology/numberOfRestaurants', 'Anzahl der Restaurants', 'number of restaurants')
('http://dbpedia.org/ontology/numberOfRooms', 'Anzahl der Zimmer', 'number of rooms')
('http://dbpedia.org/ontology/operator', 'Betreiber', 'operator')
('http://dbpedia.org/ontology/builder', 'Baumeister', 'builder')
('http://dbpedia.org/ontology/developer', 'Entwickler', 'developer')
('http://dbpedia.org/ontology/headChef', 'Küchenchef', 'head chef')
('http://dbpedia.org/ontology/language', 'Sprache', 'language')
('http://dbpedia.org/ontology/rating', 'Wertung', 'rating')
('http://dbpedia.org/ontology/material', 'Material', 'material')
('http://dbpedia.org/ontology/reopeningDate', 'Wiedereröffnungdatum', 'reopening date')
('http://dbpedia.org/ontology/reservations', 'Reservierungen', 'reservations')
('http://dbpedia.org/ontology/elevatorCount', 'Aufzüge', 'elevator count')
('http://dbpedia.org/ontology/director', 'regisseur', 'film director')
('http://dbpedia.org/ontology/president', 'Präsident', 'president')
('http://dbpedia.org/ontology/award', 'Auszeichnung', 'award')
('http://dbpedia.org/ontology/areaTotal', 'Fläche (m2)', 'area total (m2)')
('http://dbpedia.org/ontology/numberOfParkingSpaces', 'Anzahl der Parkplätze', 'number of parking spaces')
('http://dbpedia.org/ontology/width', 'Breite (μ)', 'width (μ)')
('http://dbpedia.org/ontology/district', 'Bezirk', 'district')
('http://dbpedia.org/ontology/numberOfStores', 'Anzahl an Geschäften', 'number of sores')
('http://dbpedia.org/ontology/classification', 'Klassifikation', 'classification')
('http://dbpedia.org/ontology/chef', 'Koch', 'chef')
('http://dbpedia.org/ontology/knownFor', 'bekannt für', 'known for')
('http://dbpedia.org/ontology/populationDensity', 'Bevölkerungsdichte (/sqkm)', 'population density (/sqkm)')
('http://dbpedia.org/ontology/populationTotal', 'Einwohnerzahl', 'population total')
('http://dbpedia.org/ontology/postalCode', 'Postleitzahl', 'postal code')
('http://dbpedia.org/ontology/politicalLeader', 'politischer Führer', 'political leader')
('http://dbpedia.org/ontology/PopulatedPlace/areaTotal', 'Fläche (km2)', 'area total (km2)')
('http://dbpedia.org/ontology/PopulatedPlace/populationDensity', 'Bevölkerungsdichte (/sqkm)', 'population density (/sqkm)')
('http://dbpedia.org/ontology/curator', 'Kurator', 'curator')
('http://dbpedia.org/ontology/structuralSystem', 'Tragsystem', 'structural system')
('http://dbpedia.org/ontology/engineer', 'Ingenieur', 'engineer')
('http://dbpedia.org/ontology/diameter', 'Durchmesser (μ)', 'diameter (μ)')
('http://dbpedia.org/ontology/namedAfter', 'benannt nach', 'named after')
('http://dbpedia.org/ontology/slogan', 'Slogan', 'slogan')
('http://dbpedia.org/ontology/network', 'Sendergruppe', 'network')
('http://dbpedia.org/ontology/chain', 'Kette', 'chain')
('http://dbpedia.org/ontology/capacity', 'Kapazität', 'capacity')
('http://dbpedia.org/ontology/numberBuilt', 'Anzahl gebaut', 'number built')
('http://dbpedia.org/ontology/weight', 'Gewicht (g)', 'weight (g)')
('http://dbpedia.org/ontology/manufacturer', 'Hersteller', 'manufacturer')
('http://dbpedia.org/ontology/MeanOfTransportation/weight', 'Gewicht (kg)', 'weight (kg)')
('http://dbpedia.org/ontology/creator', 'Urheber', 'creator (agent)')
('http://dbpedia.org/ontology/format', 'Format', 'format (object)')
