('Geburtsort', 'birth place')
('Standort', 'location')
('Schlacht', 'battle')
('Stadt', 'city')
('Hauptsitz', 'headquarter')
('Heimstadion', 'home stadium')
('bekannt für', 'known for')
('museum', 'museum')
('Residenz', 'residence')
('Ruhestätte', 'resting place')
('Stadion', 'Stadium')
('Institution', 'institution')
('Arbeitgeber', 'employer')
('bedeutendes Gebäude', 'significant building')
('Sterbeort', 'death place')
('bedeutender Schrein', 'major shrine')
('Auszeichnung', 'award')
('Beschäftigung', 'occupation')
('Diözese', 'diocese')
('Ausbildung', 'training')
('Ort der Bestattung', 'place of burial')
('Betreiber', 'operator')
('Eigentümer', 'owner')
('Produktionsfirma', 'production company')
('Garnison', 'garrison')
('Wegende', 'route end')
('Weganfang', 'route start')
('Rennpferd', 'race horse')
('bedeutendes Projekt', 'significant project')
('Produkt', 'product')
('Wegabzweigung', 'route junction')
('Hauptstadt', 'capital')
('wichtiger Verkehrsknotenpunkt', 'important station')
('Herausgeber', 'publisher')
('Strafe', 'conviction penalty')
('Empfangsgebiet', 'broadcast area')
('Bildung', 'education')
('benannt nach', 'named after')
('Campus', 'campus')
('Gymnasium', 'highschool')
('bild', 'picture')
('Ziel', 'destination')
('Religion', 'religion')
('Zuständigkeit', 'jurisdiction')
('wissenschaftliche Disziplin', 'academic discipline')
('Muttergesellschaft', 'parent company')
('Operierende Schienenfahrzeuge', 'railway rolling stock')
('Flussmündung', 'river mouth')
('Militäreinheit', 'military unit')
('Entwickler', 'developer')
('Mieter', 'tenant')
('Baumeister', 'builder')
('Team', 'team')
('Ehrungen', 'honours')
('Typ', 'type')
('Kurator', 'curator')
('gegründet von', 'founded by')
('Vorgänger', 'predecessor')
('Montage', 'assembly')
('Verwaltungsgremium', 'governing body')
('bedeutendes Design', 'significant design')
('angebundene Eisenbahnlinie', 'serving railway line')
('Sendergruppe', 'broadcast network')
('Firma', 'company')
('Sendergruppe', 'network')
('Clubmanager', 'manager club')
('Farbe', 'colour')
('Produzent', 'producer')
('zusammengeschlossen', 'merged with')
('Moderator', 'presenter')
('Adresse in Straße', 'address in road')
('Architekt', 'architect')
('Leiche entdeckt', 'body discovered')
('Schlüsselperson', 'key person')
('Whalbezirk', 'constituency district')
('nächstgelegene Stadt', 'nearest city')
('Nachfolger', 'successor')
('Feld', 'field')
('Heimatort', 'home town')
('regisseur', 'film director')
('schriftsteller', 'writer')
('Züchter', 'breeder')
('Bewegung', 'movement')
('Beziehung', 'relation')
('Befehlshaber', 'commander')
('Dienst', 'service')
('Ausschuss in der Legislative', 'committee in legislature')
('Todesursache', 'death cause')
('Region', 'region')
('schule', 'school')
('Startplatz', 'launch site')
('früheren Arbeiten', 'previous work')
('College', 'college')
('Kind', 'child')
('Politiker', 'politician')
('Leutnant', 'lieutenant')
('Person', 'person')
('Staatsform', 'government type')
('Verwandter', 'relative')
('Beruf', 'profession')
('Besitzerfirma', 'owning company')
('Patron', 'patron')
('Hersteller', 'manufacturer')
('autor', 'author')
('ist ein Teil von', 'is part of')
('Vorveranstaltung', 'previous event')
('nächste Veranstaltung', 'next event')
('Gründer', 'founder')
('Ort des Wegendes', 'route end location')
('beeinflusst durch', 'influenced by')
('Doktorvater', 'doctoral advisor')
('gewartet von', 'maintained by')
('gesprochen in', 'spoken in')
('Insel', 'island')
('Universität', 'university')
('Boden', 'ground')
('Plattenlabel', 'record label')
('aufgenommen in', 'recorded in')
('Tafel', 'board')
('Premierenplatz', 'premiere place')
('Unterteilung', 'subdivision')
('Tochtergesellschaft', 'subsidiary')
('befindet sich im Bereich', 'located in area')
('Schilderer', 'portrayer')
('bemerkenswerte Arbeit', 'notable work')
('seliggesprochener Ort', 'beatified place')
('Verknüpft eine Entität mit dem bevölkerten Ort, an dem sie sich befindet.', 'Relates an entity to the populated place in which it is located.')
('Zugehörigkeit', 'affiliation')
('Alma Mater', 'alma mater')
('Verteiler', 'distributor')
('Mund Berg', 'mouth mountain')
('Mundplatz', 'mouth place')
('zugehörige Band', 'associated band')
('assoziierter Musikkünstler', 'associated musical artist')
('Brüche', 'frazioni')
('Heimathafen', 'homeport')
('in Rechnung gestellt', 'billed')
('Cover-Künstler', 'cover artist')
('Hauptorgel', 'main organ')
('architektonischer Stil', 'architectural style')
('Eigentümerorganisation', 'owning organisation')
('Sachbuch', 'non-fiction subject')
('Kinderorganisation', 'child organisation')
('Mutterorganisation', 'parent organisation')
('ehemaliges Team', 'former team')
('kanonisierter Ort', 'canonized place')
('Einteilung', 'division')
('akademischer Berater', 'academic advisor')
('Zielflughafen', 'target airport')
('militärischer Zweig', 'military branch')
('Wiederaufbau', 'rebuilder')
('Region bedient region', 'region served')
('verehrt in', 'venerated in')
('Kreuze', 'crosses')
('Schöpfer des Gerichts', 'creator of dish')
('Designer', 'designer')
