"p","lde","len"
"http://dbpedia.org/ontology/deathPlace","Sterbeort","death place"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/academicDiscipline","wissenschaftliche Disziplin","academic discipline"
"http://dbpedia.org/ontology/deathCause","Todesursache","death cause"
"http://dbpedia.org/ontology/genus","Gattung","genus"
"http://dbpedia.org/ontology/knownFor","bekannt für","known for"
"http://dbpedia.org/ontology/license","Lizenz","license"
"http://dbpedia.org/ontology/occupation","Beschäftigung","occupation"
"http://dbpedia.org/ontology/symptom","Symptome","symptoms"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/nonFictionSubject",,"non-fiction subject"
"http://dbpedia.org/ontology/differentialDiagnosis","Differentialdiagnose","differential diagnosis"
"http://dbpedia.org/ontology/medicalCause","medizinische Ursache","medical cause"
"http://dbpedia.org/ontology/treatment","Behandlung","treatment"
"http://dbpedia.org/ontology/disease","Krankheit","disease"
"http://dbpedia.org/ontology/child","Kind","child"
"http://dbpedia.org/ontology/medicalDiagnosis","medizinische Diagnose","medical diagnosis"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/programmeFormat",,"programme format"
"http://dbpedia.org/ontology/award","Auszeichnung","award"
"http://dbpedia.org/ontology/genre","Genre","genre"
"http://dbpedia.org/ontology/influencedBy","beeinflusst durch","influenced by"
"http://dbpedia.org/ontology/product","Produkt","product"
"http://dbpedia.org/ontology/service","Dienst","service"
"http://dbpedia.org/ontology/medication","Medikation","medication"
"http://dbpedia.org/ontology/focus","Fokus","focus"
"http://dbpedia.org/ontology/class","Klasse","class"
"http://dbpedia.org/ontology/convictionPenalty","Strafe","conviction penalty"
"http://dbpedia.org/ontology/starring",,"starring"
"http://dbpedia.org/ontology/foundedBy","gegründet von","founded by"
"http://dbpedia.org/ontology/ideology","Ideologie","ideology"
"http://dbpedia.org/ontology/literaryGenre","literarische Gattung","literary genre"
"http://dbpedia.org/ontology/picture","bild","picture"
"http://dbpedia.org/ontology/jurisdiction","Zuständigkeit","jurisdiction"
"http://dbpedia.org/ontology/profession","Beruf","profession"
"http://dbpedia.org/ontology/notableIdea",,"notableIdea"
"http://dbpedia.org/ontology/country","Land","country"
"http://dbpedia.org/ontology/originalLanguage","Originalsprache","original language"
"http://dbpedia.org/ontology/industry","Industrie","industry"
"http://dbpedia.org/ontology/associatedBand",,"associated band"
"http://dbpedia.org/ontology/associatedMusicalArtist",,"associated musical artist"
"http://dbpedia.org/ontology/medicalSpecialty","medizinisches Fachgebiet","medical specialty"
"http://dbpedia.org/ontology/specialization","Spezialisierung","specialization"
"http://dbpedia.org/ontology/mainInterest",,"main interest"
"http://dbpedia.org/ontology/specialist","Spezialist","specialist"
"http://dbpedia.org/ontology/battle","Schlacht","battle"
"http://dbpedia.org/ontology/almaMater",,"alma mater"
"http://dbpedia.org/ontology/field","Feld","field"
"http://dbpedia.org/ontology/supplies",,"supplies"
"http://dbpedia.org/ontology/publisher","Herausgeber","publisher"
"http://dbpedia.org/ontology/education","Bildung","education"
"http://dbpedia.org/ontology/notableWork",,"notable work"
"http://dbpedia.org/ontology/movement","Bewegung","movement"
"http://dbpedia.org/ontology/connotation","Konnotation","connotation"
"http://dbpedia.org/ontology/significantProject","bedeutendes Projekt","significant project"
"http://dbpedia.org/ontology/formerBandMember","ehemaliges Bandmitglied","former band member"
"http://dbpedia.org/ontology/spouse","Ehepartner","spouse"
"http://dbpedia.org/ontology/institution","Institution","institution"
"http://dbpedia.org/ontology/commander","Befehlshaber","commander"
"http://dbpedia.org/ontology/leader","Führer","leader"
"http://dbpedia.org/ontology/religion","Religion","religion"
"http://dbpedia.org/ontology/drugs.com","drugs.com","drugs.com"
"http://dbpedia.org/ontology/philosophicalSchool",,"philosophicalSchool"
"http://dbpedia.org/ontology/restingPlace","Ruhestätte","resting place"
"http://dbpedia.org/ontology/similar","ähnlich","similar"
"http://dbpedia.org/ontology/relation","Beziehung","relation"
"http://dbpedia.org/ontology/parent","Elternteil","parent"
"http://dbpedia.org/ontology/artist","Interpret","performer"
"http://dbpedia.org/ontology/subdivision",,"subdivision"
