"p","lde","len"
"http://dbpedia.org/ontology/thumbnail",,"thumbnail"
"http://dbpedia.org/ontology/wikiPageID",,"Wikipage page ID"
"http://dbpedia.org/ontology/wikiPageRevisionID",,"Wikipage revision ID"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/complications","Komplikationen","complications"
"http://dbpedia.org/ontology/medicalSpecialty","medizinisches Fachgebiet","medical specialty"
"http://dbpedia.org/ontology/abstract","abstract","has abstract"
"http://dbpedia.org/ontology/wikiPageExternalLink",,"Link from a Wikipage to an external page"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/diseasesDB","DiseasesDB","DiseasesDB"
"http://dbpedia.org/ontology/icd9","ICD9","ICD9"
"http://dbpedia.org/ontology/orpha","ORPHA","ORPHA"
"http://dbpedia.org/ontology/synonym","Synonym","synonym"
"http://dbpedia.org/ontology/medicalDiagnosis","medizinische Diagnose","medical diagnosis"
"http://dbpedia.org/ontology/eMedicineSubject",,"eMedicine subject"
"http://dbpedia.org/ontology/eMedicineTopic",,"eMedicine topic"
"http://dbpedia.org/ontology/meshId",,"MeSH ID"
"http://dbpedia.org/ontology/confirmedCases",,"Confirmed Cases"
"http://dbpedia.org/ontology/geneReviewsId",,"geneReviewsId"
"http://dbpedia.org/ontology/geneReviewsName",,"geneReviewsName"
"http://dbpedia.org/ontology/icd10",,"ICD10"
"http://dbpedia.org/ontology/medlinePlus",,"MedlinePlus"
"http://dbpedia.org/ontology/omim",,"OMIM id"
"http://dbpedia.org/ontology/pendamicDeaths",,"Deaths"
"http://dbpedia.org/ontology/symptom","Symptome","symptoms"
"http://dbpedia.org/ontology/medicalCause","medizinische Ursache","medical cause"
"http://dbpedia.org/ontology/medication","Medikation","medication"
"http://dbpedia.org/ontology/treatment","Behandlung","treatment"
"http://dbpedia.org/ontology/wikiPageLength",,"page length (characters) of wiki page"
"http://dbpedia.org/ontology/icdo",,"ICDO"
"http://dbpedia.org/ontology/differentialDiagnosis","Differentialdiagnose","differential diagnosis"
"http://dbpedia.org/ontology/wikiPageInterLanguageLink",,"Link from a Wikipage to a Wikipage in a different language about the same or a related subject."
"http://dbpedia.org/ontology/soundRecording",,"sound recording"
"http://dbpedia.org/ontology/alias",,"alias"
"http://dbpedia.org/ontology/picture","bild","picture"
"http://dbpedia.org/ontology/gradName","GARDName","GARDName"
"http://dbpedia.org/ontology/gradNum","GARDNum","GARDNum"
"http://dbpedia.org/ontology/aoCloassification","AO","AO"
"http://dbpedia.org/ontology/alternativeName","alternativer Name","alternative name"
"http://dbpedia.org/ontology/class","Klasse","class"
"http://dbpedia.org/ontology/casNumber",,"CAS number"
"http://dbpedia.org/ontology/chEBI",,"ChEBI"
"http://dbpedia.org/ontology/chEMBL",,"ChEMBL"
"http://dbpedia.org/ontology/drugbank",,"DrugBank"
"http://dbpedia.org/ontology/fdaUniiCode",,"FDA UNII code"
"http://dbpedia.org/ontology/kegg",,"KEGG"
"http://dbpedia.org/ontology/pubchem",,"PubChem"
"http://dbpedia.org/ontology/atcCode",,"ATC code"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/nord","NORD","NORD"
"http://dbpedia.org/ontology/name","Name","name"
"http://dbpedia.org/ontology/suspectedCases",,"Suspected Cases"
"http://dbpedia.org/ontology/iupacName",,"IUPAC name"
