('Sterbeort', 'death place')
('wissenschaftliche Disziplin', 'academic discipline')
('Todesursache', 'death cause')
('Gattung', 'genus')
('bekannt für', 'known for')
('Lizenz', 'license')
('Beschäftigung', 'occupation')
('Symptome', 'symptoms')
('Differentialdiagnose', 'differential diagnosis')
('medizinische Ursache', 'medical cause')
('Behandlung', 'treatment')
('Krankheit', 'disease')
('Kind', 'child')
('medizinische Diagnose', 'medical diagnosis')
('Typ', 'type')
('Auszeichnung', 'award')
('Genre', 'genre')
('beeinflusst durch', 'influenced by')
('Produkt', 'product')
('Dienst', 'service')
('Medikation', 'medication')
('Fokus', 'focus')
('Klasse', 'class')
('Strafe', 'conviction penalty')
('gegründet von', 'founded by')
('Ideologie', 'ideology')
('literarische Gattung', 'literary genre')
('bild', 'picture')
('Zuständigkeit', 'jurisdiction')
('Beruf', 'profession')
('Land', 'country')
('Originalsprache', 'original language')
('Industrie', 'industry')
('medizinisches Fachgebiet', 'medical specialty')
('Spezialisierung', 'specialization')
('Spezialist', 'specialist')
('Schlacht', 'battle')
('Feld', 'field')
('Herausgeber', 'publisher')
('Bildung', 'education')
('Bewegung', 'movement')
('Konnotation', 'connotation')
('bedeutendes Projekt', 'significant project')
('ehemaliges Bandmitglied', 'former band member')
('Ehepartner', 'spouse')
('Institution', 'institution')
('Befehlshaber', 'commander')
('Führer', 'leader')
('Religion', 'religion')
('drugs.com', 'drugs.com')
('Ruhestätte', 'resting place')
('ähnlich', 'similar')
('Beziehung', 'relation')
('Elternteil', 'parent')
('Interpret', 'performer')
('Sachbuch', 'non-fiction subject')
('Programmformat', 'programme format')
('mit', 'starring')
('bemerkenswertIdee', 'notableIdea')
('zugehörige Band', 'associated band')
('assoziierter Musikkünstler', 'associated musical artist')
('Hauptinteresse', 'main interest')
('Alma Mater', 'alma mater')
('liefert', 'supplies')
('bemerkenswerte Arbeit', 'notable work')
('philosophischeSchule', 'philosophicalSchool')
('Unterteilung', 'subdivision')
