"p","lde","len"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/previousEvent","Vorveranstaltung","previous event"
"http://dbpedia.org/ontology/spouse","Ehepartner","spouse"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/followingEvent",,"following event"
"http://dbpedia.org/ontology/region","Region","region"
"http://dbpedia.org/ontology/constituencyDistrict","Whalbezirk","constituency district"
"http://dbpedia.org/ontology/league","Liga","league"
"http://dbpedia.org/ontology/season","Saison","season"
"http://dbpedia.org/ontology/significantBuilding","bedeutendes Gebäude","significant building"
"http://dbpedia.org/ontology/subdivision",,"subdivision"
"http://dbpedia.org/ontology/race","Rennen","race"
"http://dbpedia.org/ontology/firstRace","erstes Rennen","first race"
"http://dbpedia.org/ontology/lastRace","letztes Rennen","last race"
"http://dbpedia.org/ontology/nonFictionSubject",,"non-fiction subject"
"http://dbpedia.org/ontology/battle","Schlacht","battle"
"http://dbpedia.org/ontology/predecessor","Vorgänger","predecessor"
"http://dbpedia.org/ontology/successor","Nachfolger","successor"
"http://dbpedia.org/ontology/usedInWar","im Krieg eingesetzt","used in war"
"http://dbpedia.org/ontology/fastestDriverCountry","schnellster Fahrer Land","fastest driver country"
"http://dbpedia.org/ontology/tenant","Mieter","tenant"
"http://dbpedia.org/ontology/lastWin","letzter Sieg","last win"
"http://dbpedia.org/ontology/winsAtMajors",,"wins at majors"
"http://dbpedia.org/ontology/winsAtOtherTournaments",,"wins at other tournaments"
"http://dbpedia.org/ontology/winsInEurope","Siege in Europa","wins in Europe"
"http://dbpedia.org/ontology/winsAtAsia",,"wins at ASIA"
"http://dbpedia.org/ontology/winsAtJapan",,"wins at japan"
"http://dbpedia.org/ontology/winsAtAus",,"wins at AUS"
"http://dbpedia.org/ontology/winsAtNWIDE",,"wins at NWIDE"
"http://dbpedia.org/ontology/birthPlace","Geburtsort","birth place"
"http://dbpedia.org/ontology/isPartOfMilitaryConflict","ist Teil des militärischen Konflikts","is part of military conflict"
"http://dbpedia.org/ontology/knownFor","bekannt für","known for"
"http://dbpedia.org/ontology/manager","Manager","manager"
"http://dbpedia.org/ontology/firstWin","erster Sieg","first win"
"http://dbpedia.org/ontology/country","Land","country"
"http://dbpedia.org/ontology/event","Veranstaltung","event"
"http://dbpedia.org/ontology/position","Position","position"
"http://dbpedia.org/ontology/award","Auszeichnung","award"
"http://dbpedia.org/ontology/residence","Residenz","residence"
"http://dbpedia.org/ontology/championInDoubleMale",,"champion in double male"
"http://dbpedia.org/ontology/championInSingleMale",,"champion in single male"
"http://dbpedia.org/ontology/nextMission","nächste Mission","next mission"
"http://dbpedia.org/ontology/occupation","Beschäftigung","occupation"
"http://dbpedia.org/ontology/previousMission","frührere Mission","previous mission"
"http://dbpedia.org/ontology/nextEvent","nächste Veranstaltung","next event"
"http://dbpedia.org/ontology/related","verbunden","related"
"http://dbpedia.org/ontology/team","Team","team"
"http://dbpedia.org/ontology/honours","Ehrungen","honours"
"http://dbpedia.org/ontology/militaryBranch",,"military branch"
"http://dbpedia.org/ontology/place",,"Relates an entity to the populated place in which it is located."
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/mission","Mission","mission"
"http://dbpedia.org/ontology/service","Dienst","service"
"http://dbpedia.org/ontology/presenter","Moderator","presenter"
"http://dbpedia.org/ontology/productionCompany","Produktionsfirma","production company"
"http://dbpedia.org/ontology/significantProject","bedeutendes Projekt","significant project"
"http://dbpedia.org/ontology/notableWork",,"notable work"
"http://dbpedia.org/ontology/commander","Befehlshaber","commander"
"http://dbpedia.org/ontology/nationality","Nationalität","nationality"
"http://dbpedia.org/ontology/academicDiscipline","wissenschaftliche Disziplin","academic discipline"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/militaryUnit","Militäreinheit","military unit"
"http://dbpedia.org/ontology/closingFilm",,"closing film"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/recordedIn",,"recorded in"
"http://dbpedia.org/ontology/subsidiary",,"subsidiary"
"http://dbpedia.org/ontology/influenced","beeinflusst","influenced"
