"p","lde","len"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/abstract","abstract","has abstract"
"http://dbpedia.org/ontology/date","Datum","date"
"http://dbpedia.org/ontology/thumbnail",,"thumbnail"
"http://dbpedia.org/ontology/wikiPageID",,"Wikipage page ID"
"http://dbpedia.org/ontology/wikiPageRevisionID",,"Wikipage revision ID"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageExternalLink",,"Link from a Wikipage to an external page"
"http://dbpedia.org/ontology/course",,"course (μ)"
"http://dbpedia.org/ontology/distance","Entfernung (μ)","distance (μ)"
"http://dbpedia.org/ontology/startDate","Startdatum","start date"
"http://dbpedia.org/ontology/title","Titel","title"
"http://dbpedia.org/ontology/city","Stadt","city"
"http://dbpedia.org/ontology/country","Land","country"
"http://dbpedia.org/ontology/fastestDriver","schnellster Fahrer","fastest driver"
"http://dbpedia.org/ontology/fastestDriverTeam","schnellster Fahrer Team","fastest driver team"
"http://dbpedia.org/ontology/firstDriver","erster Fahrer","first driver"
"http://dbpedia.org/ontology/firstDriverTeam","Siegerteam","winning team"
"http://dbpedia.org/ontology/previousEvent","Vorveranstaltung","previous event"
"http://dbpedia.org/ontology/secondDriver","zweiter Fahrer","second driver"
"http://dbpedia.org/ontology/secondTeam","zweites Team","second team"
"http://dbpedia.org/ontology/team","Team","team"
"http://dbpedia.org/ontology/thirdDriver","dritter Fahrer","third driver"
"http://dbpedia.org/ontology/thirdTeam","dritte Mannschaft","third team"
"http://dbpedia.org/ontology/GrandPrix/distance","Entfernung (km)","distance (km)"
"http://dbpedia.org/ontology/distanceLaps",,"distance laps"
"http://dbpedia.org/ontology/affiliation",,"affiliation"
"http://dbpedia.org/ontology/firstDriverCountry",,"first driver country"
"http://dbpedia.org/ontology/firstLeader",,"firstLeader"
"http://dbpedia.org/ontology/followingEvent",,"following event"
"http://dbpedia.org/ontology/secondDriverCountry",,"second driver country"
"http://dbpedia.org/ontology/secondLeader",,"secondLeader"
"http://dbpedia.org/ontology/thirdDriverCountry",,"third driver country"
"http://dbpedia.org/ontology/GrandPrix/course",,"course (km)"
"http://dbpedia.org/ontology/wikiPageLength",,"page length (characters) of wiki page"
"http://dbpedia.org/ontology/numberOfGoals","Anzahl der erzielten Tore","number of goals scored"
"http://dbpedia.org/ontology/fastestDriverCountry","schnellster Fahrer Land","fastest driver country"
"http://dbpedia.org/ontology/name","Name","name"
"http://dbpedia.org/ontology/pendamicDeaths",,"Deaths"
"http://dbpedia.org/ontology/poleDriver",,"pole driver"
"http://dbpedia.org/ontology/poleDriverTeam",,"pole driver team"
"http://dbpedia.org/ontology/poleDriverCountry",,"pole driver country"
"http://dbpedia.org/ontology/champion","Meister","champion"
"http://dbpedia.org/ontology/time","Zeit","time"
"http://dbpedia.org/ontology/championInDoubleMale",,"champion in double male"
"http://dbpedia.org/ontology/championInSingleMale",,"champion in single male"
"http://dbpedia.org/ontology/wikiPageInterLanguageLink",,"Link from a Wikipage to a Wikipage in a different language about the same or a related subject."
"http://dbpedia.org/ontology/confirmedCases",,"Confirmed Cases"
"http://dbpedia.org/ontology/combatant","Kombattant","combatant"
"http://dbpedia.org/ontology/result","Folge","result"
"http://dbpedia.org/ontology/isPartOfMilitaryConflict","ist Teil des militärischen Konflikts","is part of military conflict"
"http://dbpedia.org/ontology/place",,"Relates an entity to the populated place in which it is located."
"http://dbpedia.org/ontology/budget","Etat ($)","budget ($)"
"http://dbpedia.org/ontology/tennisSurfaceType",,"type of tennis surface"
"http://dbpedia.org/ontology/category","Kategorie","category"
"http://dbpedia.org/ontology/casualties","Verluste","casualties"
"http://dbpedia.org/ontology/championInDoubleFemale",,"champion in double female"
"http://dbpedia.org/ontology/championInSingleFemale",,"champion in single female"
"http://dbpedia.org/ontology/duration","Dauer (s)","duration (s)"
"http://dbpedia.org/ontology/strength","Stärke","strength"
"http://dbpedia.org/ontology/commander","Befehlshaber","commander"
"http://dbpedia.org/ontology/causalties",,"causalties"
"http://dbpedia.org/ontology/endDate","Enddatum","end date"
"http://dbpedia.org/ontology/openingFilm","Eröffnungsfilm","opening film"
"http://dbpedia.org/ontology/closingFilm",,"closing film"
"http://dbpedia.org/ontology/championInMixedDouble",,"champion in mixed double"
"http://dbpedia.org/ontology/firstPopularVote",,"firstPopularVote"
"http://dbpedia.org/ontology/secondPopularVote",,"secondPopularVote"
"http://dbpedia.org/ontology/notes","Anmerkungen","notes"
"http://dbpedia.org/ontology/organisation","Organisation","organisation"
"http://dbpedia.org/ontology/motto","Motto","motto"
"http://dbpedia.org/ontology/status","Status","status"
"http://dbpedia.org/ontology/soundRecording",,"sound recording"
"http://dbpedia.org/ontology/director","regisseur","film director"
"http://dbpedia.org/ontology/event","Veranstaltung","event"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/territory","Gebiet","territory"
"http://dbpedia.org/ontology/suspectedCases",,"Suspected Cases"
