('Vorveranstaltung', 'previous event')
('Ehepartner', 'spouse')
('Region', 'region')
('Whalbezirk', 'constituency district')
('Liga', 'league')
('Saison', 'season')
('bedeutendes Gebäude', 'significant building')
('Rennen', 'race')
('erstes Rennen', 'first race')
('letztes Rennen', 'last race')
('Schlacht', 'battle')
('Vorgänger', 'predecessor')
('Nachfolger', 'successor')
('im Krieg eingesetzt', 'used in war')
('schnellster Fahrer Land', 'fastest driver country')
('Mieter', 'tenant')
('letzter Sieg', 'last win')
('Siege in Europa', 'wins in Europe')
('Geburtsort', 'birth place')
('ist Teil des militärischen Konflikts', 'is part of military conflict')
('bekannt für', 'known for')
('Manager', 'manager')
('erster Sieg', 'first win')
('Land', 'country')
('Veranstaltung', 'event')
('Position', 'position')
('Auszeichnung', 'award')
('Residenz', 'residence')
('nächste Mission', 'next mission')
('Beschäftigung', 'occupation')
('frührere Mission', 'previous mission')
('nächste Veranstaltung', 'next event')
('verbunden', 'related')
('Team', 'team')
('Ehrungen', 'honours')
('Standort', 'location')
('Mission', 'mission')
('Dienst', 'service')
('Moderator', 'presenter')
('Produktionsfirma', 'production company')
('bedeutendes Projekt', 'significant project')
('Befehlshaber', 'commander')
('Nationalität', 'nationality')
('wissenschaftliche Disziplin', 'academic discipline')
('Typ', 'type')
('Militäreinheit', 'military unit')
('Eigentümer', 'owner')
('beeinflusst', 'influenced')
('literarische Gattung', 'literary genre')
('Partei', 'party')
('Gebiet', 'territory')
('Clubmanager', 'manager club')
('Genre', 'genre')
('Sterbeort', 'death place')
('Disziplin', 'discipline')
('ähnlich', 'similar')
('basierend auf', 'based on')
('militärischer Rang', 'military rank')
('früheren Arbeiten', 'previous work')
('Betreiber', 'operator')
('Todesursache', 'death cause')
('Elternteil', 'parent')
('Stadt', 'city')
('benannt nach', 'named after')
('Ruhestätte', 'resting place')
('Marsch', 'march')
('Herkunft', 'origin')
('Kommandostruktur', 'command structure')
('Wegende', 'route end')
('Klasse', 'class')
('Hauptstadt', 'capital')
('bild', 'picture')
('Kind', 'child')
('folgende Veranstaltung', 'following event')
('Unterteilung', 'subdivision')
('Sachbuch', 'non-fiction subject')
('gewinnt bei Majors', 'wins at majors')
('gewinnt bei anderen Turnieren', 'wins at other tournaments')
('gewinnt bei ASIEN', 'wins at ASIA')
('gewinnt in Japan', 'wins at japan')
('gewinnt bei AUS', 'wins at AUS')
('gewinnt bei NWIDE', 'wins at NWIDE')
('Meister im Doppelmännchen', 'champion in double male')
('Champion im Einzel männlich', 'champion in single male')
('militärischer Zweig', 'military branch')
('Verknüpft eine Entität mit dem bevölkerten Ort, an dem sie sich befindet.', 'Relates an entity to the populated place in which it is located.')
('bemerkenswerte Arbeit', 'notable work')
('Abschlussfilm', 'closing film')
('aufgenommen in', 'recorded in')
('Tochtergesellschaft', 'subsidiary')
('Hauptinteresse', 'main interest')
('Startfahrzeug', 'launch vehicle')
('Alma Mater', 'alma mater')
('Zugehörigkeit', 'affiliation')
('mit', 'starring')
('Verteiler', 'distributor')
('Premierenplatz', 'premiere place')
('zugehörige Band', 'associated band')
('assoziierter Musikkünstler', 'associated musical artist')
('Tafel', 'board')
('bemerkenswerter Kommandant', 'notable commander')
('erstes Fahrerland', 'first driver country')
('Polfahrerland', 'pole driver country')
('Herkunftsland', 'state of origin')
