('Standort', 'location')
('Datum', 'date')
('Entfernung (μ)', 'distance (μ)')
('Startdatum', 'start date')
('Titel', 'title')
('Stadt', 'city')
('Land', 'country')
('schnellster Fahrer', 'fastest driver')
('schnellster Fahrer Team', 'fastest driver team')
('erster Fahrer', 'first driver')
('Siegerteam', 'winning team')
('Vorveranstaltung', 'previous event')
('zweiter Fahrer', 'second driver')
('zweites Team', 'second team')
('Team', 'team')
('dritter Fahrer', 'third driver')
('dritte Mannschaft', 'third team')
('Entfernung (km)', 'distance (km)')
('Anzahl der erzielten Tore', 'number of goals scored')
('schnellster Fahrer Land', 'fastest driver country')
('Name', 'name')
('Meister', 'champion')
('Zeit', 'time')
('Kombattant', 'combatant')
('Folge', 'result')
('ist Teil des militärischen Konflikts', 'is part of military conflict')
('Etat ($)', 'budget ($)')
('Kategorie', 'category')
('Verluste', 'casualties')
('Dauer (s)', 'duration (s)')
('Stärke', 'strength')
('Befehlshaber', 'commander')
('Enddatum', 'end date')
('Eröffnungsfilm', 'opening film')
('Anmerkungen', 'notes')
('Organisation', 'organisation')
('Motto', 'motto')
('Status', 'status')
('regisseur', 'film director')
('Veranstaltung', 'event')
('Gebiet', 'territory')
('Kurs (Î¼)', 'course (Î¼)')
('Distanz Runden', 'distance laps')
('Zugehörigkeit', 'affiliation')
('erstes Fahrerland', 'first driver country')
('ersterFührer', 'firstLeader')
('folgende Veranstaltung', 'following event')
('Zweitfahrerland', 'second driver country')
('zweiterFührer', 'secondLeader')
('Drittland des Fahrers', 'third driver country')
('Strecke (km)', 'course (km)')
('Todesfälle', 'Deaths')
('Poltreiber', 'pole driver')
('Pole-Fahrer-Team', 'pole driver team')
('Polfahrerland', 'pole driver country')
('Meister im Doppelmännchen', 'champion in double male')
('Champion im Einzel männlich', 'champion in single male')
('Bestätigte Fälle', 'Confirmed Cases')
('Verknüpft eine Entität mit dem bevölkerten Ort, an dem sie sich befindet.', 'Relates an entity to the populated place in which it is located.')
('Art des Tennisbelags', 'type of tennis surface')
('Meister im Doppel weiblich', 'champion in double female')
('Meisterin im Einzel weiblich', 'champion in single female')
('Kausalitäten', 'causalties')
('Abschlussfilm', 'closing film')
('Meister im gemischten Doppel', 'champion in mixed double')
('erstePopularVote', 'firstPopularVote')
('zweitePopularVote', 'secondPopularVote')
('Verdachtsfälle', 'Suspected Cases')
