"p","lde","len"
"http://dbpedia.org/ontology/abstract","abstract","has abstract"
"http://dbpedia.org/ontology/thumbnail",,"thumbnail"
"http://dbpedia.org/ontology/wikiPageID",,"Wikipage page ID"
"http://dbpedia.org/ontology/wikiPageRevisionID",,"Wikipage revision ID"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageExternalLink",,"Link from a Wikipage to an external page"
"http://dbpedia.org/ontology/numberOfPages","Anzahl der Seiten","number of pages"
"http://dbpedia.org/ontology/publicationDate","Veröffentlichungsdatum","publication date"
"http://dbpedia.org/ontology/author","autor","author"
"http://dbpedia.org/ontology/country","Land","country"
"http://dbpedia.org/ontology/illustrator","Illustrator","illustrator"
"http://dbpedia.org/ontology/language","Sprache","language"
"http://dbpedia.org/ontology/literaryGenre","literarische Gattung","literary genre"
"http://dbpedia.org/ontology/dcc",,"Dewey Decimal Classification"
"http://dbpedia.org/ontology/imdbId",,"IMDB id"
"http://dbpedia.org/ontology/isbn",,"ISBN"
"http://dbpedia.org/ontology/lcc",,"LCC"
"http://dbpedia.org/ontology/oclc",,"OCLC"
"http://dbpedia.org/ontology/releaseDate",,"release date"
"http://dbpedia.org/ontology/coverArtist",,"cover artist"
"http://dbpedia.org/ontology/mediaType","Medientyp","media type"
"http://dbpedia.org/ontology/previousWork","früheren Arbeiten","previous work"
"http://dbpedia.org/ontology/publisher","Herausgeber","publisher"
"http://dbpedia.org/ontology/series","Serie","series"
"http://dbpedia.org/ontology/subsequentWork","nachfolgende Arbeiten","subsequent work"
"http://dbpedia.org/ontology/translator","Übersetzer","translator"
"http://dbpedia.org/ontology/nonFictionSubject",,"non-fiction subject"
"http://dbpedia.org/ontology/wikiPageLength",,"page length (characters) of wiki page"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/wikiPageInterLanguageLink",,"Link from a Wikipage to a Wikipage in a different language about the same or a related subject."
"http://dbpedia.org/ontology/genre","Genre","genre"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/soundRecording",,"sound recording"
"http://dbpedia.org/ontology/writer","schriftsteller","writer"
"http://dbpedia.org/ontology/developer","Entwickler","developer"
"http://dbpedia.org/ontology/runtime","Laufzeit (s)","runtime (s)"
"http://dbpedia.org/ontology/executiveProducer","Ausführender Produzent","executive producer"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/Work/runtime","Laufzeit (m)","runtime (m)"
"http://dbpedia.org/ontology/subtitle","Untertitel","subtitle"
"http://dbpedia.org/ontology/designer",,"designer"
"http://dbpedia.org/ontology/fate","Schicksal","fate"
"http://dbpedia.org/ontology/foundingYear","Gründungsjahr","founding year"
"http://dbpedia.org/ontology/foundedBy","gegründet von","founded by"
"http://dbpedia.org/ontology/industry","Industrie","industry"
"http://dbpedia.org/ontology/parentCompany","Muttergesellschaft","parent company"
"http://dbpedia.org/ontology/viafId",,"VIAF Id"
"http://dbpedia.org/ontology/completionDate","Fertigstellungstermin","completion date"
"http://dbpedia.org/ontology/numberOfEpisodes","Anzahl der Episoden","number of episodes"
"http://dbpedia.org/ontology/creator","Urheber","creator (agent)"
"http://dbpedia.org/ontology/network","Sendergruppe","network"
"http://dbpedia.org/ontology/person","Person","person"
"http://dbpedia.org/ontology/producer","Produzent","producer"
"http://dbpedia.org/ontology/related","verbunden","related"
"http://dbpedia.org/ontology/starring",,"starring"
