('http://dbpedia.org/ontology/award', 'Auszeichnung', 'award')
('http://dbpedia.org/ontology/basedOn', 'basierend auf', 'based on')
('http://dbpedia.org/ontology/knownFor', 'bekannt für', 'known for')
('http://dbpedia.org/ontology/previousWork', 'früheren Arbeiten', 'previous work')
('http://dbpedia.org/ontology/subsequentWork', 'nachfolgende Arbeiten', 'subsequent work')
('http://dbpedia.org/ontology/series', 'Serie', 'series')
('http://dbpedia.org/ontology/service', 'Dienst', 'service')
('http://dbpedia.org/ontology/namedAfter', 'benannt nach', 'named after')
('http://dbpedia.org/ontology/author', 'autor', 'author')
('http://dbpedia.org/ontology/occupation', 'Beschäftigung', 'occupation')
('http://dbpedia.org/ontology/field', 'Feld', 'field')
('http://dbpedia.org/ontology/genre', 'Genre', 'genre')
('http://dbpedia.org/ontology/product', 'Produkt', 'product')
('http://dbpedia.org/ontology/stylisticOrigin', 'stilistische Herkunft', 'stylistic origin')
('http://dbpedia.org/ontology/academicDiscipline', 'wissenschaftliche Disziplin', 'academic discipline')
('http://dbpedia.org/ontology/relative', 'Verwandter', 'relative')
('http://dbpedia.org/ontology/movement', 'Bewegung', 'movement')
('http://dbpedia.org/ontology/company', 'Firma', 'company')
('http://dbpedia.org/ontology/type', 'Typ', 'type')
('http://dbpedia.org/ontology/writer', 'schriftsteller', 'writer')
('http://dbpedia.org/ontology/anthem', 'Hymne', 'anthem')
('http://dbpedia.org/ontology/network', 'Sendergruppe', 'network')
('http://dbpedia.org/ontology/voice', 'Stimme', 'voice')
('http://dbpedia.org/ontology/influencedBy', 'beeinflusst durch', 'influenced by')
('http://dbpedia.org/ontology/spouse', 'Ehepartner', 'spouse')
('http://dbpedia.org/ontology/owner', 'Eigentümer', 'owner')
('http://dbpedia.org/ontology/related', 'verbunden', 'related')
('http://dbpedia.org/ontology/translator', 'Übersetzer', 'translator')
('http://dbpedia.org/ontology/productionCompany', 'Produktionsfirma', 'production company')
('http://dbpedia.org/ontology/genus', 'Gattung', 'genus')
('http://dbpedia.org/ontology/industry', 'Industrie', 'industry')
('http://dbpedia.org/ontology/literaryGenre', 'literarische Gattung', 'literary genre')
('http://dbpedia.org/ontology/publisher', 'Herausgeber', 'publisher')
('http://dbpedia.org/ontology/location', 'Standort', 'location')
('http://dbpedia.org/ontology/gender', 'Geschlecht', 'gender')
('http://dbpedia.org/ontology/employer', 'Arbeitgeber', 'employer')
('http://dbpedia.org/ontology/governmentType', 'Staatsform', 'government type')
('http://dbpedia.org/ontology/child', 'Kind', 'child')
('http://dbpedia.org/ontology/developer', 'Entwickler', 'developer')
('http://dbpedia.org/ontology/party', 'Partei', 'party')
('http://dbpedia.org/ontology/dam', 'Hirschkalb', 'dam')
('http://dbpedia.org/ontology/birthPlace', 'Geburtsort', 'birth place')
('http://dbpedia.org/ontology/significantProject', 'bedeutendes Projekt', 'significant project')
('http://dbpedia.org/ontology/influenced', 'beeinflusst', 'influenced')
('http://dbpedia.org/ontology/deathPlace', 'Sterbeort', 'death place')
('http://dbpedia.org/ontology/formerBandMember', 'ehemaliges Bandmitglied', 'former band member')
('http://dbpedia.org/ontology/openingFilm', 'Eröffnungsfilm', 'opening film')
('http://dbpedia.org/ontology/creator', 'Urheber', 'creator (agent)')
('http://dbpedia.org/ontology/institution', 'Institution', 'institution')
('http://dbpedia.org/ontology/successor', 'Nachfolger', 'successor')
('http://dbpedia.org/ontology/country', 'Land', 'country')
('http://dbpedia.org/ontology/residence', 'Residenz', 'residence')
