('Auszeichnung', 'award')
('basierend auf', 'based on')
('bekannt für', 'known for')
('früheren Arbeiten', 'previous work')
('nachfolgende Arbeiten', 'subsequent work')
('Serie', 'series')
('Dienst', 'service')
('benannt nach', 'named after')
('autor', 'author')
('Beschäftigung', 'occupation')
('Feld', 'field')
('Genre', 'genre')
('Produkt', 'product')
('stilistische Herkunft', 'stylistic origin')
('wissenschaftliche Disziplin', 'academic discipline')
('Verwandter', 'relative')
('Bewegung', 'movement')
('Firma', 'company')
('Typ', 'type')
('schriftsteller', 'writer')
('Hymne', 'anthem')
('Sendergruppe', 'network')
('Stimme', 'voice')
('beeinflusst durch', 'influenced by')
('Ehepartner', 'spouse')
('Eigentümer', 'owner')
('verbunden', 'related')
('Übersetzer', 'translator')
('Produktionsfirma', 'production company')
('Gattung', 'genus')
('Industrie', 'industry')
('literarische Gattung', 'literary genre')
('Herausgeber', 'publisher')
('Standort', 'location')
('Geschlecht', 'gender')
('Arbeitgeber', 'employer')
('Staatsform', 'government type')
('Kind', 'child')
('Entwickler', 'developer')
('Partei', 'party')
('Hirschkalb', 'dam')
('Geburtsort', 'birth place')
('bedeutendes Projekt', 'significant project')
('beeinflusst', 'influenced')
('Sterbeort', 'death place')
('ehemaliges Bandmitglied', 'former band member')
('Eröffnungsfilm', 'opening film')
('Urheber', 'creator (agent)')
('Institution', 'institution')
('Nachfolger', 'successor')
('Land', 'country')
('Residenz', 'residence')
('Computerplattform', 'computing platform')
('bemerkenswertIdee', 'notableIdea')
('bemerkenswerte Arbeit', 'notable work')
('binomiale Autorität', 'binomial authority')
('Sachbuch', 'non-fiction subject')
('letzter Auftritt', 'last appearance')
('Alma Mater', 'alma mater')
('zugehörige Band', 'associated band')
('assoziierter Musikkünstler', 'associated musical artist')
('in Rechnung gestellt', 'billed')
('Tochtergesellschaft', 'subsidiary')
('mit', 'starring')
('aktuelle Produktion', 'current production')
('Zugehörigkeit', 'affiliation')
('Einteilung', 'division')
('architektonischer Stil', 'architectural style')
('Plattenlabel', 'record label')
('Verteiler', 'distributor')
('Cover-Künstler', 'cover artist')
