('http://dbpedia.org/ontology/award', 'Auszeichnung', 'award')
('http://dbpedia.org/ontology/basedOn', 'basierend auf', 'based on')
('http://dbpedia.org/ontology/cinematography', 'Kinematografie', 'cinematography')
('http://dbpedia.org/ontology/knownFor', 'bekannt für', 'known for')
('http://dbpedia.org/ontology/magazine', 'Magazin', 'magazine')
('http://dbpedia.org/ontology/network', 'Sendergruppe', 'network')
('http://dbpedia.org/ontology/occupation', 'Beschäftigung', 'occupation')
('http://dbpedia.org/ontology/presenter', 'Moderator', 'presenter')
('http://dbpedia.org/ontology/product', 'Produkt', 'product')
('http://dbpedia.org/ontology/publisher', 'Herausgeber', 'publisher')
('http://dbpedia.org/ontology/employer', 'Arbeitgeber', 'employer')
('http://dbpedia.org/ontology/movement', 'Bewegung', 'movement')
('http://dbpedia.org/ontology/birthPlace', 'Geburtsort', 'birth place')
('http://dbpedia.org/ontology/creator', 'Urheber', 'creator (agent)')
('http://dbpedia.org/ontology/influenced', 'beeinflusst', 'influenced')
('http://dbpedia.org/ontology/instrument', 'Instrument', 'instrument')
('http://dbpedia.org/ontology/mediaType', 'Medientyp', 'media type')
('http://dbpedia.org/ontology/owner', 'Eigentümer', 'owner')
('http://dbpedia.org/ontology/owningCompany', 'Besitzerfirma', 'owning company')
('http://dbpedia.org/ontology/producer', 'Produzent', 'producer')
('http://dbpedia.org/ontology/productionCompany', 'Produktionsfirma', 'production company')
('http://dbpedia.org/ontology/honours', 'Ehrungen', 'honours')
('http://dbpedia.org/ontology/genre', 'Genre', 'genre')
('http://dbpedia.org/ontology/manufacturer', 'Hersteller', 'manufacturer')
('http://dbpedia.org/ontology/parentCompany', 'Muttergesellschaft', 'parent company')
('http://dbpedia.org/ontology/predecessor', 'Vorgänger', 'predecessor')
('http://dbpedia.org/ontology/previousWork', 'früheren Arbeiten', 'previous work')
('http://dbpedia.org/ontology/dean', 'Dekan', 'dean')
('http://dbpedia.org/ontology/relation', 'Beziehung', 'relation')
('http://dbpedia.org/ontology/city', 'Stadt', 'city')
('http://dbpedia.org/ontology/agency', 'Agentur', 'agency')
('http://dbpedia.org/ontology/author', 'autor', 'author')
('http://dbpedia.org/ontology/developer', 'Entwickler', 'developer')
('http://dbpedia.org/ontology/hometown', 'Heimatort', 'home town')
('http://dbpedia.org/ontology/institution', 'Institution', 'institution')
('http://dbpedia.org/ontology/significantProject', 'bedeutendes Projekt', 'significant project')
('http://dbpedia.org/ontology/academicDiscipline', 'wissenschaftliche Disziplin', 'academic discipline')
('http://dbpedia.org/ontology/colour', 'Farbe', 'colour')
('http://dbpedia.org/ontology/executiveProducer', 'Ausführender Produzent', 'executive producer')
('http://dbpedia.org/ontology/headquarter', 'Hauptsitz', 'headquarter')
('http://dbpedia.org/ontology/industry', 'Industrie', 'industry')
('http://dbpedia.org/ontology/team', 'Team', 'team')
('http://dbpedia.org/ontology/type', 'Typ', 'type')
('http://dbpedia.org/ontology/field', 'Feld', 'field')
('http://dbpedia.org/ontology/company', 'Firma', 'company')
('http://dbpedia.org/ontology/spouse', 'Ehepartner', 'spouse')
('http://dbpedia.org/ontology/illustrator', 'Illustrator', 'illustrator')
('http://dbpedia.org/ontology/series', 'Serie', 'series')
('http://dbpedia.org/ontology/successor', 'Nachfolger', 'successor')
('http://dbpedia.org/ontology/writer', 'schriftsteller', 'writer')
('http://dbpedia.org/ontology/namedAfter', 'benannt nach', 'named after')
('http://dbpedia.org/ontology/country', 'Land', 'country')
('http://dbpedia.org/ontology/party', 'Partei', 'party')
('http://dbpedia.org/ontology/deathPlace', 'Sterbeort', 'death place')
('http://dbpedia.org/ontology/location', 'Standort', 'location')
('http://dbpedia.org/ontology/literaryGenre', 'literarische Gattung', 'literary genre')
('http://dbpedia.org/ontology/narrator', 'Erzähler', 'narrator')
('http://dbpedia.org/ontology/residence', 'Residenz', 'residence')
('http://dbpedia.org/ontology/subsequentWork', 'nachfolgende Arbeiten', 'subsequent work')
('http://dbpedia.org/ontology/keyPerson', 'Schlüsselperson', 'key person')
('http://dbpedia.org/ontology/channel', 'Kanal', 'channel')
('http://dbpedia.org/ontology/editor', 'Herausgeber', 'editor')
('http://dbpedia.org/ontology/service', 'Dienst', 'service')
