"p","lde","len"
"http://dbpedia.org/ontology/abstract","abstract","has abstract"
"http://dbpedia.org/ontology/thumbnail",,"thumbnail"
"http://dbpedia.org/ontology/wikiPageID",,"Wikipage page ID"
"http://dbpedia.org/ontology/wikiPageRevisionID",,"Wikipage revision ID"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageExternalLink",,"Link from a Wikipage to an external page"
"http://dbpedia.org/ontology/foundingDate","Gründungsdatum","founding date"
"http://dbpedia.org/ontology/editor","Herausgeber","editor"
"http://dbpedia.org/ontology/format","Format","format (object)"
"http://dbpedia.org/ontology/foundedBy","gegründet von","founded by"
"http://dbpedia.org/ontology/headquarter","Hauptsitz","headquarter"
"http://dbpedia.org/ontology/circulation",,"circulation"
"http://dbpedia.org/ontology/language","Sprache","language"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/publisher","Herausgeber","publisher"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/sisterNewspaper",,"sister newspaper"
"http://dbpedia.org/ontology/wikiPageLength",,"page length (characters) of wiki page"
"http://dbpedia.org/ontology/chiefEditor","Chefredakteur","chief editor"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/managingEditor",,"managing editor"
"http://dbpedia.org/ontology/wikiPageInterLanguageLink",,"Link from a Wikipage to a Wikipage in a different language about the same or a related subject."
"http://dbpedia.org/ontology/associateEditor",,"associate editor"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/viafId",,"VIAF Id"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/date","Datum","date"
"http://dbpedia.org/ontology/issn","ISSN","issn"
"http://dbpedia.org/ontology/year","Jahr","year"
"http://dbpedia.org/ontology/city","Stadt","city"
"http://dbpedia.org/ontology/depictionDescription",,"depiction description (caption)"
"http://dbpedia.org/ontology/editorTitle",,"editor title"
"http://dbpedia.org/ontology/logo",,"logo"
"http://dbpedia.org/ontology/imageSize","Bildgröße (px)","image size (px)"
"http://dbpedia.org/ontology/country","Land","country"
"http://dbpedia.org/ontology/genre","Genre","genre"
"http://dbpedia.org/ontology/founder","Gründer","founder"
