"p","lde","len"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/broadcastNetwork","Sendergruppe","broadcast network"
"http://dbpedia.org/ontology/knownFor","bekannt für","known for"
"http://dbpedia.org/ontology/occupation","Beschäftigung","occupation"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/owningCompany","Besitzerfirma","owning company"
"http://dbpedia.org/ontology/parentCompany","Muttergesellschaft","parent company"
"http://dbpedia.org/ontology/product","Produkt","product"
"http://dbpedia.org/ontology/publisher","Herausgeber","publisher"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/distributor",,"distributor"
"http://dbpedia.org/ontology/employer","Arbeitgeber","employer"
"http://dbpedia.org/ontology/sisterNewspaper",,"sister newspaper"
"http://dbpedia.org/ontology/presenter","Moderator","presenter"
"http://dbpedia.org/ontology/productionCompany","Produktionsfirma","production company"
"http://dbpedia.org/ontology/subsidiary",,"subsidiary"
"http://dbpedia.org/ontology/notableWork",,"notable work"
"http://dbpedia.org/ontology/award","Auszeichnung","award"
"http://dbpedia.org/ontology/company","Firma","company"
"http://dbpedia.org/ontology/editor","Herausgeber","editor"
"http://dbpedia.org/ontology/honours","Ehrungen","honours"
"http://dbpedia.org/ontology/division",,"division"
"http://dbpedia.org/ontology/mainOrgan",,"main organ"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/channel","Kanal","channel"
"http://dbpedia.org/ontology/foundedBy","gegründet von","founded by"
"http://dbpedia.org/ontology/headquarter","Hauptsitz","headquarter"
"http://dbpedia.org/ontology/producer","Produzent","producer"
"http://dbpedia.org/ontology/territory","Gebiet","territory"
"http://dbpedia.org/ontology/person","Person","person"
"http://dbpedia.org/ontology/significantBuilding","bedeutendes Gebäude","significant building"
"http://dbpedia.org/ontology/coverArtist",,"cover artist"
"http://dbpedia.org/ontology/subdivision",,"subdivision"
"http://dbpedia.org/ontology/birthPlace","Geburtsort","birth place"
"http://dbpedia.org/ontology/institution","Institution","institution"
"http://dbpedia.org/ontology/author","autor","author"
"http://dbpedia.org/ontology/board",,"board"
"http://dbpedia.org/ontology/affiliation",,"affiliation"
"http://dbpedia.org/ontology/associatedBand",,"associated band"
"http://dbpedia.org/ontology/associatedMusicalArtist",,"associated musical artist"
"http://dbpedia.org/ontology/country","Land","country"
"http://dbpedia.org/ontology/magazine","Magazin","magazine"
"http://dbpedia.org/ontology/mediaType","Medientyp","media type"
"http://dbpedia.org/ontology/spouse","Ehepartner","spouse"
"http://dbpedia.org/ontology/creator","Urheber","creator (agent)"
"http://dbpedia.org/ontology/nationality","Nationalität","nationality"
"http://dbpedia.org/ontology/parentOrganisation",,"parent organisation"
"http://dbpedia.org/ontology/stateOfOrigin",,"state of origin"
"http://dbpedia.org/ontology/developer","Entwickler","developer"
"http://dbpedia.org/ontology/school","schule","school"
"http://dbpedia.org/ontology/language","Sprache","language"
"http://dbpedia.org/ontology/organisation","Organisation","organisation"
"http://dbpedia.org/ontology/series","Serie","series"
"http://dbpedia.org/ontology/successor","Nachfolger","successor"
"http://dbpedia.org/ontology/genre","Genre","genre"
"http://dbpedia.org/ontology/child","Kind","child"
"http://dbpedia.org/ontology/agency","Agentur","agency"
"http://dbpedia.org/ontology/profession","Beruf","profession"
"http://dbpedia.org/ontology/keyPerson","Schlüsselperson","key person"
"http://dbpedia.org/ontology/routeJunction","Wegabzweigung","route junction"
"http://dbpedia.org/ontology/service","Dienst","service"
"http://dbpedia.org/ontology/namedAfter","benannt nach","named after"
"http://dbpedia.org/ontology/predecessor","Vorgänger","predecessor"
"http://dbpedia.org/ontology/founder","Gründer","founder"
"http://dbpedia.org/ontology/tenant","Mieter","tenant"
"http://dbpedia.org/ontology/writer","schriftsteller","writer"
"http://dbpedia.org/ontology/influenced","beeinflusst","influenced"
