('http://dbpedia.org/ontology/abstract', 'abstract', 'has abstract')
('http://dbpedia.org/ontology/foundingDate', 'Gründungsdatum', 'founding date')
('http://dbpedia.org/ontology/editor', 'Herausgeber', 'editor')
('http://dbpedia.org/ontology/format', 'Format', 'format (object)')
('http://dbpedia.org/ontology/foundedBy', 'gegründet von', 'founded by')
('http://dbpedia.org/ontology/headquarter', 'Hauptsitz', 'headquarter')
('http://dbpedia.org/ontology/language', 'Sprache', 'language')
('http://dbpedia.org/ontology/owner', 'Eigentümer', 'owner')
('http://dbpedia.org/ontology/publisher', 'Herausgeber', 'publisher')
('http://dbpedia.org/ontology/type', 'Typ', 'type')
('http://dbpedia.org/ontology/chiefEditor', 'Chefredakteur', 'chief editor')
('http://dbpedia.org/ontology/location', 'Standort', 'location')
('http://dbpedia.org/ontology/date', 'Datum', 'date')
('http://dbpedia.org/ontology/issn', 'ISSN', 'issn')
('http://dbpedia.org/ontology/year', 'Jahr', 'year')
('http://dbpedia.org/ontology/city', 'Stadt', 'city')
('http://dbpedia.org/ontology/imageSize', 'Bildgröße (px)', 'image size (px)')
('http://dbpedia.org/ontology/country', 'Land', 'country')
('http://dbpedia.org/ontology/genre', 'Genre', 'genre')
('http://dbpedia.org/ontology/founder', 'Gründer', 'founder')
