"p","lde","len"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/assembly","Montage","assembly"
"http://dbpedia.org/ontology/author","autor","author"
"http://dbpedia.org/ontology/broadcastNetwork","Sendergruppe","broadcast network"
"http://dbpedia.org/ontology/company","Firma","company"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/composer","Komponist","composer"
"http://dbpedia.org/ontology/creator","Urheber","creator (agent)"
"http://dbpedia.org/ontology/developer","Entwickler","developer"
"http://dbpedia.org/ontology/designCompany",,"designer company"
"http://dbpedia.org/ontology/designer",,"designer"
"http://dbpedia.org/ontology/distributor",,"distributor"
"http://dbpedia.org/ontology/isPartOf","ist ein Teil von","is part of"
"http://dbpedia.org/ontology/knownFor","bekannt für","known for"
"http://dbpedia.org/ontology/manufacturer","Hersteller","manufacturer"
"http://dbpedia.org/ontology/occupation","Beschäftigung","occupation"
"http://dbpedia.org/ontology/operator","Betreiber","operator"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/owningCompany","Besitzerfirma","owning company"
"http://dbpedia.org/ontology/division",,"division"
"http://dbpedia.org/ontology/openingTheme",,"opening theme"
"http://dbpedia.org/ontology/parentCompany","Muttergesellschaft","parent company"
"http://dbpedia.org/ontology/predecessor","Vorgänger","predecessor"
"http://dbpedia.org/ontology/presenter","Moderator","presenter"
"http://dbpedia.org/ontology/producer","Produzent","producer"
"http://dbpedia.org/ontology/product","Produkt","product"
"http://dbpedia.org/ontology/productionCompany","Produktionsfirma","production company"
"http://dbpedia.org/ontology/publisher","Herausgeber","publisher"
"http://dbpedia.org/ontology/successor","Nachfolger","successor"
"http://dbpedia.org/ontology/team","Team","team"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/recordLabel",,"record label"
"http://dbpedia.org/ontology/regionServed",,"region served"
"http://dbpedia.org/ontology/subsidiary",,"subsidiary"
"http://dbpedia.org/ontology/builder","Baumeister","builder"
"http://dbpedia.org/ontology/employer","Arbeitgeber","employer"
"http://dbpedia.org/ontology/channel","Kanal","channel"
"http://dbpedia.org/ontology/gameArtist",,"game artist"
"http://dbpedia.org/ontology/nonFictionSubject",,"non-fiction subject"
"http://dbpedia.org/ontology/owningOrganisation",,"owning organisation"
"http://dbpedia.org/ontology/parentOrganisation",,"parent organisation"
"http://dbpedia.org/ontology/institution","Institution","institution"
"http://dbpedia.org/ontology/projectParticipant","Projektteilnehmer","project participant"
"http://dbpedia.org/ontology/board",,"board"
"http://dbpedia.org/ontology/architect","Architekt","architect"
"http://dbpedia.org/ontology/crosses",,"crosses"
"http://dbpedia.org/ontology/engine","Motor","engine"
"http://dbpedia.org/ontology/foundedBy","gegründet von","founded by"
"http://dbpedia.org/ontology/network","Sendergruppe","network"
"http://dbpedia.org/ontology/distributingCompany",,"distributing company"
"http://dbpedia.org/ontology/distributingLabel",,"distributing label"
"http://dbpedia.org/ontology/servingRailwayLine","angebundene Eisenbahnlinie","serving railway line"
"http://dbpedia.org/ontology/importantStation","wichtiger Verkehrsknotenpunkt","important station"
"http://dbpedia.org/ontology/railwayRollingStock","Operierende Schienenfahrzeuge","railway rolling stock"
"http://dbpedia.org/ontology/vehiclesInFleet","Fahrzeugtypen der Flotte","vehicle types in fleet"
"http://dbpedia.org/ontology/powerType",,"power type"
"http://dbpedia.org/ontology/class","Klasse","class"
"http://dbpedia.org/ontology/cpu","CPU","CPU"
"http://dbpedia.org/ontology/executiveProducer","Ausführender Produzent","executive producer"
"http://dbpedia.org/ontology/firstDriverTeam","Siegerteam","winning team"
"http://dbpedia.org/ontology/maintainedBy","gewartet von","maintained by"
"http://dbpedia.org/ontology/secondTeam","zweites Team","second team"
"http://dbpedia.org/ontology/thirdTeam","dritte Mannschaft","third team"
"http://dbpedia.org/ontology/agency","Agentur","agency"
"http://dbpedia.org/ontology/founder","Gründer","founder"
"http://dbpedia.org/ontology/governingBody","Verwaltungsgremium","governing body"
"http://dbpedia.org/ontology/ingredient","Zutat","ingredient"
"http://dbpedia.org/ontology/keyPerson","Schlüsselperson","key person"
