"p","lde","len"
"http://dbpedia.org/ontology/thumbnail",,"thumbnail"
"http://dbpedia.org/ontology/wikiPageID",,"Wikipage page ID"
"http://dbpedia.org/ontology/wikiPageRevisionID",,"Wikipage revision ID"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/abstract","abstract","has abstract"
"http://dbpedia.org/ontology/passengersPerDay","Passagiere pro Tag","passengers per day"
"http://dbpedia.org/ontology/fate","Schicksal","fate"
"http://dbpedia.org/ontology/formerName","früherer Name","former name"
"http://dbpedia.org/ontology/foundingDate","Gründungsdatum","founding date"
"http://dbpedia.org/ontology/foundingYear","Gründungsjahr","founding year"
"http://dbpedia.org/ontology/wikiPageExternalLink",,"Link from a Wikipage to an external page"
"http://dbpedia.org/ontology/numberOfEmployees","Anzahl der Mitarbeiter","number of employees"
"http://dbpedia.org/ontology/numberOfLocations","Anzahl der Standorte","number of locations"
"http://dbpedia.org/ontology/passengersPerYear","Passagiere pro Jahr","passengers per year"
"http://dbpedia.org/ontology/purpose","Zweck","purpose"
"http://dbpedia.org/ontology/revenue","Einnahmen ($)","revenue ($)"
"http://dbpedia.org/ontology/country","Land","country"
"http://dbpedia.org/ontology/foundedBy","gegründet von","founded by"
"http://dbpedia.org/ontology/genre","Genre","genre"
"http://dbpedia.org/ontology/headquarter","Hauptsitz","headquarter"
"http://dbpedia.org/ontology/industry","Industrie","industry"
"http://dbpedia.org/ontology/keyPerson","Schlüsselperson","key person"
"http://dbpedia.org/ontology/operator","Betreiber","operator"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/owningCompany","Besitzerfirma","owning company"
"http://dbpedia.org/ontology/parentCompany","Muttergesellschaft","parent company"
"http://dbpedia.org/ontology/predecessor","Vorgänger","predecessor"
"http://dbpedia.org/ontology/product","Produkt","product"
"http://dbpedia.org/ontology/service","Dienst","service"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/destination","Ziel","destination"
"http://dbpedia.org/ontology/vehiclesInFleet","Fahrzeugtypen der Flotte","vehicle types in fleet"
"http://dbpedia.org/ontology/distributingCompany",,"distributing company"
"http://dbpedia.org/ontology/distributingLabel",,"distributing label"
"http://dbpedia.org/ontology/division",,"division"
"http://dbpedia.org/ontology/locationCountry",,"państwo"
"http://dbpedia.org/ontology/regionServed",,"region served"
"http://dbpedia.org/ontology/subsidiary",,"subsidiary"
"http://dbpedia.org/ontology/targetAirport",,"target airport"
"http://dbpedia.org/ontology/wikiPageLength",,"page length (characters) of wiki page"
"http://dbpedia.org/ontology/icaoAirlineCode",,"ICAO code"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/numberOfLines","Anzahl der Linien","number of lines"
"http://dbpedia.org/ontology/originalName","ursprünglicher Namen","original name"
"http://dbpedia.org/ontology/successor","Nachfolger","successor"
"http://dbpedia.org/ontology/revenueYear",,"year of reported revenue"
"http://dbpedia.org/ontology/assets","Aktiva ($)","assets ($)"
"http://dbpedia.org/ontology/equity","Gerechtigkeit ($)","equity ($)"
"http://dbpedia.org/ontology/closingDate",,"closing date"
"http://dbpedia.org/ontology/dissolutionDate",,"dissolution date"
"http://dbpedia.org/ontology/dissolutionYear",,"dissolution year"
"http://dbpedia.org/ontology/isPartOf","ist ein Teil von","is part of"
"http://dbpedia.org/ontology/wikiPageInterLanguageLink",,"Link from a Wikipage to a Wikipage in a different language about the same or a related subject."
"http://dbpedia.org/ontology/iataAirlineCode",,"IATA code"
"http://dbpedia.org/ontology/numberOfOffices","Anzahl Büros","number of offices"
"http://dbpedia.org/ontology/hubAirport",,"hub airport"
"http://dbpedia.org/ontology/formationDate",,"formation date"
"http://dbpedia.org/ontology/fuelType","Kraftstofftyp","fuel type"
"http://dbpedia.org/ontology/importantStation","wichtiger Verkehrsknotenpunkt","important station"
"http://dbpedia.org/ontology/alliance","Allianz","alliance"
"http://dbpedia.org/ontology/numberOfLawyers","Anzahl Rechtsanwälte","number of lawyers"
"http://dbpedia.org/ontology/netIncome","Nettoergebnis ($)","net income ($)"
"http://dbpedia.org/ontology/operatingIncome","Betriebsergebnis ($)","operating income ($)"
"http://dbpedia.org/ontology/currentStatus","aktueller Status","current status"
"http://dbpedia.org/ontology/locationCity",,"location city"
"http://dbpedia.org/ontology/numberOfVehicles","Anzahl der Fahrzeuge","number of vehicles"
"http://dbpedia.org/ontology/trackLength","Streckenlänge (μ)","track length (μ)"
"http://dbpedia.org/ontology/legalForm","Rechtsform","legal form"
"http://dbpedia.org/ontology/typeOfElectrification","Art der Elektrifizierung","type of electrification"
"http://dbpedia.org/ontology/reportingMark",,"reporting mark"
"http://dbpedia.org/ontology/closingYear","Schließungsjahr","closing year"
"http://dbpedia.org/ontology/numberOfStations","Anzahl der Stationen","number of stations"
"http://dbpedia.org/ontology/openingDate","Eröffnungsdatum","opening date"
"http://dbpedia.org/ontology/openingYear","Eröffnungsjahr","opening year"
"http://dbpedia.org/ontology/occupation","Beschäftigung","occupation"
"http://dbpedia.org/ontology/averageSpeed","Durchschnittsgeschwindigkeit (kmh)","average speed (kmh)"
"http://dbpedia.org/ontology/assetUnderManagement",,"asset under management ($)"
"http://dbpedia.org/ontology/topSpeed","Höchstgeschwindigkeit (kmh)","top speed (kmh)"
"http://dbpedia.org/ontology/railGauge","Spurweite Eisenbahn (μ)","rail gauge (μ)"
"http://dbpedia.org/ontology/voltageOfElectrification","Voltzahl der Elektrifizierung (V)","voltage of electrification (V)"
"http://dbpedia.org/ontology/founder","Gründer","founder"
"http://dbpedia.org/ontology/birthDate","Geburtsdatum","birth date"
"http://dbpedia.org/ontology/birthYear","Geburtsjahr","birth year"
"http://dbpedia.org/ontology/spouse","Ehepartner","spouse"
"http://dbpedia.org/ontology/leaderFunction",,"leaderFunction"
"http://dbpedia.org/ontology/slogan","Slogan","slogan"
"http://dbpedia.org/ontology/firstAirDate","Sendebeginn","first air date"
"http://dbpedia.org/ontology/motto","Motto","motto"
"http://dbpedia.org/ontology/language","Sprache","language"
"http://dbpedia.org/ontology/tradingName","Handelsname","trading name"
"http://dbpedia.org/ontology/production","Produktion","production"
"http://dbpedia.org/ontology/format","Format","format (object)"
"http://dbpedia.org/ontology/chiefEditor","Chefredakteur","chief editor"
"http://dbpedia.org/ontology/circulation",,"circulation"
"http://dbpedia.org/ontology/budget","Etat ($)","budget ($)"
"http://dbpedia.org/ontology/leader","Führer","leader"
"http://dbpedia.org/ontology/jurisdiction","Zuständigkeit","jurisdiction"
"http://dbpedia.org/ontology/lccnId",,"LCCN Id"
"http://dbpedia.org/ontology/address","Adresse","address"
"http://dbpedia.org/ontology/city","Stadt","city"
"http://dbpedia.org/ontology/foundationPlace","Gründungsort","foundation place"
"http://dbpedia.org/ontology/formationYear",,"formation year"
"http://dbpedia.org/ontology/parentOrganisation",,"parent organisation"
"http://dbpedia.org/ontology/numberOfStudents","Zahl der Studierenden","number of students"
"http://dbpedia.org/ontology/state","Staat","state"
"http://dbpedia.org/ontology/officialSchoolColour","offizielle Schulfarbe","official school colour"
"http://dbpedia.org/ontology/affiliation",,"affiliation"
"http://dbpedia.org/ontology/province","Provinz","province"
"http://dbpedia.org/ontology/numberOfVolunteers","Anzahl der Freiwilligen","number of volunteers"
"http://dbpedia.org/ontology/startDate","Startdatum","start date"
"http://dbpedia.org/ontology/distanceToCharingCross",,"distance to Charing Cross (μ)"
"http://dbpedia.org/ontology/populationTotal","Einwohnerzahl","population total"
"http://dbpedia.org/ontology/postalCode","Postleitzahl","postal code"
"http://dbpedia.org/ontology/gridReference",,"grid reference"
"http://dbpedia.org/ontology/borough","Bezirk","borough"
"http://dbpedia.org/ontology/soundRecording",,"sound recording"
"http://dbpedia.org/ontology/ceo","Geschäftsführer","chief executive officer"
"http://dbpedia.org/ontology/publisher","Herausgeber","publisher"
"http://dbpedia.org/ontology/writer","schriftsteller","writer"
"http://dbpedia.org/ontology/seatingCapacity","Sitzplatzkapazität","seating capacity"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/endDate","Enddatum","end date"
"http://dbpedia.org/ontology/broadcastArea","Empfangsgebiet","broadcast area"
"http://dbpedia.org/ontology/knownFor","bekannt für","known for"
"http://dbpedia.org/ontology/nationality","Nationalität","nationality"
"http://dbpedia.org/ontology/activeYearsEndYear",,"active years end year"
"http://dbpedia.org/ontology/activeYearsStartYear",,"active years start year"
"http://dbpedia.org/ontology/alias",,"alias"
"http://dbpedia.org/ontology/stateOfOrigin",,"state of origin"
"http://dbpedia.org/ontology/viafId",,"VIAF Id"
"http://dbpedia.org/ontology/almaMater",,"alma mater"
"http://dbpedia.org/ontology/alternativeName","alternativer Name","alternative name"
"http://dbpedia.org/ontology/architect","Architekt","architect"
"http://dbpedia.org/ontology/map","Landkarte","map"
"http://dbpedia.org/ontology/academicDiscipline","wissenschaftliche Disziplin","academic discipline"
"http://dbpedia.org/ontology/institution","Institution","institution"
"http://dbpedia.org/ontology/doctoralAdvisor","Doktorvater","doctoral advisor"
"http://dbpedia.org/ontology/status","Status","status"
"http://dbpedia.org/ontology/runtime","Laufzeit (s)","runtime (s)"
