('http://dbpedia.org/ontology/location', 'Standort', 'location')
('http://dbpedia.org/ontology/abstract', 'abstract', 'has abstract')
('http://dbpedia.org/ontology/passengersPerDay', 'Passagiere pro Tag', 'passengers per day')
('http://dbpedia.org/ontology/fate', 'Schicksal', 'fate')
('http://dbpedia.org/ontology/formerName', 'früherer Name', 'former name')
('http://dbpedia.org/ontology/foundingDate', 'Gründungsdatum', 'founding date')
('http://dbpedia.org/ontology/foundingYear', 'Gründungsjahr', 'founding year')
('http://dbpedia.org/ontology/numberOfEmployees', 'Anzahl der Mitarbeiter', 'number of employees')
('http://dbpedia.org/ontology/numberOfLocations', 'Anzahl der Standorte', 'number of locations')
('http://dbpedia.org/ontology/passengersPerYear', 'Passagiere pro Jahr', 'passengers per year')
('http://dbpedia.org/ontology/purpose', 'Zweck', 'purpose')
('http://dbpedia.org/ontology/revenue', 'Einnahmen ($)', 'revenue ($)')
('http://dbpedia.org/ontology/country', 'Land', 'country')
('http://dbpedia.org/ontology/foundedBy', 'gegründet von', 'founded by')
('http://dbpedia.org/ontology/genre', 'Genre', 'genre')
('http://dbpedia.org/ontology/headquarter', 'Hauptsitz', 'headquarter')
('http://dbpedia.org/ontology/industry', 'Industrie', 'industry')
('http://dbpedia.org/ontology/keyPerson', 'Schlüsselperson', 'key person')
('http://dbpedia.org/ontology/operator', 'Betreiber', 'operator')
('http://dbpedia.org/ontology/owner', 'Eigentümer', 'owner')
('http://dbpedia.org/ontology/owningCompany', 'Besitzerfirma', 'owning company')
('http://dbpedia.org/ontology/parentCompany', 'Muttergesellschaft', 'parent company')
('http://dbpedia.org/ontology/predecessor', 'Vorgänger', 'predecessor')
('http://dbpedia.org/ontology/product', 'Produkt', 'product')
('http://dbpedia.org/ontology/service', 'Dienst', 'service')
('http://dbpedia.org/ontology/type', 'Typ', 'type')
('http://dbpedia.org/ontology/destination', 'Ziel', 'destination')
('http://dbpedia.org/ontology/vehiclesInFleet', 'Fahrzeugtypen der Flotte', 'vehicle types in fleet')
('http://dbpedia.org/ontology/numberOfLines', 'Anzahl der Linien', 'number of lines')
('http://dbpedia.org/ontology/originalName', 'ursprünglicher Namen', 'original name')
('http://dbpedia.org/ontology/successor', 'Nachfolger', 'successor')
('http://dbpedia.org/ontology/assets', 'Aktiva ($)', 'assets ($)')
('http://dbpedia.org/ontology/equity', 'Gerechtigkeit ($)', 'equity ($)')
('http://dbpedia.org/ontology/isPartOf', 'ist ein Teil von', 'is part of')
('http://dbpedia.org/ontology/numberOfOffices', 'Anzahl Büros', 'number of offices')
('http://dbpedia.org/ontology/fuelType', 'Kraftstofftyp', 'fuel type')
('http://dbpedia.org/ontology/importantStation', 'wichtiger Verkehrsknotenpunkt', 'important station')
('http://dbpedia.org/ontology/alliance', 'Allianz', 'alliance')
