('Standort', 'location')
('Montage', 'assembly')
('autor', 'author')
('Sendergruppe', 'broadcast network')
('Firma', 'company')
('Komponist', 'composer')
('Urheber', 'creator (agent)')
('Entwickler', 'developer')
('ist ein Teil von', 'is part of')
('bekannt für', 'known for')
('Hersteller', 'manufacturer')
('Beschäftigung', 'occupation')
('Betreiber', 'operator')
('Eigentümer', 'owner')
('Besitzerfirma', 'owning company')
('Muttergesellschaft', 'parent company')
('Vorgänger', 'predecessor')
('Moderator', 'presenter')
('Produzent', 'producer')
('Produkt', 'product')
('Produktionsfirma', 'production company')
('Herausgeber', 'publisher')
('Nachfolger', 'successor')
('Team', 'team')
('Typ', 'type')
('Baumeister', 'builder')
('Arbeitgeber', 'employer')
('Kanal', 'channel')
('Institution', 'institution')
('Projektteilnehmer', 'project participant')
('Architekt', 'architect')
('Motor', 'engine')
('gegründet von', 'founded by')
('Sendergruppe', 'network')
('angebundene Eisenbahnlinie', 'serving railway line')
('wichtiger Verkehrsknotenpunkt', 'important station')
('Operierende Schienenfahrzeuge', 'railway rolling stock')
('Fahrzeugtypen der Flotte', 'vehicle types in fleet')
('Klasse', 'class')
('CPU', 'CPU')
('Ausführender Produzent', 'executive producer')
('Siegerteam', 'winning team')
('gewartet von', 'maintained by')
('zweites Team', 'second team')
('dritte Mannschaft', 'third team')
('Agentur', 'agency')
('Gründer', 'founder')
('Verwaltungsgremium', 'governing body')
('Zutat', 'ingredient')
('Schlüsselperson', 'key person')
('komponist', 'music composer')
('bedeutendes Gebäude', 'significant building')
('Befehlshaber', 'commander')
('Land', 'country')
('Ingenieur', 'engineer')
('zusammengeschlossen', 'merged with')
('Förderung', 'promotion')
('Ehepartner', 'spouse')
('Bearbeitung', 'editing')
('Herausgeber', 'editor')
('Industrie', 'industry')
('Politiker', 'politician')
('Religion', 'religion')
('Züchter', 'breeder')
('Allianz', 'alliance')
('Album', 'album')
('Auszeichnung', 'award')
('Kette', 'chain')
('Hauptsitz', 'headquarter')
('Ideologie', 'ideology')
('Mieter', 'tenant')
('Ziel', 'destination')
('bedeutendes Projekt', 'significant project')
('regisseur', 'film director')
('Serie', 'series')
('Kommandostruktur', 'command structure')
('Liga', 'league')
('Partei', 'party')
('Position', 'position')
('Saison', 'season')
('Zuständigkeit', 'jurisdiction')
('Bandmitglied', 'band member')
('Bildung', 'education')
('ehemaliges Bandmitglied', 'former band member')
('Genre', 'genre')
('Person', 'person')
('nachfolgende Arbeiten', 'subsequent work')
('Übersetzer', 'translator')
('Format', 'format (object)')
('Sterbeort', 'death place')
('Geburtsort', 'birth place')
('Instrument', 'instrument')
('Wegende', 'route end')
('Betriebssystem', 'operating system')
('Dienst', 'service')
('Vorsitzender', 'chairman')
('Verwandter', 'relative')
('stilistische Herkunft', 'stylistic origin')
('Präsident', 'president')
('Management', 'management')
('Behörde', 'authority')
('erster Fahrer', 'first driver')
('Illustrator', 'illustrator')
('bild', 'picture')
('Doktorand', 'doctoral student')
('schriftsteller', 'writer')
('Führer', 'leader')
('Stimme', 'voice')
('Automobilplattform', 'automobile platform')
('schnellster Fahrer Team', 'fastest driver team')
('Lizenz', 'license')
('Kraftstoffsystem', 'fuel system')
('Bezirk', 'district')
('Art der Elektrifizierung', 'type of electrification')
('Disziplin', 'discipline')
('verbunden', 'related')
('Kraftstofftyp', 'fuel type')
('basierend auf', 'based on')
('Empfangsgebiet', 'broadcast area')
('Musik von', 'music by')
('Beruf', 'profession')
('Elternteil', 'parent')
('politische Partei in der Legislative', 'political party in legislature')
('Staatsform', 'government type')
('Nationalität', 'nationality')
('Herkunft', 'origin')
('Residenz', 'residence')
('Gebiet', 'territory')
('Tunnel benutzende Eisenbahnlinie', 'railway line using tunnel')
('ehemalige Sendergruppe', 'former broadcast network')
('Startplatz', 'launch site')
('Militäreinheit', 'military unit')
('Medientyp', 'media type')
('Clubmanager', 'manager club')
('wissenschaftliche Disziplin', 'academic discipline')
('Stadt', 'city')
('Verein', 'club')
('Sprache', 'language')
('literarische Gattung', 'literary genre')
('früheren Arbeiten', 'previous work')
('Interpret', 'performer')
('Geschäftsführer', 'chief executive officer')
('Kinematografie', 'cinematography')
('Campus', 'campus')
('Beziehung', 'relation')
('Rechtsform', 'legal form')
('Farbe', 'colour')
('Gymnasium', 'highschool')
('Ehrungen', 'honours')
('Garnison', 'garrison')
('Person , die zuerst einen Berg bestiegen hat', 'person that first ascented a mountain')
('Ausbildung', 'training')
('Vizepräsident', 'vice president')
('Variante oder Variation', 'variant or variation')
('Vorsitzender', 'chairperson')
('Erzähler', 'narrator')
('Fabrik', 'manufactory')
('Weganfang', 'route start')
('Projektkoordinator', 'project coordinator')
('Schlacht', 'battle')
('Hubschrauber', 'aircraft helicopter')
('Stadion', 'Stadium')
('Landkarte', 'map')
('beeinflusst', 'influenced')
('Auswahl', 'selection')
('Designerfirma', 'designer company')
('Designer', 'designer')
('Verteiler', 'distributor')
('Einteilung', 'division')
('Eröffnungsthema', 'opening theme')
('Plattenlabel', 'record label')
('Region bedient region', 'region served')
('Tochtergesellschaft', 'subsidiary')
('Spielkünstler', 'game artist')
('Sachbuch', 'non-fiction subject')
('Eigentümerorganisation', 'owning organisation')
('Mutterorganisation', 'parent organisation')
('Tafel', 'board')
('Kreuze', 'crosses')
('Vertriebsgesellschaft', 'distributing company')
('Etikett verteilen', 'distributing label')
('Stromart', 'power type')
('Spiel-Engine', 'Game Engine')
('bemerkenswerte Arbeit', 'notable work')
('Cover-Künstler', 'cover artist')
('Zugehörigkeit', 'affiliation')
('Hauptorgel', 'main organ')
('verehrt in', 'venerated in')
('Kinderorganisation', 'child organisation')
('Computerplattform', 'computing platform')
('Premierenplatz', 'premiere place')
('Schöpfer des Gerichts', 'creator of dish')
('Heimathafen', 'homeport')
('Drehkreuz Flughafen', 'hub airport')
('militärischer Zweig', 'military branch')
('aufgenommen in', 'recorded in')
('Zielflughafen', 'target airport')
('Alma Mater', 'alma mater')
('zugehörige Band', 'associated band')
('assoziierter Musikkünstler', 'associated musical artist')
('Mund Berg', 'mouth mountain')
('Mundplatz', 'mouth place')
('Sportverband', 'sport governing body')
('zugehöriges Verkehrsmittel', 'related mean of transportation')
('Sprachregulierungsbehörde oder Akademie', 'language regulator or academy')
('Wiederaufbau', 'rebuilder')
('Motortyp', 'engine type')
('mit', 'starring')
('Schulbehörde', 'school board')
('Haus', 'house')
('Boden', 'ground')
('Pole-Fahrer-Team', 'pole driver team')
('Land verwenden', 'using country')
('Herkunftsland', 'state of origin')
('Gemeinde', 'local authority')
('binomiale Autorität', 'binomial authority')
('Programmformat', 'programme format')
('Schwesterstation', 'sister station')
('Flugzeugkämpfer', 'aircraft fighter')
('Körperstil', 'body style')
('Kreativdirektor', 'creative director')
('Konfession', 'denomination')
('ehemaliges Team', 'former team')
('Verknüpft eine Entität mit dem bevölkerten Ort, an dem sie sich befindet.', 'Relates an entity to the populated place in which it is located.')
('Flugzeugaufklärung', 'aircraft recon')
('folgende Veranstaltung', 'following event')
('Schwester Zeitung', 'sister newspaper')
