"p","lde","len"
"http://dbpedia.org/ontology/deathPlace","Sterbeort","death place"
"http://dbpedia.org/ontology/birthPlace","Geburtsort","birth place"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/knownFor","bekannt für","known for"
"http://dbpedia.org/ontology/occupation","Beschäftigung","occupation"
"http://dbpedia.org/ontology/residence","Residenz","residence"
"http://dbpedia.org/ontology/restingPlace","Ruhestätte","resting place"
"http://dbpedia.org/ontology/routeEnd","Wegende","route end"
"http://dbpedia.org/ontology/routeJunction","Wegabzweigung","route junction"
"http://dbpedia.org/ontology/institution","Institution","institution"
"http://dbpedia.org/ontology/employer","Arbeitgeber","employer"
"http://dbpedia.org/ontology/significantProject","bedeutendes Projekt","significant project"
"http://dbpedia.org/ontology/ground",,"ground"
"http://dbpedia.org/ontology/locatedInArea",,"located in area"
"http://dbpedia.org/ontology/mouthMountain",,"mouth mountain"
"http://dbpedia.org/ontology/mouthPlace",,"mouth place"
"http://dbpedia.org/ontology/board",,"board"
"http://dbpedia.org/ontology/bodyDiscovered","Leiche entdeckt","body discovered"
"http://dbpedia.org/ontology/headquarter","Hauptsitz","headquarter"
"http://dbpedia.org/ontology/homeStadium","Heimstadion","home stadium"
"http://dbpedia.org/ontology/hometown","Heimatort","home town"
"http://dbpedia.org/ontology/museum","museum","museum"
"http://dbpedia.org/ontology/namedAfter","benannt nach","named after"
"http://dbpedia.org/ontology/routeStart","Weganfang","route start"
"http://dbpedia.org/ontology/team","Team","team"
"http://dbpedia.org/ontology/almaMater",,"alma mater"
"http://dbpedia.org/ontology/border","Grenze","border"
"http://dbpedia.org/ontology/garrison","Garnison","garrison"
"http://dbpedia.org/ontology/routeStartLocation","Ort des Weganfangs","route start location"
"http://dbpedia.org/ontology/crosses",,"crosses"
"http://dbpedia.org/ontology/subdivision",,"subdivision"
"http://dbpedia.org/ontology/city","Stadt","city"
"http://dbpedia.org/ontology/riverMouth","Flussmündung","river mouth"
"http://dbpedia.org/ontology/significantDesign","bedeutendes Design","significant design"
"http://dbpedia.org/ontology/childOrganisation",,"child organisation"
"http://dbpedia.org/ontology/beatifiedPlace",,"beatified place"
"http://dbpedia.org/ontology/operator","Betreiber","operator"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/significantBuilding","bedeutendes Gebäude","significant building"
"http://dbpedia.org/ontology/island","Insel","island"
"http://dbpedia.org/ontology/regionServed",,"region served"
"http://dbpedia.org/ontology/notableWork",,"notable work"
"http://dbpedia.org/ontology/stadium","Stadion","Stadium"
"http://dbpedia.org/ontology/canonizedPlace",,"canonized place"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/governingBody","Verwaltungsgremium","governing body"
"http://dbpedia.org/ontology/recordedIn",,"recorded in"
"http://dbpedia.org/ontology/routeEndLocation","Ort des Wegendes","route end location"
"http://dbpedia.org/ontology/committeeInLegislature","Ausschuss in der Legislative","committee in legislature"
"http://dbpedia.org/ontology/publisher","Herausgeber","publisher"
"http://dbpedia.org/ontology/majorShrine","bedeutender Schrein","major shrine"
"http://dbpedia.org/ontology/origin","Herkunft","origin"
"http://dbpedia.org/ontology/politician","Politiker","politician"
"http://dbpedia.org/ontology/outflow","Abfluss","outflow"
"http://dbpedia.org/ontology/nearestCity","nächstgelegene Stadt","nearest city"
"http://dbpedia.org/ontology/place",,"Relates an entity to the populated place in which it is located."
"http://dbpedia.org/ontology/premierePlace",,"premiere place"
"http://dbpedia.org/ontology/starring",,"starring"
"http://dbpedia.org/ontology/parentMountainPeak",,"parent mountain peak"
"http://dbpedia.org/ontology/importantStation","wichtiger Verkehrsknotenpunkt","important station"
"http://dbpedia.org/ontology/inflow","Zufluss","inflow"
"http://dbpedia.org/ontology/picture","bild","picture"
"http://dbpedia.org/ontology/builder","Baumeister","builder"
