"p","lde","len"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/education","Bildung","education"
"http://dbpedia.org/ontology/operator","Betreiber","operator"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/publisher","Herausgeber","publisher"
"http://dbpedia.org/ontology/team","Team","team"
"http://dbpedia.org/ontology/tenant","Mieter","tenant"
"http://dbpedia.org/ontology/highschool","Gymnasium","highschool"
"http://dbpedia.org/ontology/institution","Institution","institution"
"http://dbpedia.org/ontology/rivalSchool","Rivale","rival"
"http://dbpedia.org/ontology/district","Bezirk","district"
"http://dbpedia.org/ontology/almaMater",,"alma mater"
"http://dbpedia.org/ontology/ground",,"ground"
"http://dbpedia.org/ontology/employer","Arbeitgeber","employer"
"http://dbpedia.org/ontology/managerClub","Clubmanager","manager club"
"http://dbpedia.org/ontology/school","schule","school"
"http://dbpedia.org/ontology/training","Ausbildung","training"
"http://dbpedia.org/ontology/affiliation",,"affiliation"
"http://dbpedia.org/ontology/coachClub",,"coach club"
"http://dbpedia.org/ontology/significantBuilding","bedeutendes Gebäude","significant building"
"http://dbpedia.org/ontology/significantDesign","bedeutendes Design","significant design"
"http://dbpedia.org/ontology/deathPlace","Sterbeort","death place"
"http://dbpedia.org/ontology/birthPlace","Geburtsort","birth place"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/assembly","Montage","assembly"
"http://dbpedia.org/ontology/broadcastNetwork","Sendergruppe","broadcast network"
"http://dbpedia.org/ontology/city","Stadt","city"
"http://dbpedia.org/ontology/garrison","Garnison","garrison"
"http://dbpedia.org/ontology/knownFor","bekannt für","known for"
"http://dbpedia.org/ontology/restingPlace","Ruhestätte","resting place"
"http://dbpedia.org/ontology/college","College","college"
"http://dbpedia.org/ontology/constituencyDistrict","Whalbezirk","constituency district"
"http://dbpedia.org/ontology/award","Auszeichnung","award"
"http://dbpedia.org/ontology/developer","Entwickler","developer"
"http://dbpedia.org/ontology/foundedBy","gegründet von","founded by"
"http://dbpedia.org/ontology/headquarter","Hauptsitz","headquarter"
"http://dbpedia.org/ontology/occupation","Beschäftigung","occupation"
"http://dbpedia.org/ontology/owningCompany","Besitzerfirma","owning company"
"http://dbpedia.org/ontology/parentCompany","Muttergesellschaft","parent company"
"http://dbpedia.org/ontology/party","Partei","party"
"http://dbpedia.org/ontology/stadium","Stadion","Stadium"
"http://dbpedia.org/ontology/territory","Gebiet","territory"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/jurisdiction","Zuständigkeit","jurisdiction"
"http://dbpedia.org/ontology/profession","Beruf","profession"
"http://dbpedia.org/ontology/projectParticipant","Projektteilnehmer","project participant"
"http://dbpedia.org/ontology/militaryBranch",,"military branch"
"http://dbpedia.org/ontology/parentOrganisation",,"parent organisation"
"http://dbpedia.org/ontology/childOrganisation",,"child organisation"
"http://dbpedia.org/ontology/editor","Herausgeber","editor"
"http://dbpedia.org/ontology/subsidiary",,"subsidiary"
"http://dbpedia.org/ontology/associatedBand",,"associated band"
"http://dbpedia.org/ontology/associatedMusicalArtist",,"associated musical artist"
"http://dbpedia.org/ontology/binomialAuthority",,"binomial authority"
"http://dbpedia.org/ontology/residence","Residenz","residence"
"http://dbpedia.org/ontology/formerTeam",,"former team"
"http://dbpedia.org/ontology/subdivision",,"subdivision"
"http://dbpedia.org/ontology/board",,"board"
"http://dbpedia.org/ontology/homeStadium","Heimstadion","home stadium"
"http://dbpedia.org/ontology/authority","Behörde","authority"
"http://dbpedia.org/ontology/spokenIn","gesprochen in","spoken in"
"http://dbpedia.org/ontology/hometown","Heimatort","home town"
"http://dbpedia.org/ontology/routeEnd","Wegende","route end"
"http://dbpedia.org/ontology/routeJunction","Wegabzweigung","route junction"
"http://dbpedia.org/ontology/routeStart","Weganfang","route start"
"http://dbpedia.org/ontology/campus","Campus","campus"
"http://dbpedia.org/ontology/capital","Hauptstadt","capital"
"http://dbpedia.org/ontology/relative","Verwandter","relative"
"http://dbpedia.org/ontology/club","Verein","club"
"http://dbpedia.org/ontology/place",,"Relates an entity to the populated place in which it is located."
