"p","lde","len"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/thumbnail",,"thumbnail"
"http://dbpedia.org/ontology/wikiPageID",,"Wikipage page ID"
"http://dbpedia.org/ontology/wikiPageRevisionID",,"Wikipage revision ID"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageExternalLink",,"Link from a Wikipage to an external page"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/numberOfStudents","Zahl der Studierenden","number of students"
"http://dbpedia.org/ontology/abstract","abstract","has abstract"
"http://dbpedia.org/ontology/staff","Personal","staff"
"http://dbpedia.org/ontology/address","Adresse","address"
"http://dbpedia.org/ontology/foundingYear","Gründungsjahr","founding year"
"http://dbpedia.org/ontology/mascot","Maskottchen","mascot"
"http://dbpedia.org/ontology/motto","Motto","motto"
"http://dbpedia.org/ontology/originalName","ursprünglicher Namen","original name"
"http://dbpedia.org/ontology/postalCode","Postleitzahl","postal code"
"http://dbpedia.org/ontology/teamName","Teamname","team name"
"http://dbpedia.org/ontology/city","Stadt","city"
"http://dbpedia.org/ontology/colour","Farbe","colour"
"http://dbpedia.org/ontology/country","Land","country"
"http://dbpedia.org/ontology/language","Sprache","language"
"http://dbpedia.org/ontology/province","Provinz","province"
"http://dbpedia.org/ontology/region","Region","region"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/facultySize",,"faculty size"
"http://dbpedia.org/ontology/ceeb",,"ceeb"
"http://dbpedia.org/ontology/lowerAge",,"lower age"
"http://dbpedia.org/ontology/upperAge",,"upper age"
"http://dbpedia.org/ontology/affiliation",,"affiliation"
"http://dbpedia.org/ontology/state","Staat","state"
"http://dbpedia.org/ontology/county","Bezirk","county"
"http://dbpedia.org/ontology/district","Bezirk","district"
"http://dbpedia.org/ontology/ranking","Rangliste","ranking"
"http://dbpedia.org/ontology/officialSchoolColour","offizielle Schulfarbe","official school colour"
"http://dbpedia.org/ontology/educationSystem",,"education system"
"http://dbpedia.org/ontology/grades",,"grades"
"http://dbpedia.org/ontology/wikiPageLength",,"page length (characters) of wiki page"
"http://dbpedia.org/ontology/authority","Behörde","authority"
"http://dbpedia.org/ontology/ageRange","Altersgruppe","age range"
"http://dbpedia.org/ontology/averageClassSize","durchschnittliche Klassengröße","average class size"
"http://dbpedia.org/ontology/tuition","Schulgeld ($)","tuition ($)"
"http://dbpedia.org/ontology/headLabel",,"head label"
"http://dbpedia.org/ontology/schoolNumber",,"school number"
"http://dbpedia.org/ontology/campusSize",,"campus size (m2)"
"http://dbpedia.org/ontology/oversight",,"oversight"
"http://dbpedia.org/ontology/testaverage",,"testaverage"
"http://dbpedia.org/ontology/budget","Etat ($)","budget ($)"
"http://dbpedia.org/ontology/slogan","Slogan","slogan"
"http://dbpedia.org/ontology/religion","Religion","religion"
"http://dbpedia.org/ontology/rivalSchool","Rivale","rival"
"http://dbpedia.org/ontology/schoolBoard",,"school board"
"http://dbpedia.org/ontology/School/campusSize",,"campus size (km2)"
"http://dbpedia.org/ontology/campusType",,"campus type"
"http://dbpedia.org/ontology/nationalRanking",,"national ranking"
"http://dbpedia.org/ontology/latinName","lateinische Name","name in latin"
"http://dbpedia.org/ontology/closingYear","Schließungsjahr","closing year"
"http://dbpedia.org/ontology/foundedBy","gegründet von","founded by"
"http://dbpedia.org/ontology/sport","Sport","sport"
"http://dbpedia.org/ontology/endowment",,"endowment ($)"
"http://dbpedia.org/ontology/offeredClasses",,"offered classes"
"http://dbpedia.org/ontology/campus","Campus","campus"
"http://dbpedia.org/ontology/chaplain","Kaplan","chaplain"
"http://dbpedia.org/ontology/numberOfGraduateStudents","Zahl der Studenten","number of graduate students"
"http://dbpedia.org/ontology/localAuthority",,"local authority"
"http://dbpedia.org/ontology/denomination",,"denomination"
"http://dbpedia.org/ontology/schoolCode",,"school code"
"http://dbpedia.org/ontology/patronSaint",,"patron saint"
"http://dbpedia.org/ontology/foundingDate","Gründungsdatum","founding date"
"http://dbpedia.org/ontology/status","Status","status"
"http://dbpedia.org/ontology/superintendent","Leiter","superintendent"
"http://dbpedia.org/ontology/fees","Gebühren ($)","fees ($)"
"http://dbpedia.org/ontology/barPassRate",,"bar pass rate"
"http://dbpedia.org/ontology/league","Liga","league"
"http://dbpedia.org/ontology/classes","Klasse","classes"
"http://dbpedia.org/ontology/team","Team","team"
"http://dbpedia.org/ontology/principal",,"principal"
"http://dbpedia.org/ontology/chairperson","Vorsitzender","chairperson"
"http://dbpedia.org/ontology/category","Kategorie","category"
"http://dbpedia.org/ontology/alumni","Alumni","alumni"
"http://dbpedia.org/ontology/nobelLaureates","Nobelpreisträger","nobel laureates"
"http://dbpedia.org/ontology/numberOfEmployees","Anzahl der Mitarbeiter","number of employees"
"http://dbpedia.org/ontology/specialist","Spezialist","specialist"
"http://dbpedia.org/ontology/keyPerson","Schlüsselperson","key person"
"http://dbpedia.org/ontology/areaTotal","Fläche (m2)","area total (m2)"
"http://dbpedia.org/ontology/populationTotal","Einwohnerzahl","population total"
"http://dbpedia.org/ontology/PopulatedPlace/areaTotal","Fläche (km2)","area total (km2)"
"http://dbpedia.org/ontology/wikiPageInterLanguageLink",,"Link from a Wikipage to a Wikipage in a different language about the same or a related subject."
"http://dbpedia.org/ontology/areaCode","Vorwahl","area code"
"http://dbpedia.org/ontology/elevation","Höhe (μ)","elevation (μ)"
"http://dbpedia.org/ontology/politicalLeader","politischer Führer","political leader"
"http://dbpedia.org/ontology/timeZone","Zeitzone","time zone"
"http://dbpedia.org/ontology/utcOffset",,"UTC offset"
"http://dbpedia.org/ontology/subdivision",,"subdivision"
"http://dbpedia.org/ontology/president","Präsident","president"
"http://dbpedia.org/ontology/dean","Dekan","dean"
"http://dbpedia.org/ontology/head",,"head"
"http://dbpedia.org/ontology/numberOfDoctoralStudents","Anzahl der Doktoranden","number of doctoral students"
"http://dbpedia.org/ontology/numberOfUndergraduateStudents","Zahl der Studenten","number of undergraduate students"
"http://dbpedia.org/ontology/numberOfPostgraduateStudents",,"number of postgraduate students"
"http://dbpedia.org/ontology/formerName","früherer Name","former name"
"http://dbpedia.org/ontology/administrator","Verwalter","administrator"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/meaning","Bedeutung","meaning"
"http://dbpedia.org/ontology/gender","Geschlecht","gender"
"http://dbpedia.org/ontology/soundRecording",,"sound recording"
"http://dbpedia.org/ontology/rector","Rektor","rector"
"http://dbpedia.org/ontology/closingDate",,"closing date"
"http://dbpedia.org/ontology/chairman","Vorsitzender","chairman"
"http://dbpedia.org/ontology/university","Universität","university"
"http://dbpedia.org/ontology/areaMetro",,"area metro (m2)"
"http://dbpedia.org/ontology/populationMetro",,"population metro"
"http://dbpedia.org/ontology/synonym","Synonym","synonym"
"http://dbpedia.org/ontology/PopulatedPlace/areaMetro",,"area metro (km2)"
"http://dbpedia.org/ontology/coach","Trainer","coach"
"http://dbpedia.org/ontology/closed","geschlossen","closed"
"http://dbpedia.org/ontology/trustee","Treuhänder","trustee"
"http://dbpedia.org/ontology/religiousHead",,"religious head"
"http://dbpedia.org/ontology/chancellor","Kanzler","chancellor"
"http://dbpedia.org/ontology/revenue","Einnahmen ($)","revenue ($)"
"http://dbpedia.org/ontology/director","regisseur","film director"
"http://dbpedia.org/ontology/stadium","Stadion","Stadium"
"http://dbpedia.org/ontology/populationAsOf",,"population as of"
"http://dbpedia.org/ontology/architect","Architekt","architect"
"http://dbpedia.org/ontology/governingBody","Verwaltungsgremium","governing body"
"http://dbpedia.org/ontology/nrhpReferenceNumber",,"NRHP Reference Number"
"http://dbpedia.org/ontology/distanceToBelfast",,"distance to Belfast (μ)"
"http://dbpedia.org/ontology/distanceToDublin",,"distance to Dublin (μ)"
