"p","lde","len"
"http://dbpedia.org/ontology/deathPlace","Sterbeort","death place"
"http://dbpedia.org/ontology/birthPlace","Geburtsort","birth place"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/class","Klasse","class"
"http://dbpedia.org/ontology/parent","Elternteil","parent"
"http://dbpedia.org/ontology/team","Team","team"
"http://dbpedia.org/ontology/managerClub","Clubmanager","manager club"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/councilArea",,"Council area"
"http://dbpedia.org/ontology/lieutenancyArea",,"Lieutenancy area"
"http://dbpedia.org/ontology/battle","Schlacht","battle"
"http://dbpedia.org/ontology/knownFor","bekannt für","known for"
"http://dbpedia.org/ontology/product","Produkt","product"
"http://dbpedia.org/ontology/routeStart","Weganfang","route start"
"http://dbpedia.org/ontology/militaryUnit","Militäreinheit","military unit"
"http://dbpedia.org/ontology/launchSite","Startplatz","launch site"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/militaryBranch",,"military branch"
"http://dbpedia.org/ontology/deathCause","Todesursache","death cause"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/namedAfter","benannt nach","named after"
"http://dbpedia.org/ontology/operator","Betreiber","operator"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/significantDesign","bedeutendes Design","significant design"
"http://dbpedia.org/ontology/notableWork",,"notable work"
"http://dbpedia.org/ontology/garrison","Garnison","garrison"
"http://dbpedia.org/ontology/routeEnd","Wegende","route end"
"http://dbpedia.org/ontology/territory","Gebiet","territory"
"http://dbpedia.org/ontology/usedInWar","im Krieg eingesetzt","used in war"
"http://dbpedia.org/ontology/significantProject","bedeutendes Projekt","significant project"
"http://dbpedia.org/ontology/place",,"Relates an entity to the populated place in which it is located."
"http://dbpedia.org/ontology/mouthMountain",,"mouth mountain"
"http://dbpedia.org/ontology/mouthPlace",,"mouth place"
"http://dbpedia.org/ontology/railwayRollingStock","Operierende Schienenfahrzeuge","railway rolling stock"
"http://dbpedia.org/ontology/occupation","Beschäftigung","occupation"
"http://dbpedia.org/ontology/restingPlace","Ruhestätte","resting place"
"http://dbpedia.org/ontology/residence","Residenz","residence"
"http://dbpedia.org/ontology/recordedIn",,"recorded in"
"http://dbpedia.org/ontology/industry","Industrie","industry"
"http://dbpedia.org/ontology/powerType",,"power type"
"http://dbpedia.org/ontology/headquarter","Hauptsitz","headquarter"
"http://dbpedia.org/ontology/homeStadium","Heimstadion","home stadium"
"http://dbpedia.org/ontology/capital","Hauptstadt","capital"
"http://dbpedia.org/ontology/ground",,"ground"
"http://dbpedia.org/ontology/owningOrganisation",,"owning organisation"
"http://dbpedia.org/ontology/museum","museum","museum"
"http://dbpedia.org/ontology/service","Dienst","service"
"http://dbpedia.org/ontology/significantBuilding","bedeutendes Gebäude","significant building"
"http://dbpedia.org/ontology/placeOfBurial","Ort der Bestattung","place of burial"
"http://dbpedia.org/ontology/addressInRoad","Adresse in Straße","address in road"
"http://dbpedia.org/ontology/notableCommander",,"notable commander"
"http://dbpedia.org/ontology/designer",,"designer"
"http://dbpedia.org/ontology/board",,"board"
"http://dbpedia.org/ontology/institution","Institution","institution"
"http://dbpedia.org/ontology/associatedBand",,"associated band"
"http://dbpedia.org/ontology/associatedMusicalArtist",,"associated musical artist"
"http://dbpedia.org/ontology/award","Auszeichnung","award"
"http://dbpedia.org/ontology/commander","Befehlshaber","commander"
"http://dbpedia.org/ontology/school","schule","school"
"http://dbpedia.org/ontology/honours","Ehrungen","honours"
"http://dbpedia.org/ontology/employer","Arbeitgeber","employer"
"http://dbpedia.org/ontology/rebuilder",,"rebuilder"
"http://dbpedia.org/ontology/island","Insel","island"
"http://dbpedia.org/ontology/homeport",,"homeport"
"http://dbpedia.org/ontology/relative","Verwandter","relative"
"http://dbpedia.org/ontology/campus","Campus","campus"
"http://dbpedia.org/ontology/populationPlace",,"population place"
"http://dbpedia.org/ontology/builder","Baumeister","builder"
"http://dbpedia.org/ontology/picture","bild","picture"
"http://dbpedia.org/ontology/locatedInArea",,"located in area"
