"p","lde","len"
"http://dbpedia.org/ontology/thumbnail",,"thumbnail"
"http://dbpedia.org/ontology/wikiPageID",,"Wikipage page ID"
"http://dbpedia.org/ontology/wikiPageRevisionID",,"Wikipage revision ID"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/location","Standort","location"
"http://dbpedia.org/ontology/abstract","abstract","has abstract"
"http://dbpedia.org/ontology/acquirementDate","Anschaffungszeitpunkt","date of acquirement"
"http://dbpedia.org/ontology/shipDraft","Schiffsentwurf (μ)","ship draft (μ)"
"http://dbpedia.org/ontology/completionDate","Fertigstellungstermin","completion date"
"http://dbpedia.org/ontology/cost","Kosten ($)","cost ($)"
"http://dbpedia.org/ontology/height","Höhe (μ)","height (μ)"
"http://dbpedia.org/ontology/length","Länge (μ)","length (μ)"
"http://dbpedia.org/ontology/shipDisplacement","Deplacement (g)","displacement (g)"
"http://dbpedia.org/ontology/status","Status","status"
"http://dbpedia.org/ontology/topSpeed","Höchstgeschwindigkeit (kmh)","top speed (kmh)"
"http://dbpedia.org/ontology/class","Klasse","class"
"http://dbpedia.org/ontology/country","Land","country"
"http://dbpedia.org/ontology/operator","Betreiber","operator"
"http://dbpedia.org/ontology/owner","Eigentümer","owner"
"http://dbpedia.org/ontology/type","Typ","type"
"http://dbpedia.org/ontology/builder","Baumeister","builder"
"http://dbpedia.org/ontology/wikiPageExternalLink",,"Link from a Wikipage to an external page"
"http://dbpedia.org/ontology/captureDate",,"capture date"
"http://dbpedia.org/ontology/decommissioningDate",,"decommissioning date"
"http://dbpedia.org/ontology/commissioningDate",,"commissioning date"
"http://dbpedia.org/ontology/layingDown",,"laying down"
"http://dbpedia.org/ontology/buildingEndDate",,"building end date"
"http://dbpedia.org/ontology/shipBeam",,"ship beam (μ)"
"http://dbpedia.org/ontology/shipLaunch",,"ship launched"
"http://dbpedia.org/ontology/MeanOfTransportation/height","Höhe (mm)","height (mm)"
"http://dbpedia.org/ontology/MeanOfTransportation/length","Länge (mm)","length (mm)"
"http://dbpedia.org/ontology/powerType",,"power type"
"http://dbpedia.org/ontology/homeport",,"homeport"
"http://dbpedia.org/ontology/wikiPageLength",,"page length (characters) of wiki page"
"http://dbpedia.org/ontology/christeningDate",,"date of christening"
"http://dbpedia.org/ontology/maidenVoyage",,"maiden voyage"
"http://dbpedia.org/ontology/orderDate",,"order date"
"http://dbpedia.org/ontology/activeYearsEndDate",,"active years end date"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/activeYearsStartDate",,"active years start date"
"http://dbpedia.org/ontology/wikiPageInterLanguageLink",,"Link from a Wikipage to a Wikipage in a different language about the same or a related subject."
"http://dbpedia.org/ontology/motto","Motto","motto"
"http://dbpedia.org/ontology/recommissioningDate",,"recommissioning date"
"http://dbpedia.org/ontology/soundRecording",,"sound recording"
"http://dbpedia.org/ontology/capacity","Kapazität","capacity"
"http://dbpedia.org/ontology/weight","Gewicht (g)","weight (g)"
"http://dbpedia.org/ontology/yearOfConstruction","Baujahr","year of construction"
"http://dbpedia.org/ontology/manufacturer","Hersteller","manufacturer"
"http://dbpedia.org/ontology/MeanOfTransportation/weight","Gewicht (kg)","weight (kg)"
"http://dbpedia.org/ontology/numberBuilt","Anzahl gebaut","number built"
"http://dbpedia.org/ontology/activeYearsEndYear",,"active years end year"
"http://dbpedia.org/ontology/activeYearsStartYear",,"active years start year"
"http://dbpedia.org/ontology/width","Breite (μ)","width (μ)"
"http://dbpedia.org/ontology/MeanOfTransportation/width","Breite (mm)","width (mm)"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/cylinderCount",,"cylinder count"
"http://dbpedia.org/ontology/engineType",,"engine type"
"http://dbpedia.org/ontology/openingDate","Eröffnungsdatum","opening date"
"http://dbpedia.org/ontology/seatingCapacity","Sitzplatzkapazität","seating capacity"
"http://dbpedia.org/ontology/tenant","Mieter","tenant"
"http://dbpedia.org/ontology/buildingStartDate",,"building start date"
"http://dbpedia.org/ontology/closingDate",,"closing date"
"http://dbpedia.org/ontology/imdbId",,"IMDB id"
