('http://dbpedia.org/ontology/location', 'Standort', 'location')
('http://dbpedia.org/ontology/abstract', 'abstract', 'has abstract')
('http://dbpedia.org/ontology/acquirementDate', 'Anschaffungszeitpunkt', 'date of acquirement')
('http://dbpedia.org/ontology/shipDraft', 'Schiffsentwurf (μ)', 'ship draft (μ)')
('http://dbpedia.org/ontology/completionDate', 'Fertigstellungstermin', 'completion date')
('http://dbpedia.org/ontology/cost', 'Kosten ($)', 'cost ($)')
('http://dbpedia.org/ontology/height', 'Höhe (μ)', 'height (μ)')
('http://dbpedia.org/ontology/length', 'Länge (μ)', 'length (μ)')
('http://dbpedia.org/ontology/shipDisplacement', 'Deplacement (g)', 'displacement (g)')
('http://dbpedia.org/ontology/status', 'Status', 'status')
('http://dbpedia.org/ontology/topSpeed', 'Höchstgeschwindigkeit (kmh)', 'top speed (kmh)')
('http://dbpedia.org/ontology/class', 'Klasse', 'class')
('http://dbpedia.org/ontology/country', 'Land', 'country')
('http://dbpedia.org/ontology/operator', 'Betreiber', 'operator')
('http://dbpedia.org/ontology/owner', 'Eigentümer', 'owner')
('http://dbpedia.org/ontology/type', 'Typ', 'type')
('http://dbpedia.org/ontology/builder', 'Baumeister', 'builder')
('http://dbpedia.org/ontology/MeanOfTransportation/height', 'Höhe (mm)', 'height (mm)')
('http://dbpedia.org/ontology/MeanOfTransportation/length', 'Länge (mm)', 'length (mm)')
('http://dbpedia.org/ontology/motto', 'Motto', 'motto')
('http://dbpedia.org/ontology/capacity', 'Kapazität', 'capacity')
('http://dbpedia.org/ontology/weight', 'Gewicht (g)', 'weight (g)')
('http://dbpedia.org/ontology/yearOfConstruction', 'Baujahr', 'year of construction')
('http://dbpedia.org/ontology/manufacturer', 'Hersteller', 'manufacturer')
('http://dbpedia.org/ontology/MeanOfTransportation/weight', 'Gewicht (kg)', 'weight (kg)')
('http://dbpedia.org/ontology/numberBuilt', 'Anzahl gebaut', 'number built')
('http://dbpedia.org/ontology/width', 'Breite (μ)', 'width (μ)')
('http://dbpedia.org/ontology/MeanOfTransportation/width', 'Breite (mm)', 'width (mm)')
('http://dbpedia.org/ontology/openingDate', 'Eröffnungsdatum', 'opening date')
('http://dbpedia.org/ontology/seatingCapacity', 'Sitzplatzkapazität', 'seating capacity')
('http://dbpedia.org/ontology/tenant', 'Mieter', 'tenant')
