"p","lde","len"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/wikiPageRedirects",,"Wikipage redirect"
"http://dbpedia.org/ontology/architect","Architekt","architect"
"http://dbpedia.org/ontology/artist","Interpret","performer"
"http://dbpedia.org/ontology/author","autor","author"
"http://dbpedia.org/ontology/bandMember","Bandmitglied","band member"
"http://dbpedia.org/ontology/chairman","Vorsitzender","chairman"
"http://dbpedia.org/ontology/child","Kind","child"
"http://dbpedia.org/ontology/creator","Urheber","creator (agent)"
"http://dbpedia.org/ontology/director","regisseur","film director"
"http://dbpedia.org/ontology/formerBandMember","ehemaliges Bandmitglied","former band member"
"http://dbpedia.org/ontology/foundedBy","gegründet von","founded by"
"http://dbpedia.org/ontology/keyPerson","Schlüsselperson","key person"
"http://dbpedia.org/ontology/manager","Manager","manager"
"http://dbpedia.org/ontology/politician","Politiker","politician"
"http://dbpedia.org/ontology/predecessor","Vorgänger","predecessor"
"http://dbpedia.org/ontology/wikiPageDisambiguates",,"Wikipage disambiguates"
"http://dbpedia.org/ontology/associatedBand",,"associated band"
"http://dbpedia.org/ontology/associatedMusicalArtist",,"associated musical artist"
"http://dbpedia.org/ontology/designer",,"designer"
"http://dbpedia.org/ontology/presenter","Moderator","presenter"
"http://dbpedia.org/ontology/producer","Produzent","producer"
"http://dbpedia.org/ontology/spouse","Ehepartner","spouse"
"http://dbpedia.org/ontology/successor","Nachfolger","successor"
"http://dbpedia.org/ontology/writer","schriftsteller","writer"
"http://dbpedia.org/ontology/relative","Verwandter","relative"
"http://dbpedia.org/ontology/chancellor","Kanzler","chancellor"
"http://dbpedia.org/ontology/doctoralStudent","Doktorand","doctoral student"
"http://dbpedia.org/ontology/starring",,"starring"
"http://dbpedia.org/ontology/alongside",,"alongside"
"http://dbpedia.org/ontology/cinematography","Kinematografie","cinematography"
"http://dbpedia.org/ontology/commander","Befehlshaber","commander"
"http://dbpedia.org/ontology/editing","Bearbeitung","editing"
"http://dbpedia.org/ontology/distributor",,"distributor"
"http://dbpedia.org/ontology/editor","Herausgeber","editor"
"http://dbpedia.org/ontology/influencedBy","beeinflusst durch","influenced by"
"http://dbpedia.org/ontology/musicComposer","komponist","music composer"
"http://dbpedia.org/ontology/namedAfter","benannt nach","named after"
"http://dbpedia.org/ontology/narrator","Erzähler","narrator"
"http://dbpedia.org/ontology/parent","Elternteil","parent"
"http://dbpedia.org/ontology/primeMinister","Premierminister","prime minister"
"http://dbpedia.org/ontology/productionCompany","Produktionsfirma","production company"
"http://dbpedia.org/ontology/team","Team","team"
"http://dbpedia.org/ontology/trainer","Trainer","trainer"
"http://dbpedia.org/ontology/managerClub","Clubmanager","manager club"
"http://dbpedia.org/ontology/partner","Partner","partner"
"http://dbpedia.org/ontology/notableStudent",,"notable student"
"http://dbpedia.org/ontology/portrayer",,"portrayer"
"http://dbpedia.org/ontology/showJudge",,"showJudge"
"http://dbpedia.org/ontology/award","Auszeichnung","award"
"http://dbpedia.org/ontology/coach","Trainer","coach"
"http://dbpedia.org/ontology/currentMember","aktuelles Mitglied","current member"
"http://dbpedia.org/ontology/executiveProducer","Ausführender Produzent","executive producer"
"http://dbpedia.org/ontology/influenced","beeinflusst","influenced"
"http://dbpedia.org/ontology/leader","Führer","leader"
"http://dbpedia.org/ontology/person","Person","person"
"http://dbpedia.org/ontology/championInDoubleMale",,"champion in double male"
"http://dbpedia.org/ontology/designCompany",,"designer company"
"http://dbpedia.org/ontology/firstLeader",,"firstLeader"
"http://dbpedia.org/ontology/openingTheme",,"opening theme"
"http://dbpedia.org/ontology/voice","Stimme","voice"
"http://dbpedia.org/ontology/minister","Minister","minister"
"http://dbpedia.org/ontology/doctoralAdvisor","Doktorvater","doctoral advisor"
"http://dbpedia.org/ontology/governor","Gouverneur","governor"
"http://dbpedia.org/ontology/lieutenant","Leutnant","lieutenant"
"http://dbpedia.org/ontology/secondLeader",,"secondLeader"
"http://dbpedia.org/ontology/academicAdvisor",,"academic advisor"
"http://dbpedia.org/ontology/mother","Mutter","mother"
"http://dbpedia.org/ontology/fastestDriver","schnellster Fahrer","fastest driver"
"http://dbpedia.org/ontology/firstDriver","erster Fahrer","first driver"
"http://dbpedia.org/ontology/president","Präsident","president"
