"p","lde","len"
"http://dbpedia.org/ontology/deathPlace","Sterbeort","death place"
"http://dbpedia.org/ontology/deathDate","Sterbedatum","death date"
"http://dbpedia.org/ontology/birthPlace","Geburtsort","birth place"
"http://dbpedia.org/ontology/birthDate","Geburtsdatum","birth date"
"http://dbpedia.org/ontology/thumbnail",,"thumbnail"
"http://dbpedia.org/ontology/wikiPageID",,"Wikipage page ID"
"http://dbpedia.org/ontology/wikiPageRevisionID",,"Wikipage revision ID"
"http://dbpedia.org/ontology/wikiPageWikiLink",,"Link from a Wikipage to another Wikipage"
"http://dbpedia.org/ontology/militaryUnit","Militäreinheit","military unit"
"http://dbpedia.org/ontology/abstract","abstract","has abstract"
"http://dbpedia.org/ontology/wikiPageExternalLink",,"Link from a Wikipage to an external page"
"http://dbpedia.org/ontology/birthName","Geburtsname","birth name"
"http://dbpedia.org/ontology/birthYear","Geburtsjahr","birth year"
"http://dbpedia.org/ontology/deathYear","Sterbejahr","death year"
"http://dbpedia.org/ontology/allegiance",,"allegiance"
"http://dbpedia.org/ontology/serviceEndYear",,"service end year"
"http://dbpedia.org/ontology/serviceStartYear",,"service start year"
"http://dbpedia.org/ontology/squadNumber",,"squad number"
"http://dbpedia.org/ontology/currentMember","aktuelles Mitglied","current member"
"http://dbpedia.org/ontology/deathCause","Todesursache","death cause"
"http://dbpedia.org/ontology/education","Bildung","education"
"http://dbpedia.org/ontology/nationality","Nationalität","nationality"
"http://dbpedia.org/ontology/occupation","Beschäftigung","occupation"
"http://dbpedia.org/ontology/parent","Elternteil","parent"
"http://dbpedia.org/ontology/position","Position","position"
"http://dbpedia.org/ontology/restingPlace","Ruhestätte","resting place"
"http://dbpedia.org/ontology/apprehended","gefasst","apprehended"
"http://dbpedia.org/ontology/motive","Motiv","motive"
"http://dbpedia.org/ontology/almaMater",,"alma mater"
"http://dbpedia.org/ontology/stateOfOrigin",,"state of origin"
"http://dbpedia.org/ontology/wikiPageLength",,"page length (characters) of wiki page"
"http://dbpedia.org/ontology/background","Hintergrund","background"
"http://dbpedia.org/ontology/activeYearsEndYear",,"active years end year"
"http://dbpedia.org/ontology/activeYearsStartYear",,"active years start year"
"http://dbpedia.org/ontology/alias",,"alias"
"http://dbpedia.org/ontology/height","Höhe (μ)","height (μ)"
"http://dbpedia.org/ontology/child","Kind","child"
"http://dbpedia.org/ontology/associatedBand",,"associated band"
"http://dbpedia.org/ontology/associatedMusicalArtist",,"associated musical artist"
"http://dbpedia.org/ontology/genre","Genre","genre"
"http://dbpedia.org/ontology/hometown","Heimatort","home town"
"http://dbpedia.org/ontology/Person/height","Höhe (cm)","height (cm)"
"http://dbpedia.org/ontology/recordLabel",,"record label"
"http://dbpedia.org/ontology/termPeriod",,"term period"
"http://dbpedia.org/ontology/overallRecord","Gesamtbilanz","overall record"
"http://dbpedia.org/ontology/originalName","ursprünglicher Namen","original name"
"http://dbpedia.org/ontology/academicDiscipline","wissenschaftliche Disziplin","academic discipline"
"http://dbpedia.org/ontology/country","Land","country"
"http://dbpedia.org/ontology/creator","Urheber","creator (agent)"
"http://dbpedia.org/ontology/party","Partei","party"
"http://dbpedia.org/ontology/residence","Residenz","residence"
"http://dbpedia.org/ontology/spouse","Ehepartner","spouse"
"http://dbpedia.org/ontology/institution","Institution","institution"
"http://dbpedia.org/ontology/relative","Verwandter","relative"
