('Sterbeort', 'death place')
('Sterbedatum', 'death date')
('Geburtsort', 'birth place')
('Geburtsdatum', 'birth date')
('Militäreinheit', 'military unit')
('Geburtsname', 'birth name')
('Geburtsjahr', 'birth year')
('Sterbejahr', 'death year')
('aktuelles Mitglied', 'current member')
('Todesursache', 'death cause')
('Bildung', 'education')
('Nationalität', 'nationality')
('Beschäftigung', 'occupation')
('Elternteil', 'parent')
('Position', 'position')
('Ruhestätte', 'resting place')
('gefasst', 'apprehended')
('Motiv', 'motive')
('Hintergrund', 'background')
('Höhe (μ)', 'height (μ)')
('Kind', 'child')
('Genre', 'genre')
('Heimatort', 'home town')
('Höhe (cm)', 'height (cm)')
('Gesamtbilanz', 'overall record')
('ursprünglicher Namen', 'original name')
('wissenschaftliche Disziplin', 'academic discipline')
('Land', 'country')
('Urheber', 'creator (agent)')
('Partei', 'party')
('Residenz', 'residence')
('Ehepartner', 'spouse')
('Institution', 'institution')
('Verwandter', 'relative')
('Schlagarm', 'batting side')
('Werfarm', 'bowling side')
('Titel', 'title')
('Schlacht', 'battle')
('beeinflusst durch', 'influenced by')
('bekannt für', 'known for')
('Karrierestation', 'career station')
('Staatsangehörigkeit', 'citizenship')
('Arbeitgeber', 'employer')
('service militaire', 'military service')
('Amt', 'person function')
('schule', 'school')
('Militärkommando', 'military command')
('Auszeichnung', 'award')
('Vorgänger', 'predecessor')
('Religion', 'religion')
('Nachfolger', 'successor')
('Diözese', 'diocese')
('Gouverneur', 'governor')
('Beruf', 'profession')
('Pseudonym', 'pseudonym')
('Anzahl', 'number')
('Gewicht (g)', 'weight (g)')
('Instrument', 'instrument')
('Team', 'team')
('Gymnasium', 'highschool')
('Doktorvater', 'doctoral advisor')
('Vater', 'father')
('Clubmanager', 'manager club')
('Gewicht (kg)', 'weight (kg)')
('Beziehung', 'relation')
('Bewegung', 'movement')
('beeinflusst', 'influenced')
('Ausbildung', 'training')
('Unterschrift', 'signature')
('Feld', 'field')
('Region', 'region')
('Rennen', 'race')
('andere Partei', 'other party')
('Rennpferd', 'race horse')
('Liga', 'league')
('College', 'college')
('Ehrungen', 'honours')
('Augenfarbe', 'eye color')
('Haarfarbe', 'hair color')
('Turnierrekord', 'tournament record')
('(politisches) Amt', '(political) office')
('Trainer', 'trainer')
('Doktorand', 'doctoral student')
('Gehalt ($)', 'salary ($)')
('Block', 'block')
('schmettern', 'spike')
('BBR', 'BBR')
('Verein', 'club')
('Nationalmannschaft', 'national team')
('Portfolio', 'portfolio')
('Disziplin', 'discipline')
('aktueller Partner', 'current partner')
('militärischer Rang', 'military rank')
('Vizepräsident', 'vice president')
('Mutter', 'mother')
('Veranstaltung', 'event')
('beste Platzierung im Ranglistenturnier', 'best ranking finish')
('Century Breaks', 'century breaks')
('Höchstes Break', 'highest break')
('Sportnation', 'sport country')
('höchster Ranglistenplatz', 'highest rank')
('Sprache', 'language')
('Standort', 'location')
('Premierminister', 'prime minister')
('Universität', 'university')
('ehemaliger Partner', 'former partner')
('Entwurf', 'draft')
('Präsident', 'president')
('Motto', 'motto')
('Status', 'status')
('Trainer', 'coach')
('Choreograph', 'choreographer')
('Ex-Trainer', 'former coach')
('ehemaliger Choreograph', 'former choreographer')
('Ruhmeshalle', 'hall of fame')
('Siege', 'wins')
('erstes Rennen', 'first race')
('letztes Rennen', 'last race')
('gewonnene Title', 'championships')
('schnellste Runde', 'fastest lap')
('Podestplätze', 'podiums')
('Pole', 'poles')
('Rennen', 'races')
('Sonstige Siege', 'other wins')
('Siege in Ranglistenturnieren', 'ranking wins')
('Partner', 'partner')
